form,period_end,filed,file,iphone_nums,found
10-Q,2026-06-27,2026-07-31,_arm_aapl_10Q_2026-06-27.htm,[],False
10-Q,2026-03-28,2026-05-01,_arm_aapl_10Q_2026-03-28.htm,[],False
10-Q,2025-12-27,2026-01-30,_arm_aapl_10Q_2025-12-27.htm,[],False
10-K,2025-09-27,2025-10-31,_arm_aapl_10K_2025-09-27.htm,[],False
10-Q,2025-06-28,2025-08-01,_arm_aapl_10Q_2025-06-28.htm,[],False
10-Q,2025-03-29,2025-05-02,_arm_aapl_10Q_2025-03-29.htm,[],False
10-Q,2024-12-28,2025-01-31,_arm_aapl_10Q_2024-12-28.htm,"['69,138', '69,702']",True
10-K,2024-09-28,2024-11-01,_arm_aapl_10K_2024-09-28.htm,"['201,183', '200,583', '205,489']",True
10-Q,2024-06-29,2024-08-02,_arm_aapl_10Q_2024-06-29.htm,"['39,296', '39,669', '154,961', '156,778']",True
10-Q,2024-03-30,2024-05-03,_arm_aapl_10Q_2024-03-30.htm,"['45,963', '51,334', '115,665', '117,109']",True
10-Q,2023-12-30,2024-02-02,_arm_aapl_10Q_2023-12-30.htm,"['69,702', '65,775']",True
10-K,2023-09-30,2023-11-03,_arm_aapl_10K_2023-09-30.htm,"['200,583', '205,489', '191,973']",True
10-Q,2023-07-01,2023-08-04,_arm_aapl_10Q_2023-07-01.htm,"['39,669', '40,665', '156,778', '162,863']",True
10-Q,2023-04-01,2023-05-05,_arm_aapl_10Q_2023-04-01.htm,"['51,334', '50,570', '117,109', '122,198']",True
