page,url,date_raw,category,headline,date
47,/newsroom/2023/06/apple-battersea-opens-in-londons-historic-battersea-power-station/,"June 15, 2023",PHOTOS,Apple Battersea opens in London’s historic Battersea Power Station,2023-06-15
47,/newsroom/2023/06/apple-expands-self-service-repair-and-updates-system-configuration-process/,"June 20, 2023",QUICK READ,Apple expands Self Service Repair and updates System Configuration process,2023-06-20
47,/newsroom/2023/06/developer-tools-to-create-spatial-experiences-for-apple-vision-pro-now-available/,"June 21, 2023",PRESS RELEASE,Developer tools to create spatial experiences for Apple Vision Pro now available,2023-06-21
47,/newsroom/2023/07/new-immersive-ar-experience-brings-student-creativity-to-life/,"July 5, 2023",APPLE STORIES,New immersive AR experience brings student creativity to life,2023-07-05
47,/newsroom/2023/07/apple-news-announces-return-of-after-the-whistle-podcast/,"July 10, 2023",UPDATE,Apple News announces return of After the Whistle podcast,2023-07-10
47,/newsroom/2023/07/apple-lands-record-54-emmy-award-nominations/,"July 12, 2023",PRESS RELEASE,Apple lands record 54 Emmy Award nominations,2023-07-12
47,/newsroom/2023/07/apple-celebrates-lionel-messis-debut-with-inter-miami-cf-on-mls-season-pass/,"July 21, 2023",UPDATE,Apple celebrates Lionel Messi’s debut with Inter Miami CF on MLS Season Pass,2023-07-21
47,/newsroom/2023/07/apple-and-mlb-announce-august-friday-night-baseball-schedule-on-apple-tv-plus/,"July 24, 2023",QUICK READ,Apple and MLB announce August “Friday Night Baseball” schedule on Apple TV+,2023-07-24
47,/newsroom/2023/07/apple-partnerships-help-californians-access-affordable-housing-and-resources/,"July 26, 2023",APPLE STORIES,Apple partnerships help Californians access affordable housing and resources,2023-07-26
47,/newsroom/2023/07/join-hello-kitty-and-friends-on-a-charming-island-adventure-on-apple-arcade/,"July 28, 2023",QUICK READ,Join Hello Kitty and Friends on a charming Island Adventure on Apple Arcade,2023-07-28
46,/newsroom/2023/08/pixar-adobe-apple-autodesk-and-nvidia-form-alliance-for-openusd/,"August 1, 2023",PRESS RELEASE,"Pixar, Adobe, Apple, Autodesk, and NVIDIA form Alliance for OpenUSD",2023-08-01
46,/newsroom/2023/08/four-new-games-coming-to-apple-arcade-in-august/,"August 1, 2023",UPDATE,4 new games coming to Apple Arcade in August,2023-08-01
46,/newsroom/2023/08/apple-cards-savings-account-by-goldman-sachs-sees-over-10-billion-usd-in-deposits/,"August 2, 2023",UPDATE,Apple Card’s Savings account by Goldman Sachs sees over $10 billion in deposits,2023-08-02
46,/newsroom/2023/08/apple-reports-third-quarter-results/,"August 3, 2023",PRESS RELEASE,Apple reports third quarter results,2023-08-03
46,/newsroom/2023/08/apple-and-mlb-announce-september-friday-night-baseball-schedule-on-apple-tv-plus/,"August 7, 2023",QUICK READ,Apple and MLB announce September “Friday Night Baseball” schedule on Apple TV+,2023-08-07
