q,q_end,total_rev,total_yoy%,royalty,royalty_prior,royalty_yoy%,license,license_yoy%,n_smartphone,n_datacenter,n_AI,n_Apple,n_NVIDIA,royalty_share%
FY24Q2,2023-09-30,,,418,442,5.0,388,106.0,16,0,24,0,2,
FY24Q3,2023-12-31,,,470,425,11.0,354,18.0,7,0,24,0,1,
FY24Q4,2024-03-31,,,514,374,37.0,414,60.0,8,7,18,0,3,
FY25Q1,2024-06-30,,,467,400,17.0,472,72.0,6,5,18,0,0,
FY25Q2,2024-09-30,,,514,418,23.0,330,15.0,7,5,17,1,2,
FY25Q3,2024-12-31,,,580,470,23.0,403,14.0,3,4,26,0,3,
FY25Q4,2025-03-31,,,607,514,18.0,634,53.0,4,5,25,0,4,
FY26Q1,2025-06-30,1053.0,12.0,585,467,25.0,468,1.0,3,7,30,3,3,55.6
FY26Q2,2025-09-30,1135.0,34.0,620,514,21.0,515,56.0,4,11,48,0,3,54.6
FY26Q3,2025-12-31,1242.0,26.0,737,580,27.0,505,25.0,6,12,44,0,3,59.3
FY26Q4,2026-03-31,1490.0,20.0,671,607,11.0,819,29.0,1,12,27,0,5,45.0
FY27Q1,2026-06-30,1289.0,22.0,715,585,22.0,574,23.0,1,10,39,0,5,55.5
