,arm_royalty_m,aapl_iphone_m,arm_yoy,iph_yoy,arm_qoq,iph_qoq
2022Q4,,65775,,,,
2023Q1,,51334,,,,-21.955150133029267
2023Q2,400.0,39669,,,,-22.72373086063817
2023Q3,418.0,43805,,,4.499999999999993,10.426277445864528
2023Q4,470.0,69702,,5.970353477765111,12.440191387559807,59.11882205227714
2024Q1,514.0,45963,,-10.462851131803486,9.361702127659566,-34.05784625979168
2024Q2,467.0,39296,16.75,-0.9402808238170857,-9.143968871595332,-14.505145443073776
2024Q3,514.0,46222,22.966507177033503,5.517634973176588,10.0642398286938,17.6252035830619
2024Q4,580.0,69138,23.404255319148938,-0.809158991133685,12.840466926070038,49.57812297174507
2025Q1,607.0,46841,18.093385214007785,1.9102321432456604,4.655172413793096,-32.24999276808701
2025Q2,585.0,44582,25.267665952890784,13.451750814332254,-3.6243822075782584,-4.822698063662179
2025Q3,620.0,49025,20.62256809338521,6.0642118471723405,5.982905982905984,9.965905522408146
2025Q4,737.0,85269,27.068965517241384,23.331597674216773,18.870967741935484,73.92962774094849
2026Q1,671.0,56994,10.543657331136735,21.675455263551168,-8.955223880597018,-33.15976497906625
2026Q2,715.0,54252,22.222222222222232,21.69036831008031,6.557377049180335,-4.811032740288457
