Trade Date,Open,High,Low,Close
2004-12-31,,,,250.0
2005-01-03,,,,253.52
2005-01-04,,,,256.04
2005-01-05,,,,255.77
2005-01-06,,,,246.99
2005-01-07,,,,244.4
2005-01-10,,,,237.9
2005-01-11,,,,236.82
2005-01-12,,,,232.0
2005-01-13,,,,234.54
2005-01-14,,,,229.18
2005-01-18,,,,220.75
2005-01-19,,,,228.34
2005-01-20,,,,232.54
2005-01-21,,,,236.75
2005-01-24,,,,234.43
2005-01-25,,,,228.47
2005-01-26,,,,224.91
2005-01-27,,,,219.06
2005-01-28,,,,220.18
2005-01-31,,,,213.53
2005-02-01,,,,208.45
2005-02-02,,,,202.42
2005-02-03,,,,201.4
2005-02-04,,,,194.59
2005-02-07,,,,196.63
2005-02-08,,,,189.89
2005-02-09,,,,197.04
2005-02-10,,,,190.29
2005-02-11,,,,187.18
2005-02-14,,,,186.99
2005-02-15,,,,182.73
2005-02-16,,,,182.33
2005-02-17,,,,190.75
2005-02-18,,,,187.12
2005-02-22,,,,201.2
2005-02-23,,,,203.73
2005-02-24,,,,199.48
2005-02-25,,,,193.72
2005-02-28,,,,196.77
2005-03-01,,,,199.27
2005-03-02,,,,204.85
2005-03-03,,,,206.31
2005-03-04,,,,199.59
2005-03-07,,,,191.77
2005-03-08,,,,191.31
2005-03-09,,,,201.79
2005-03-10,,,,202.82
2005-03-11,,,,204.77
2005-03-14,,,,205.58
2005-03-15,,,,204.35
2005-03-16,,,,212.88
2005-03-17,,,,213.0
2005-03-18,,,,215.37
2005-03-21,,,,216.69
2005-03-22,,,,225.39
2005-03-23,,,,225.03
2005-03-24,,,,214.21
2005-03-28,,,,218.49
2005-03-29,,,,224.18
2005-03-30,,,,219.8
2005-03-31,,,,220.46
2005-04-01,,,,217.11
2005-04-04,,,,217.91
2005-04-05,,,,217.09
2005-04-06,,,,212.45
2005-04-07,,,,209.48
2005-04-08,,,,213.85
2005-04-11,,,,215.64
2005-04-12,,,,208.31
2005-04-13,,,,214.19
2005-04-14,,,,228.89
2005-04-15,,,,240.71
2005-04-18,,,,242.54
2005-04-19,,,,232.02
2005-04-20,,,,241.02
2005-04-21,,,,232.29
2005-04-22,,,,242.18
2005-04-25,,,,234.82
2005-04-26,,,,237.19
2005-04-27,,,,235.74
2005-04-28,,,,246.52
2005-04-29,,,,237.62
2005-05-02,,,,235.47
2005-05-03,,,,236.26
2005-05-04,,,,230.93
2005-05-05,,,,223.37
2005-05-06,,,,223.69
2005-05-09,,,,215.18
2005-05-10,,,,228.22
2005-05-11,,,,232.09
2005-05-12,,,,240.23
2005-05-13,,,,248.6
2005-05-16,,,,238.94
2005-05-17,,,,238.66
2005-05-18,,,,225.39
2005-05-19,,,,218.32
2005-05-20,,,,218.14
2005-05-23,,,,210.07
2005-05-24,,,,209.38
2005-05-25,,,,210.83
2005-05-26,,,,211.22
2005-05-27,,,,209.91
2005-05-31,,,,209.23
2005-06-01,,,,209.16
2005-06-02,,,,208.35
2005-06-03,,,,209.42
2005-06-06,,,,212.9
2005-06-07,,,,212.95
2005-06-08,,,,213.78
2005-06-09,,,,209.05
2005-06-10,,,,213.2
2005-06-13,,,,208.14
2005-06-14,,,,210.54
2005-06-15,,,,207.17
2005-06-16,,,,201.86
2005-06-17,,,,202.04
2005-06-20,,,,201.27
2005-06-21,,,,196.65
2005-06-22,,,,192.49
2005-06-23,,,,200.15
2005-06-24,,,,207.17
2005-06-27,,,,205.4
2005-06-28,,,,199.91
2005-06-29,,,,199.97
2005-06-30,,,,201.94
2005-07-01,,,,200.49
2005-07-05,,,,193.25
2005-07-06,,,,197.87
2005-07-07,,,,198.32
2005-07-08,,,,189.14
2005-07-11,,,,188.07
2005-07-12,,,,187.66
2005-07-13,,,,185.12
2005-07-14,,,,182.15
2005-07-15,,,,184.21
2005-07-18,,,,188.81
2005-07-19,,,,183.8
2005-07-20,,,,181.18
2005-07-21,,,,187.71
2005-07-22,,,,182.65
2005-07-25,,,,184.73
2005-07-26,,,,183.76
2005-07-27,,,,182.08
2005-07-28,,,,180.1
2005-07-29,,,,189.05
2005-08-01,,,,191.86
2005-08-02,,,,189.33
2005-08-03,,,,186.75
2005-08-04,,,,190.49
2005-08-05,,,,195.89
2005-08-08,,,,197.36
2005-08-09,,,,190.08
2005-08-10,,,,188.97
2005-08-11,,,,188.9
2005-08-12,,,,191.94
2005-08-15,,,,188.18
2005-08-16,,,,195.82
2005-08-17,,,,194.35
2005-08-18,,,,194.14
2005-08-19,,,,190.81
2005-08-22,,,,189.97
2005-08-23,,,,191.58
2005-08-24,,,,195.54
2005-08-25,,,,196.6
2005-08-26,,,,199.51
2005-08-29,,,,197.29
2005-08-30,,,,199.57
2005-08-31,,,,195.28
2005-09-01,,,,197.06
2005-09-02,,,,201.08
2005-09-06,,,,197.04
2005-09-07,,,,194.0
2005-09-08,,,,195.24
2005-09-09,,,,190.51
2005-09-12,,,,189.5
2005-09-13,,,,192.82
2005-09-14,,,,196.17
2005-09-15,,,,197.76
2005-09-16,,,,188.69
2005-09-19,,,,193.56
2005-09-20,,,,196.41
2005-09-21,,,,203.05
2005-09-22,,,,199.34
2005-09-23,,,,198.56
2005-09-26,,,,195.39
2005-09-27,,,,192.58
2005-09-28,,,,190.94
2005-09-29,,,,189.01
2005-09-30,,,,187.82
2005-10-03,,,,189.73
2005-10-04,,,,193.1
2005-10-05,,,,201.27
2005-10-06,,,,203.11
2005-10-07,,,,199.08
2005-10-10,,,,203.18
2005-10-11,,,,203.97
2005-10-12,,,,208.35
2005-10-13,,,,208.79
2005-10-14,,,,202.28
2005-10-17,,,,199.8
2005-10-18,,,,203.88
2005-10-19,,,,197.58
2005-10-20,,,,212.65
2005-10-21,,,,206.17
2005-10-24,,,,198.51
2005-10-25,,,,198.06
2005-10-26,,,,197.09
2005-10-27,,,,204.49
2005-10-28,,,,196.71
2005-10-31,,,,194.13
2005-11-01,,,,193.61
2005-11-02,,,,189.42
2005-11-03,,,,182.49
2005-11-04,,,,184.98
2005-11-07,,,,182.68
2005-11-08,,,,180.51
2005-11-09,,,,180.28
2005-11-10,,,,176.29
2005-11-11,,,,174.13
2005-11-14,,,,172.6
2005-11-15,,,,174.47
2005-11-16,,,,172.09
2005-11-17,,,,168.66
2005-11-18,,,,168.01
2005-11-21,,,,166.85
2005-11-22,,,,168.1
2005-11-23,,,,162.9
2005-11-25,,,,169.23
2005-11-28,,,,169.43
2005-11-29,,,,174.29
2005-11-30,,,,176.02
2005-12-01,,,,172.38
2005-12-02,,,,168.69
2005-12-05,,,,168.6
2005-12-06,,,,167.43
2005-12-07,,,,170.44
2005-12-08,,,,169.78
2005-12-09,,,,169.69
2005-12-12,,,,169.47
2005-12-13,,,,166.91
2005-12-14,,,,163.42
2005-12-15,,,,166.29
2005-12-16,,,,167.16
2005-12-19,,,,170.34
2005-12-20,,,,169.04
2005-12-21,,,,167.93
2005-12-22,,,,164.7
2005-12-23,,,,163.46
2005-12-27,,,,168.24
2005-12-28,,,,165.85
2005-12-29,,,,167.23
2005-12-30,,,,168.29
2006-01-03,,,,161.06
2006-01-04,,,,160.42
2006-01-05,,,,159.91
2006-01-06,,,,156.35
2006-01-09,,,,155.45
2006-01-10,,,,154.35
2006-01-11,,,,153.57
2006-01-12,,,,155.79
2006-01-13,,,,156.34
2006-01-17,,,,157.95
2006-01-18,,,,160.18
2006-01-19,,,,157.96
2006-01-20,,,,169.87
2006-01-23,,,,165.73
2006-01-24,,,,161.5
2006-01-25,,,,158.91
2006-01-26,,,,155.94
2006-01-27,,,,150.05
2006-01-30,,,,151.1
2006-01-31,,,,153.77
2006-02-01,,,,152.22
2006-02-02,,,,156.41
2006-02-03,,,,155.58
2006-02-06,,,,153.66
2006-02-07,,,,159.71
2006-02-08,,,,155.3
2006-02-09,,,,155.67
2006-02-10,,,,153.87
2006-02-13,,,,154.82
2006-02-14,,,,151.07
2006-02-15,,,,150.0
2006-02-16,,,,144.42
2006-02-17,,,,144.31
2006-02-21,,,,145.51
2006-02-22,,,,140.87
2006-02-23,,,,140.63
2006-02-24,,,,140.85
2006-02-27,,,,138.93
2006-02-28,,,,146.71
2006-03-01,,,,141.54
2006-03-02,,,,142.49
2006-03-03,,,,146.6
2006-03-06,,,,148.11
2006-03-07,,,,150.92
2006-03-08,,,,150.13
2006-03-09,,,,151.36
2006-03-10,,,,148.39
2006-03-13,,,,145.88
2006-03-14,,,,142.32
2006-03-15,,,,140.28
2006-03-16,,,,139.13
2006-03-17,,,,139.18
2006-03-20,,,,140.39
2006-03-21,,,,140.23
2006-03-22,,,,136.61
2006-03-23,,,,136.42
2006-03-24,,,,135.94
2006-03-27,,,,134.55
2006-03-28,,,,136.81
2006-03-29,,,,131.64
2006-03-30,,,,134.38
2006-03-31,,,,133.46
2006-04-03,,,,134.21
2006-04-04,,,,130.52
2006-04-05,,,,129.38
2006-04-06,,,,127.02
2006-04-07,,,,130.67
2006-04-10,,,,131.36
2006-04-11,,,,136.3
2006-04-12,,,,134.15
2006-04-13,,,,134.8
2006-04-17,,,,134.93
2006-04-18,,,,130.99
2006-04-19,,,,129.29
2006-04-20,,,,129.16
2006-04-21,,,,130.44
2006-04-24,,,,130.81
2006-04-25,,,,131.81
2006-04-26,,,,132.09
2006-04-27,,,,131.26
2006-04-28,,,,133.3
2006-05-01,,,,134.81
2006-05-02,,,,133.42
2006-05-03,,,,133.37
2006-05-04,,,,130.64
2006-05-05,,,,131.03
2006-05-08,,,,129.06
2006-05-09,,,,128.39
2006-05-10,,,,129.33
2006-05-11,,,,129.62
2006-05-12,,,,133.85
2006-05-15,,,,131.46
2006-05-16,,,,130.46
2006-05-17,,,,140.54
2006-05-18,,,,144.83
2006-05-19,,,,142.71
2006-05-22,,,,145.87
2006-05-23,,,,146.37
2006-05-24,,,,147.56
2006-05-25,,,,147.83
2006-05-26,,,,144.86
2006-05-30,,,,157.19
2006-05-31,,,,153.33
2006-06-01,,,,145.79
2006-06-02,,,,149.07
2006-06-05,,,,156.63
2006-06-06,,,,157.08
2006-06-07,,,,168.55
2006-06-08,,,,166.23
2006-06-09,,,,167.89
2006-06-12,,,,174.56
2006-06-13,,,,172.46
2006-06-14,,,,174.87
2006-06-15,,,,157.41
2006-06-16,,,,161.49
2006-06-19,,,,163.01
2006-06-20,,,,161.54
2006-06-21,,,,154.31
2006-06-22,,,,156.19
2006-06-23,,,,155.34
2006-06-26,,,,154.11
2006-06-27,,,,156.94
2006-06-28,,,,156.72
2006-06-29,,,,148.7
2006-06-30,,,,150.98
2006-07-03,,,,146.71
2006-07-05,,,,153.59
2006-07-06,,,,153.21
2006-07-07,,,,157.54
2006-07-10,,,,156.3
2006-07-11,,,,154.77
2006-07-12,,,,160.01
2006-07-13,,,,170.39
2006-07-14,,,,172.83
2006-07-17,,,,170.66
2006-07-18,,,,165.91
2006-07-19,,,,156.34
2006-07-20,,,,159.91
2006-07-21,,,,161.99
2006-07-24,,,,154.02
2006-07-25,,,,151.61
2006-07-26,,,,151.63
2006-07-27,,,,155.08
2006-07-28,,,,153.62
2006-07-31,,,,156.36
2006-08-01,,,,157.2
2006-08-02,,,,156.31
2006-08-03,,,,155.13
2006-08-04,,,,154.79
2006-08-07,,,,159.16
2006-08-08,,,,158.04
2006-08-09,,,,159.48
2006-08-10,,,,156.81
2006-08-11,,,,158.75
2006-08-14,,,,160.12
2006-08-15,,,,158.74
2006-08-16,,,,149.47
2006-08-17,,,,149.67
2006-08-18,,,,147.92
2006-08-21,,,,150.27
2006-08-22,,,,149.28
2006-08-23,,,,150.88
2006-08-24,,,,149.19
2006-08-25,,,,145.95
2006-08-28,,,,144.49
2006-08-29,,,,138.01
2006-08-30,,,,144.54
2006-08-31,,,,144.3
2006-09-01,,,,142.23
2006-09-05,,,,141.66
2006-09-06,,,,147.27
2006-09-07,,,,148.67
2006-09-08,,,,146.94
2006-09-11,,,,146.76
2006-09-12,,,,142.87
2006-09-13,,,,141.57
2006-09-14,,,,142.47
2006-09-15,,,,140.96
2006-09-18,,,,141.04
2006-09-19,,,,143.98
2006-09-20,,,,143.64
2006-09-21,,,,147.42
2006-09-22,,,,146.51
2006-09-25,,,,145.62
2006-09-26,,,,142.33
2006-09-27,,,,143.69
2006-09-28,,,,145.31
2006-09-29,,,,146.11
2006-10-02,,,,147.35
2006-10-03,,,,146.14
2006-10-04,,,,143.76
2006-10-05,,,,142.55
2006-10-06,,,,141.62
2006-10-09,,,,140.95
2006-10-10,,,,140.79
2006-10-11,,,,141.91
2006-10-12,,,,137.25
2006-10-13,,,,137.14
2006-10-16,,,,135.92
2006-10-17,,,,137.36
2006-10-18,,,,137.09
2006-10-19,,,,135.85
2006-10-20,,,,132.26
2006-10-23,,,,131.04
2006-10-24,,,,129.3
2006-10-25,,,,124.73
2006-10-26,,,,122.65
2006-10-27,,,,124.14
2006-10-30,,,,124.31
2006-10-31,,,,124.54
2006-11-01,,,,126.77
2006-11-02,,,,123.36
2006-11-03,,,,126.36
2006-11-06,,,,123.85
2006-11-07,,,,121.33
2006-11-08,,,,119.89
2006-11-09,,,,121.08
2006-11-10,,,,120.44
2006-11-13,,,,120.06
2006-11-14,,,,118.04
2006-11-15,,,,115.62
2006-11-16,,,,116.61
2006-11-17,,,,118.0
2006-11-20,,,,115.78
2006-11-21,,,,117.46
2006-11-22,,,,120.07
2006-11-24,,,,124.14
2006-11-27,,,,129.74
2006-11-28,,,,130.49
2006-11-29,,,,123.99
2006-11-30,,,,124.51
2006-12-01,,,,127.01
2006-12-04,,,,125.02
2006-12-05,,,,124.77
2006-12-06,,,,125.04
2006-12-07,,,,128.62
2006-12-08,,,,127.98
2006-12-11,,,,126.99
2006-12-12,,,,128.43
2006-12-13,,,,128.4
2006-12-14,,,,123.77
2006-12-15,,,,127.37
2006-12-18,,,,130.88
2006-12-19,,,,132.39
2006-12-20,,,,132.4
2006-12-21,,,,134.38
2006-12-22,,,,136.67
2006-12-26,,,,135.51
2006-12-27,,,,133.81
2006-12-28,,,,134.93
2006-12-29,,,,137.63
2007-01-03,,,,136.48
2007-01-04,,,,134.66
2007-01-05,,,,135.93
2007-01-08,,,,134.75
2007-01-09,,,,135.95
2007-01-10,,,,132.0
2007-01-11,,,,130.58
2007-01-12,,,,126.7
2007-01-16,,,,127.22
2007-01-17,,,,124.96
2007-01-18,,,,125.78
2007-01-19,,,,123.22
2007-01-22,,,,124.24
2007-01-23,,,,121.46
2007-01-24,,,,119.05
2007-01-25,,,,122.27
2007-01-26,,,,120.39
2007-01-29,,,,120.78
2007-01-30,,,,118.88
2007-01-31,,,,117.73
2007-02-01,,,,116.47
2007-02-02,,,,117.73
2007-02-05,,,,119.02
2007-02-06,,,,117.66
2007-02-07,,,,116.73
2007-02-08,,,,117.53
2007-02-09,,,,120.37
2007-02-12,,,,121.67
2007-02-13,,,,116.28
2007-02-14,,,,114.31
2007-02-15,,,,114.9
2007-02-16,,,,113.73
2007-02-20,,,,112.94
2007-02-21,,,,113.81
2007-02-22,,,,113.48
2007-02-23,,,,114.46
2007-02-26,,,,114.8
2007-02-27,,,,132.72
2007-02-28,,,,128.34
2007-03-01,,,,122.04
2007-03-02,,,,135.71
2007-03-05,,,,134.55
2007-03-06,,,,126.78
2007-03-07,,,,123.03
2007-03-08,,,,120.95
2007-03-09,,,,121.79
2007-03-12,,,,121.64
2007-03-13,,,,134.72
2007-03-14,,,,129.0
2007-03-15,,,,128.09
2007-03-16,,,,126.69
2007-03-19,,,,126.2
2007-03-20,,,,123.45
2007-03-21,,,,116.53
2007-03-22,,,,118.42
2007-03-23,,,,119.44
2007-03-26,,,,119.7
2007-03-27,,,,121.38
2007-03-28,,,,125.26
2007-03-29,,,,124.36
2007-03-30,,,,124.37
2007-04-02,,,,124.25
2007-04-03,,,,122.46
2007-04-04,,,,122.57
2007-04-05,,,,122.02
2007-04-09,,,,121.51
2007-04-10,,,,120.81
2007-04-11,,,,122.8
2007-04-12,,,,121.29
2007-04-13,,,,120.28
2007-04-16,,,,118.47
2007-04-17,,,,117.24
