Date,Open,High,Low,Close
2004-01-02,22.39,23.37,21.81,23.04
2004-01-05,22.26,22.65,21.0,21.04
2004-01-06,21.46,21.63,18.64,19.42
2004-01-07,19.18,20.26,17.66,17.73
2004-01-08,19.56,21.18,19.29,20.12
2004-01-09,21.08,21.57,20.11,21.53
2004-01-12,21.95,22.69,21.09,21.09
2004-01-13,21.49,22.92,21.37,21.82
2004-01-14,21.57,22.24,21.48,21.73
2004-01-15,21.75,22.91,20.72,21.05
2004-01-16,20.6,20.96,19.21,19.6
2004-01-20,21.57,22.26,21.28,21.29
2004-01-21,21.57,21.99,20.84,21.12
2004-01-22,21.21,21.47,20.76,21.3
2004-01-23,20.75,20.96,20.16,20.22
2004-01-26,20.84,21.33,20.07,20.07
2004-01-27,20.58,21.46,20.33,21.46
2004-01-28,21.33,23.34,21.33,23.24
2004-01-29,23.31,24.06,23.04,23.52
2004-01-30,23.25,23.25,22.38,22.5
2004-02-02,23.01,23.91,22.51,23.05
2004-02-03,23.5,23.69,23.09,23.54
2004-02-04,24.3,24.79,24.1,24.77
2004-02-05,24.66,25.09,23.87,24.51
2004-02-06,23.73,23.84,22.61,22.7
2004-02-09,23.5,24.22,23.5,23.77
2004-02-10,24.12,24.24,22.93,22.93
2004-02-11,23.4,23.62,22.76,22.77
2004-02-12,23.41,23.41,22.82,23.16
2004-02-13,23.08,23.94,23.08,23.92
2004-02-17,24.86,24.9,24.01,24.2
2004-02-18,24.4,24.72,24.2,24.57
2004-02-19,23.9,24.47,23.71,24.34
2004-02-20,24.98,25.13,24.02,24.3
2004-02-23,24.6,25.15,24.56,25.07
2004-02-24,25.62,25.9,24.3,24.34
2004-02-25,24.65,24.65,23.33,23.41
2004-02-26,23.69,23.69,22.57,22.57
2004-02-27,22.77,22.79,21.7,21.87
2004-03-01,23.06,23.09,21.84,21.89
2004-03-02,22.1,23.15,21.66,22.34
2004-03-03,22.95,23.0,22.32,22.43
2004-03-04,22.59,22.74,21.74,21.75
2004-03-05,21.98,21.98,21.07,21.34
2004-03-08,21.68,22.65,21.63,22.63
2004-03-09,22.67,23.53,22.59,23.3
2004-03-10,23.45,24.74,23.25,24.74
2004-03-11,25.51,26.11,24.75,26.11
2004-03-12,25.88,25.99,24.48,24.48
2004-03-15,26.07,27.57,26.07,27.57
2004-03-16,26.78,27.65,26.74,26.94
2004-03-17,26.01,26.03,25.47,25.62
2004-03-18,25.84,26.27,25.63,25.88
2004-03-19,25.73,25.9,25.47,25.78
2004-03-22,26.29,26.51,25.99,26.05
2004-03-23,25.71,25.73,24.9,24.94
