option,bid,bid_size,ask,ask_size,iv,open_interest,volume,delta,gamma,vega,theta,rho,theo,change,open,high,low,tick,last_trade_price,last_trade_time,percent_change,prev_day_close
SPY260914C00550000,211.29,43.0,211.64,45.0,4.6785,0.0,1.0,0.9997,0.0,0.0002,-0.0057,0.0,211.4557,-6.35,208.87,208.87,208.87,down,208.87,2026-09-14T10:52:58,-2.95047,215.220001220703
SPY260914P00550000,0.0,0.0,0.01,5853.0,4.3156,16.0,0.0,-0.0003,0.0,0.0002,-0.0057,0.0,0.0057,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-11T16:02:17,0.0,0.00499999988824129
SPY260914C00555000,206.29,43.0,206.57,43.0,0.0,0.0,3.0,0.9997,0.0,0.0002,-0.0059,0.0,206.4559,-6.13,203.9,204.37,203.9,down,204.09,2026-09-14T11:20:59,-2.91599,210.220001220703
SPY260914P00555000,0.0,0.0,0.01,2986.0,4.2024,0.0,0.0,-0.0003,0.0,0.0002,-0.0059,0.0,0.0059,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00560000,201.29,43.0,201.63,43.0,4.2995,0.0,6.0,0.9996,0.0,0.0002,-0.0061,0.0,201.4561,-3.56,199.45,201.66,199.04,up,201.66,2026-09-14T11:52:49,-1.73472,205.220001220703
SPY260914P00560000,0.0,0.0,0.01,2986.0,4.09,0.0,0.0,-0.0004,0.0,0.0002,-0.0061,0.0,0.0061,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00565000,196.28,44.0,196.69,43.0,4.636,6.0,4.0,0.9996,0.0,0.0002,-0.0064,0.0,196.4563,-3.53,194.13,196.72,194.13,up,196.72,2026-09-14T11:52:49,-1.7628,200.25
SPY260914P00565000,0.0,0.0,0.01,2986.0,3.9785,0.0,0.0,-0.0004,0.0,0.0002,-0.0064,0.0,0.0064,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00570000,191.29,43.0,191.61,44.0,2.1405,0.0,0.0,0.9996,0.0,0.0002,-0.0066,0.0,191.4566,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,195.215003967285
SPY260914P00570000,0.0,0.0,0.01,2987.0,3.8679,0.0,0.0,-0.0004,0.0,0.0002,-0.0066,0.0,0.0066,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00575000,186.29,43.0,186.66,44.0,4.2558,0.0,0.0,0.9996,0.0,0.0002,-0.0068,0.0,186.4568,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,190.215003967285
SPY260914P00575000,0.0,0.0,0.01,2986.0,3.7581,0.0,0.0,-0.0004,0.0,0.0002,-0.0068,0.0,0.0068,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00580000,181.28,44.0,181.56,43.0,0.0,0.0,4.0,0.9996,0.0,0.0003,-0.007,0.0,181.457,-5.765,178.96,179.46,178.96,up,179.46,2026-09-14T11:30:34,-3.11243,185.225006103516
SPY260914P00580000,0.0,0.0,0.01,2987.0,3.6491,0.0,0.0,-0.0004,0.0,0.0003,-0.007,0.0,0.007,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00585000,176.28,44.0,176.67,44.0,4.0134,0.0,4.0,0.9995,0.0,0.0003,-0.0073,0.0,176.4573,-5.685,174.03,174.54,174.03,up,174.54,2026-09-14T11:30:34,-3.15439,180.225006103516
