Date,Open,High,Low,Close
2010-06-01,42.37,44.97,41.43,44.97
2010-06-02,43.74,45.75,42.98,43.26
2010-06-03,42.91,43.49,40.18,40.29
2010-06-04,42.22,46.22,42.08,45.4
2010-06-07,45.24,49.11,45.03,47.77
2010-06-08,47.31,50.26,47.14,47.14
2010-06-09,46.71,47.8,44.43,47.41
2010-06-10,46.81,47.07,43.01,43.04
2010-06-11,43.9,43.93,40.16,40.18
2010-06-14,40.45,41.5,39.44,41.08
2010-06-15,40.82,40.82,37.57,37.59
2010-06-16,37.02,38.45,36.71,37.26
2010-06-17,37.32,38.56,37.32,38.01
2010-06-18,37.82,38.58,37.54,37.98
2010-06-21,37.17,39.58,36.64,38.97
2010-06-22,39.78,39.94,38.15,39.5
2010-06-23,40.99,42.54,40.96,42.02
2010-06-24,42.4,43.98,42.08,43.28
2010-06-25,43.39,43.66,41.76,42.16
2010-06-28,44.4,45.34,42.61,42.86
2010-06-29,44.36,49.93,44.14,48.61
2010-06-30,48.93,49.69,47.08,49.24
2010-07-01,49.26,52.21,49.18,49.61
2010-07-02,48.58,49.79,46.98,47.17
2010-07-06,48.63,49.32,47.61,47.61
2010-07-07,47.59,47.59,43.58,43.6
2010-07-08,43.23,44.48,43.06,43.66
2010-07-09,44.05,44.2,42.18,42.45
2010-07-12,44.78,44.78,41.49,41.92
2010-07-13,42.41,47.31,42.16,43.71
2010-07-14,44.64,45.17,43.46,44.1
2010-07-15,48.55,50.22,45.29,46.07
2010-07-16,46.04,48.01,43.93,45.11
2010-07-19,46.81,51.79,45.05,45.27
2010-07-20,46.0,47.06,41.9,41.96
2010-07-21,35.48,36.76,34.62,35.84
2010-07-22,35.48,38.08,32.3,33.09
2010-07-23,33.67,34.01,31.06,31.24
2010-07-26,33.15,33.28,30.9,31.07
2010-07-27,31.13,31.23,30.22,30.95
2010-07-28,31.26,31.26,30.43,30.51
2010-07-29,30.85,32.77,30.4,30.9
2010-07-30,31.53,32.6,30.76,31.57
2010-08-02,31.68,32.03,29.65,30.22
2010-08-03,30.55,31.56,29.71,29.94
2010-08-04,29.94,31.46,29.84,30.14
2010-08-05,30.46,31.09,29.82,30.47
2010-08-06,31.34,31.8,29.84,29.85
2010-08-09,30.7,30.77,29.81,29.88
2010-08-10,30.47,31.55,29.67,29.88
2010-08-11,31.42,33.89,31.42,33.47
