Date,Open,High,Low,Close
2010-06-01,50.21,51.19,48.79,51.18
2010-06-02,50.88,52.49,46.67,46.68
2010-06-03,46.69,46.86,45.27,45.58
2010-06-04,47.84,51.35,46.31,51.06
2010-06-07,50.27,53.38,50.27,53.08
2010-06-08,53.38,56.58,53.3,53.75
2010-06-09,52.45,54.24,51.32,53.42
2010-06-10,51.95,51.95,49.59,49.71
2010-06-11,51.17,56.19,47.96,47.96
2010-06-14,47.68,48.0,46.37,47.65
2010-06-15,48.89,48.95,44.95,45.09
2010-06-16,45.87,45.87,42.96,43.06
2010-06-17,42.97,43.65,41.88,41.99
2010-06-18,42.37,42.42,39.62,39.65
2010-06-21,39.02,42.29,38.47,41.7
2010-06-22,43.03,43.29,41.47,43.05
2010-06-23,44.74,45.87,43.71,43.91
2010-06-24,44.82,47.29,44.79,47.19
2010-06-25,47.5,48.0,45.91,46.76
2010-06-28,50.65,50.65,48.15,48.39
2010-06-29,49.78,57.63,49.77,57.27
2010-06-30,57.65,57.66,54.62,56.74
2010-07-01,57.93,60.28,56.08,56.55
2010-07-02,56.21,56.67,54.29,54.65
2010-07-06,55.64,56.38,54.46,55.85
2010-07-07,55.82,55.85,52.85,52.85
2010-07-08,51.46,54.49,51.3,52.76
2010-07-09,52.65,53.76,51.67,51.71
2010-07-12,54.87,55.33,52.28,52.34
2010-07-13,51.05,52.75,50.94,51.65
2010-07-14,52.65,53.23,51.17,51.81
2010-07-15,53.89,54.4,50.1,50.19
2010-07-16,51.17,51.76,49.87,50.13
2010-07-19,52.22,52.22,48.48,48.67
2010-07-20,48.4,50.14,46.85,46.88
2010-07-21,47.08,48.81,46.59,48.7
2010-07-22,48.42,48.67,46.28,48.44
2010-07-23,46.3,46.3,39.81,40.4
2010-07-26,42.0,43.01,40.53,41.3
2010-07-27,41.3,42.56,39.49,40.22
2010-07-28,40.26,41.45,39.68,39.68
2010-07-29,39.4,40.07,38.33,38.71
2010-07-30,39.72,39.72,37.49,37.58
2010-08-02,38.37,38.8,37.66,37.75
2010-08-03,37.36,37.55,36.38,36.42
2010-08-04,36.35,38.97,35.99,38.92
2010-08-05,39.2,39.2,37.97,37.99
2010-08-06,38.37,39.05,37.63,37.67
2010-08-09,38.57,38.57,36.78,36.78
2010-08-10,37.03,37.84,36.82,37.3
2010-08-11,38.64,40.81,38.64,39.62
2010-08-12,41.13,41.13,39.35,40.07
2010-08-13,40.03,41.6,39.5,41.34
2010-08-16,42.88,42.93,39.2,39.28
2010-08-17,39.1,39.24,37.67,37.76
2010-08-18,38.0,38.9,37.82,38.34
2010-08-19,38.23,39.4,38.04,38.48
2010-08-20,39.03,39.67,38.43,38.48
2010-08-23,39.96,40.04,38.88,39.88
2010-08-24,41.43,42.67,39.87,40.31
2010-08-25,40.77,41.55,40.33,40.69
2010-08-26,40.54,41.38,40.21,41.28
2010-08-27,40.73,43.0,40.02,40.04
2010-08-30,41.92,42.34,41.15,42.33
2010-08-31,42.74,43.58,42.55,43.25
2010-09-01,42.7,42.72,40.79,41.4
2010-09-02,41.25,42.02,40.38,40.45
2010-09-03,39.59,39.61,38.54,38.78
2010-09-07,40.67,42.01,40.67,41.46
2010-09-08,41.86,42.24,40.98,42.01
2010-09-09,41.28,42.88,40.98,42.03
2010-09-10,41.88,43.56,40.54,40.57
2010-09-13,41.0,41.94,39.64,39.99
2010-09-14,41.06,41.75,39.24,40.09
2010-09-15,40.41,41.21,39.0,39.16
2010-09-16,39.46,40.15,39.17,40.09
2010-09-17,39.81,40.68,38.24,38.48
2010-09-20,41.4,42.03,38.89,40.86
2010-09-21,41.46,42.2,40.99,41.96
2010-09-22,42.7,43.35,42.31,42.72
2010-09-23,43.06,44.03,42.6,43.86
2010-09-24,42.93,45.97,42.86,45.85
2010-09-27,47.79,48.59,46.79,47.73
2010-09-28,48.24,50.3,48.21,48.83
2010-09-29,49.26,49.51,47.63,47.8
2010-09-30,47.82,49.32,47.64,47.86
