Date,Open,High,Low,Close
2011-03-16,29.18,34.32,28.53,32.86
2011-03-17,31.0,31.11,29.54,30.3
2011-03-18,29.18,30.1,27.73,29.59
2011-03-21,27.59,27.66,25.76,26.45
2011-03-22,26.17,26.17,25.23,25.5
2011-03-23,25.5,25.9,24.58,25.0
2011-03-24,24.45,24.77,23.41,23.68
2011-03-25,23.88,24.17,23.27,24.1
2011-03-28,25.34,25.34,24.03,24.26
2011-03-29,24.0,24.58,24.0,24.16
2011-03-30,23.5,23.86,22.85,22.9
2011-03-31,22.49,23.49,22.48,23.08
2011-04-01,22.07,23.04,21.94,22.14
2011-04-04,22.46,22.99,22.28,22.91
2011-04-05,23.57,23.58,22.44,22.95
2011-04-06,22.26,23.75,22.26,23.49
2011-04-07,23.63,24.14,22.73,23.81
2011-04-08,23.29,24.2,22.89,24.05
2011-04-11,24.48,24.52,23.26,23.73
2011-04-12,25.1,25.55,23.77,24.13
2011-04-13,23.03,23.82,22.24,22.66
2011-04-14,23.26,23.49,21.77,21.85
2011-04-15,22.12,22.48,20.78,21.07
2011-04-18,23.95,24.13,22.83,23.02
2011-04-19,22.59,22.6,21.14,21.3
2011-04-20,20.06,20.94,20.01,20.59
2011-04-21,20.4,21.33,20.27,21.14
2011-04-25,22.79,23.59,22.62,23.13
2011-04-26,23.19,23.51,22.11,22.35
2011-04-27,22.55,23.8,21.83,22.02
2011-04-28,22.8,22.97,21.93,21.95
2011-04-29,21.81,21.95,21.4,21.85
2011-05-02,22.58,23.36,22.43,23.13
2011-05-03,24.18,25.69,23.99,25.56
2011-05-04,26.02,26.55,25.21,25.5
2011-05-05,26.13,26.59,24.81,26.11
2011-05-06,24.78,26.32,23.7,25.21
2011-05-09,26.14,26.14,24.25,24.37
2011-05-10,23.99,24.01,23.02,23.32
2011-05-11,23.85,25.64,23.85,24.84
2011-05-12,25.58,26.08,23.93,24.4
2011-05-13,24.84,25.88,24.57,25.35
2011-05-16,26.21,26.25,24.42,25.27
2011-05-17,25.81,25.96,24.86,24.95
2011-05-18,24.75,24.8,23.16,23.5
2011-05-19,23.69,23.96,23.2,23.31
2011-05-20,23.58,24.34,22.76,23.28
2011-05-23,26.08,26.17,25.03,25.27
2011-05-24,24.75,24.75,23.73,24.46
2011-05-25,24.86,24.91,23.1,23.16
2011-05-26,23.06,23.06,22.04,22.36
2011-05-27,21.81,21.99,20.84,21.87
2011-05-31,21.97,22.81,21.8,22.29
2011-06-01,22.51,25.17,22.43,25.17
2011-06-02,24.82,25.4,24.27,24.75
2011-06-03,25.5,25.51,23.95,24.78
2011-06-06,25.46,26.44,25.36,26.13
2011-06-07,25.12,25.62,24.65,25.62
2011-06-08,26.05,26.3,25.74,26.09
2011-06-09,26.08,26.43,24.14,24.27
2011-06-10,25.23,26.2,25.19,26.01
2011-06-13,26.11,26.94,25.51,26.49
2011-06-14,25.78,25.82,24.3,24.77
2011-06-15,26.08,28.5,25.92,28.29
2011-06-16,28.89,31.77,27.36,31.03
2011-06-17,29.71,30.78,28.81,29.65
2011-06-20,31.54,31.66,27.74,28.21
2011-06-21,27.17,27.17,24.95,26.29
2011-06-22,26.97,26.97,24.66,25.36
2011-06-23,27.27,28.75,26.11,26.95
2011-06-24,26.21,27.88,26.13,27.51
2011-06-27,28.61,28.66,26.69,27.2
2011-06-28,27.09,27.38,25.72,26.17
2011-06-29,25.79,26.06,23.61,23.86
2011-06-30,23.19,23.38,22.38,22.47
2011-07-01,22.45,22.74,21.43,21.73
2011-07-05,22.65,22.93,21.77,22.66
2011-07-06,22.83,29.54,22.76,22.97
2011-07-07,21.84,22.21,21.8,22.11
2011-07-08,23.53,24.79,23.16,23.34
2011-07-11,25.36,25.81,24.49,25.78
2011-07-12,26.25,26.8,24.28,25.41
2011-07-13,24.19,25.52,23.82,24.46
2011-07-14,24.26,26.95,24.25,26.36
2011-07-15,25.9,42.64,25.06,25.06
2011-07-18,27.16,27.25,25.02,25.14
2011-07-19,24.18,25.02,23.28,23.86
2011-07-20,23.41,24.22,23.41,24.15
2011-07-21,23.51,24.34,23.42,24.21
2011-07-22,24.12,24.13,22.57,23.11
2011-07-25,24.82,24.94,24.01,24.25
2011-07-26,24.16,25.16,24.01,24.54
2011-07-27,24.99,28.05,24.79,28.01
2011-07-28,27.93,28.83,26.59,28.81
2011-07-29,29.71,30.69,28.63,29.96
2011-08-01,28.16,35.07,27.87,28.0
2011-08-02,28.83,29.06,27.43,28.86
2011-08-03,28.68,30.04,28.22,28.24
2011-08-04,30.55,37.9,30.46,37.9
2011-08-05,37.95,54.12,35.3,42.26
2011-08-08,49.42,57.51,46.78,57.28
2011-08-09,55.73,85.2,49.54,49.54
2011-08-10,54.2,57.34,51.71,56.93
2011-08-11,53.94,54.76,47.72,48.75
2011-08-12,48.37,48.5,45.26,46.07
2011-08-15,44.47,44.65,39.22,39.3
2011-08-16,41.97,42.07,37.99,38.55
2011-08-17,37.34,37.56,35.24,35.57
2011-08-18,40.94,47.23,40.94,45.19
2011-08-19,48.4,48.42,43.55,48.23
