Date,Open,High,Low,Close
2008-01-02,,,,18.97
2008-01-03,,,,18.91
2008-01-04,,,,19.03
2008-01-07,,,,19.13
2008-01-08,,,,18.87
2008-01-09,,,,21.63
2008-01-10,,,,21.57
2008-01-11,,,,21.98
2008-01-14,,,,21.53
2008-01-15,,,,22.66
2008-01-16,,,,22.71
2008-01-17,,,,21.79
2008-01-18,,,,26.75
2008-01-22,,,,30.93
2008-01-23,,,,31.94
2008-01-24,,,,31.55
2008-01-25,,,,30.92
2008-01-28,,,,31.41
2008-01-29,,,,30.37
2008-01-30,,,,30.84
2008-01-31,,,,29.05
2008-02-01,,,,26.31
2008-02-04,,,,27.41
2008-02-05,,,,30.42
2008-02-06,,,,30.67
2008-02-07,,,,30.49
2008-02-08,,,,30.64
2008-02-11,,,,31.39
2008-02-12,,,,29.64
2008-02-13,,,,27.5
2008-02-14,,,,27.82
2008-02-15,,,,27.76
2008-02-19,,,,26.06
2008-02-20,,,,27.02
2008-02-21,,,,26.64
2008-02-22,,,,26.06
2008-02-25,,,,24.51
2008-02-26,,,,22.54
2008-02-27,,,,22.86
2008-02-28,,,,24.55
2008-02-29,,,,27.56
2008-03-03,,,,28.22
2008-03-04,,,,28.45
2008-03-05,,,,27.77
2008-03-06,,,,30.48
2008-03-07,,,,30.57
2008-03-10,,,,31.76
2008-03-11,,,,28.89
2008-03-12,,,,28.8
2008-03-13,,,,29.23
2008-03-14,,,,30.5
2008-03-17,,,,33.49
2008-03-18,,,,31.7
2008-03-19,,,,33.24
2008-03-20,,,,33.11
2008-03-24,,,,26.78
2008-03-25,,,,24.93
2008-03-26,,,,25.31
2008-03-27,,,,24.93
2008-03-28,,,,24.82
2008-03-31,,,,26.62
2008-04-01,,,,23.81
2008-04-02,,,,23.95
2008-04-03,,,,23.96
2008-04-04,,,,23.48
2008-04-07,,,,23.53
2008-04-08,,,,24.72
2008-04-09,,,,25.0
2008-04-10,,,,24.52
2008-04-11,,,,25.11
2008-04-14,,,,25.56
2008-04-15,,,,23.57
2008-04-16,,,,20.96
2008-04-17,,,,21.81
2008-04-18,,,,20.04
2008-04-21,,,,20.77
2008-04-22,,,,21.35
2008-04-23,,,,20.77
2008-04-24,,,,20.63
2008-04-25,,,,20.21
2008-04-28,,,,20.12
2008-04-29,,,,20.58
2008-04-30,,,,20.21
2008-05-01,,,,19.98
2008-05-02,,,,18.99
2008-05-05,,,,19.47
2008-05-06,,,,18.99
2008-05-07,,,,20.15
2008-05-08,,,,19.57
2008-05-09,,,,20.15
2008-05-12,,,,18.54
2008-05-13,,,,18.39
2008-05-14,,,,17.97
2008-05-15,,,,16.96
2008-05-16,,,,14.26
2008-05-19,,,,16.36
2008-05-20,,,,18.13
2008-05-21,,,,18.88
2008-05-22,,,,18.09
2008-05-23,,,,18.79
2008-05-27,,,,19.22
2008-05-28,,,,18.48
2008-05-29,,,,17.67
2008-05-30,,,,17.37
2008-06-02,,,,18.42
2008-06-03,,,,18.62
2008-06-04,,,,18.67
2008-06-05,,,,18.1
2008-06-06,,,,19.75
2008-06-09,,,,20.37
2008-06-10,,,,20.88
2008-06-11,,,,19.96
2008-06-12,,,,22.25
2008-06-13,,,,21.57
2008-06-16,,,,21.41
2008-06-17,,,,20.07
2008-06-18,,,,20.27
2008-06-19,,,,20.02
2008-06-20,,,,21.12
2008-06-23,,,,20.12
2008-06-24,,,,21.78
2008-06-25,,,,21.42
2008-06-26,,,,22.37
2008-06-27,,,,22.3
2008-06-30,,,,23.12
2008-07-01,,,,24.32
2008-07-02,,,,24.81
2008-07-03,,,,23.55
2008-07-07,,,,24.74
2008-07-08,,,,23.97
2008-07-09,,,,24.27
2008-07-10,,,,24.08
2008-07-11,,,,24.99
2008-07-14,,,,24.95
2008-07-15,,,,28.12
2008-07-16,,,,24.35
2008-07-17,,,,24.02
2008-07-18,,,,23.65
2008-07-21,,,,22.97
2008-07-22,,,,22.21
2008-07-23,,,,21.59
2008-07-24,,,,22.77
2008-07-25,,,,22.8
2008-07-28,,,,24.38
2008-07-29,,,,22.83
2008-07-30,,,,22.0
2008-07-31,,,,22.16
2008-08-01,,,,22.8
2008-08-04,,,,23.6
2008-08-05,,,,21.69
2008-08-06,,,,21.13
2008-08-07,,,,21.87
2008-08-08,,,,21.42
2008-08-11,,,,21.55
2008-08-12,,,,21.41
2008-08-13,,,,20.96
2008-08-14,,,,20.25
2008-08-15,,,,20.53
2008-08-18,,,,21.47
2008-08-19,,,,21.39
2008-08-20,,,,20.54
2008-08-21,,,,19.59
2008-08-22,,,,18.45
2008-08-25,,,,19.97
2008-08-26,,,,19.45
2008-08-27,,,,18.81
2008-08-28,,,,18.53
2008-08-29,,,,18.99
2008-09-02,,,,20.31
2008-09-03,,,,20.09
2008-09-04,,,,21.12
2008-09-05,,,,20.96
2008-09-08,,,,21.72
2008-09-09,,,,26.3
2008-09-10,,,,25.29
2008-09-11,,,,25.59
2008-09-12,,,,25.18
2008-09-15,,,,31.99
2008-09-16,,,,30.5
2008-09-17,,,,32.69
2008-09-18,,,,33.29
