Date,Open,High,Low,Close
2011-03-16,29.25,33.59,28.52,32.16
2011-03-17,30.75,31.61,29.16,30.93
2011-03-18,29.16,29.16,28.17,28.49
2011-03-21,27.53,29.54,26.23,26.77
2011-03-22,26.34,26.36,24.61,25.07
2011-03-23,25.12,25.69,24.24,24.46
2011-03-24,24.28,24.91,24.22,24.69
2011-03-25,24.93,25.0,23.84,24.67
2011-03-28,25.99,26.1,23.98,25.21
2011-03-29,24.87,25.27,24.17,24.8
2011-03-30,24.01,24.21,23.21,23.28
2011-03-31,22.9,23.75,22.89,23.75
2011-04-01,22.7,23.39,22.25,23.06
2011-04-04,23.73,24.13,23.34,23.67
2011-04-05,24.1,24.18,22.84,23.22
2011-04-06,22.8,24.8,22.79,24.52
2011-04-07,24.24,24.54,23.42,24.42
2011-04-08,23.72,24.8,23.7,24.17
2011-04-11,24.07,24.38,22.89,24.28
2011-04-12,25.31,26.41,25.19,25.28
2011-04-13,24.95,26.14,24.87,24.88
2011-04-14,25.42,25.62,23.79,24.1
2011-04-15,23.91,24.2,22.74,23.45
2011-04-18,25.63,26.75,25.38,25.44
2011-04-19,24.98,24.98,23.38,23.42
2011-04-20,22.28,23.24,22.13,22.36
2011-04-21,22.47,23.33,22.19,22.25
2011-04-25,24.05,24.08,23.5,23.57
2011-04-26,23.72,23.73,23.13,23.15
2011-04-27,23.13,24.47,23.13,23.87
2011-04-28,24.89,25.62,24.52,24.52
2011-04-29,24.77,24.85,24.08,24.78
2011-05-02,25.38,25.63,25.06,25.42
2011-05-03,26.1,27.38,25.64,27.16
2011-05-04,27.22,28.35,27.19,28.28
2011-05-05,28.59,29.41,27.89,28.7
2011-05-06,27.48,28.16,25.78,27.43
2011-05-09,28.57,28.57,26.71,26.74
2011-05-10,26.5,26.57,24.95,25.3
2011-05-11,26.22,27.38,26.16,26.91
2011-05-12,27.42,28.02,25.85,25.97
2011-05-13,26.18,28.38,26.15,27.63
2011-05-16,28.74,28.81,27.51,28.39
2011-05-17,28.82,29.0,27.82,28.02
2011-05-18,28.05,28.22,26.1,27.22
2011-05-19,27.14,27.87,26.91,27.83
2011-05-20,28.02,28.07,26.63,27.05
2011-05-23,29.28,29.28,27.52,28.0
2011-05-24,27.46,27.46,26.15,26.68
2011-05-25,26.88,26.9,25.24,25.39
2011-05-26,25.26,25.26,23.98,23.98
2011-05-27,23.54,23.99,22.95,23.77
2011-05-31,24.27,24.91,24.01,24.38
2011-06-01,24.75,26.4,24.41,26.4
2011-06-02,26.44,27.14,25.9,26.17
2011-06-03,26.62,26.98,24.77,25.75
2011-06-06,27.13,28.95,26.86,28.81
2011-06-07,28.23,28.23,26.99,27.68
2011-06-08,27.73,28.26,27.51,28.03
2011-06-09,28.17,28.34,26.68,26.96
2011-06-10,27.41,28.45,27.41,27.96
2011-06-13,28.36,28.67,27.77,28.65
2011-06-14,27.83,28.11,26.47,26.81
2011-06-15,27.94,28.98,27.25,28.49
2011-06-16,29.0,42.15,28.23,31.45
2011-06-17,30.74,32.1,30.3,32.1
