Date,Open,High,Low,Close
2011-03-16,30.15,35.89,29.53,35.84
2011-03-17,33.78,34.6,31.58,31.77
2011-03-18,29.62,30.58,28.92,29.31
2011-03-21,27.08,27.29,25.15,25.95
2011-03-22,24.85,25.27,24.48,24.52
2011-03-23,24.39,24.89,23.55,24.03
2011-03-24,23.6,24.57,22.77,22.92
2011-03-25,23.13,23.16,22.07,22.99
2011-03-28,24.58,24.67,23.16,23.52
2011-03-29,23.03,24.05,23.01,23.8
2011-03-30,23.01,23.31,22.93,23.03
2011-03-31,22.99,23.27,22.67,23.04
2011-04-01,22.24,22.61,21.92,22.44
2011-04-04,22.43,22.5,21.82,22.4
2011-04-05,22.92,22.92,22.07,22.52
2011-04-06,22.41,22.95,22.35,22.94
2011-04-07,23.05,23.57,22.61,23.2
2011-04-08,22.83,23.64,22.64,23.56
2011-04-11,22.12,22.51,21.09,21.29
2011-04-12,21.85,23.39,21.84,22.48
2011-04-13,21.83,22.17,21.47,21.71
2011-04-14,21.88,22.13,21.2,21.76
2011-04-15,21.71,21.96,20.09,20.09
2011-04-18,22.44,22.72,21.84,22.17
2011-04-19,22.23,22.23,20.83,20.97
2011-04-20,20.11,21.37,19.91,20.79
2011-04-21,20.66,20.75,20.48,20.58
2011-04-25,22.21,22.65,21.98,22.48
2011-04-26,22.57,22.76,22.11,22.2
2011-04-27,22.45,23.43,22.26,22.4
2011-04-28,22.66,22.75,22.08,22.14
2011-04-29,22.31,22.52,21.97,22.05
2011-05-02,22.88,23.38,22.32,23.33
2011-05-03,23.91,25.26,23.7,24.95
2011-05-04,25.68,25.98,25.15,25.53
2011-05-05,25.67,25.85,23.07,23.67
2011-05-06,23.32,24.29,22.91,23.92
2011-05-09,24.53,24.55,22.67,22.98
2011-05-10,22.81,23.03,22.03,23.0
2011-05-11,23.65,23.99,22.98,23.05
2011-05-12,23.35,23.78,21.94,21.97
2011-05-13,21.98,23.45,21.92,23.2
2011-05-16,24.06,24.14,22.69,23.46
2011-05-17,23.61,23.92,22.89,23.02
2011-05-18,22.47,22.67,21.48,21.94
2011-05-19,22.13,22.64,21.55,21.76
2011-05-20,21.69,21.92,21.04,21.24
2011-05-23,23.67,23.81,23.38,23.53
2011-05-24,23.04,23.1,22.54,22.92
2011-05-25,22.91,23.04,21.78,21.81
2011-05-26,21.69,21.69,20.9,20.96
2011-05-27,20.58,21.04,20.31,20.92
2011-05-31,21.48,22.16,20.9,21.79
2011-06-01,22.3,23.63,22.27,23.58
2011-06-02,23.77,25.07,23.5,23.84
2011-06-03,24.97,25.04,23.29,23.69
2011-06-06,24.76,24.82,24.13,24.64
2011-06-07,23.85,24.15,23.06,24.04
2011-06-08,24.26,24.97,24.05,24.94
2011-06-09,25.12,25.27,23.99,24.25
2011-06-10,24.67,26.66,24.67,25.87
2011-06-13,25.91,26.13,24.95,25.84
2011-06-14,25.5,25.5,24.49,24.97
2011-06-15,25.68,26.87,25.11,26.54
2011-06-16,27.54,29.06,25.79,28.44
2011-06-17,28.84,28.89,27.94,28.6
2011-06-20,29.71,29.73,26.8,26.89
2011-06-21,27.17,27.17,24.67,24.79
2011-06-22,25.72,25.73,23.57,24.81
2011-06-23,25.93,26.95,24.64,24.64
2011-06-24,23.65,25.88,23.47,25.63
2011-06-27,26.12,26.22,25.02,26.1
2011-06-28,26.39,26.4,25.05,25.15
2011-06-29,25.61,25.78,23.58,23.69
2011-06-30,23.4,23.4,22.54,22.55
2011-07-01,22.47,22.61,21.96,22.12
2011-07-05,23.24,23.29,21.96,22.5
2011-07-06,23.23,23.56,22.82,23.02
2011-07-07,22.66,22.82,22.12,22.8
2011-07-08,23.21,24.25,23.21,24.25
2011-07-11,25.34,27.11,25.19,26.87
2011-07-12,27.39,27.88,26.36,26.87
2011-07-13,25.57,26.15,25.08,25.99
2011-07-14,25.27,26.31,24.54,26.11
2011-07-15,25.72,26.09,25.28,25.32
2011-07-18,26.86,27.25,25.89,25.92
2011-07-19,25.07,25.44,23.97,24.03
2011-07-20,23.44,24.51,23.44,23.76
2011-07-21,23.76,23.83,22.77,23.68
2011-07-22,23.6,23.6,22.7,22.8
2011-07-25,24.21,24.37,23.5,24.29
2011-07-26,24.31,24.33,23.71,24.15
2011-07-27,24.49,26.56,24.32,26.31
2011-07-28,26.5,26.5,25.21,26.17
2011-07-29,27.7,27.99,27.08,27.1
2011-08-01,27.19,27.91,26.23,26.41
2011-08-02,26.87,27.56,26.37,27.53
2011-08-03,28.0,28.85,27.09,27.2
2011-08-04,29.06,34.66,28.21,34.62
2011-08-05,37.06,41.32,35.87,39.88
2011-08-08,44.91,50.19,43.24,50.12
2011-08-09,49.19,67.08,45.08,45.38
2011-08-10,52.52,55.44,51.06,55.44
2011-08-11,52.42,52.56,44.18,46.07
2011-08-12,43.93,44.64,42.51,43.25
2011-08-15,38.68,40.32,36.5,37.06
2011-08-16,37.71,38.55,35.97,36.39
2011-08-17,35.62,35.62,32.63,33.54
2011-08-18,36.86,42.96,36.78,42.28
2011-08-19,45.48,46.68,41.68,46.0
2011-08-22,44.09,44.67,41.78,44.42
2011-08-23,41.95,77.07,38.71,38.71
2011-08-24,41.53,42.13,39.45,40.08
2011-08-25,39.68,46.17,39.13,46.02
2011-08-26,47.29,48.93,41.82,41.92
2011-08-29,41.38,41.38,37.69,37.73
2011-08-30,38.4,38.4,36.67,37.89
2011-08-31,36.23,36.29,34.84,34.92
2011-09-01,36.77,47.4,34.71,36.09
2011-09-02,38.71,38.75,36.8,38.0
2011-09-06,43.54,60.18,42.0,42.07
2011-09-07,40.92,41.1,37.71,38.37
2011-09-08,40.01,40.43,38.1,40.29
2011-09-09,40.81,45.58,40.77,45.07
2011-09-12,50.61,50.99,48.65,48.79
2011-09-13,48.45,49.74,44.45,44.48
2011-09-14,44.81,45.14,42.56,42.95
2011-09-15,42.05,42.05,39.13,39.61
2011-09-16,40.08,40.14,36.42,37.06
2011-09-19,43.05,43.36,40.96,42.15
2011-09-20,42.32,42.59,39.5,40.77
2011-09-21,42.23,59.64,41.12,45.34
2011-09-22,51.12,57.28,50.52,56.57
2011-09-23,53.61,56.44,53.1,54.65
2011-09-26,57.95,58.58,52.74,53.21
2011-09-27,50.57,50.58,47.14,50.19
2011-09-28,51.44,55.56,50.84,55.1
2011-09-29,53.31,55.36,51.35,53.53
2011-09-30,58.24,60.29,56.33,60.25
2011-10-03,65.37,98.69,61.21,63.42
2011-10-04,66.8,66.96,61.9,62.34
2011-10-05,62.82,72.48,55.09,56.25
2011-10-06,56.15,56.56,50.45,50.45
2011-10-07,49.98,52.75,48.39,52.1
2011-10-10,51.43,51.43,45.97,46.31
2011-10-11,46.44,46.71,45.03,46.12
2011-10-12,44.11,44.11,40.86,41.25
2011-10-13,42.11,43.58,40.27,40.39
2011-10-14,40.0,43.71,38.84,40.35
2011-10-17,42.07,43.81,41.91,43.66
2011-10-18,44.82,45.92,40.72,42.02
2011-10-19,44.38,44.83,42.39,44.83
2011-10-20,46.12,47.96,45.65,45.93
2011-10-21,44.99,44.99,42.66,43.68
2011-10-24,42.23,42.38,39.85,42.16
2011-10-25,42.31,45.7,42.26,45.56
2011-10-26,42.33,46.26,42.17,45.17
2011-10-27,40.57,41.33,37.58,39.98
2011-10-28,41.22,41.23,38.28,38.39
2011-10-31,41.78,43.06,41.64,42.85
2011-11-01,47.81,49.39,47.04,47.97
2011-11-02,45.16,45.8,43.66,44.62
