Date,Open,High,Low,Close
2011-03-16,36.1,42.63,35.74,38.09
2011-03-17,36.84,39.09,35.68,37.23
2011-03-18,35.98,35.98,33.54,33.64
2011-03-21,34.63,35.9,31.36,31.46
2011-03-22,31.03,34.05,30.61,31.34
2011-03-23,31.49,35.71,30.28,30.62
2011-03-24,32.36,32.39,29.49,30.78
2011-03-25,30.6,30.96,29.86,30.24
2011-03-28,32.05,32.06,30.11,30.36
2011-03-29,30.4,30.93,30.08,30.91
2011-03-30,30.62,30.71,29.71,29.76
2011-03-31,29.58,30.52,29.47,30.52
2011-04-01,30.53,30.98,29.97,30.07
2011-04-04,30.79,30.8,30.29,30.56
2011-04-05,30.59,31.49,29.92,31.41
2011-04-06,31.27,31.91,31.2,31.36
2011-04-07,31.43,31.79,30.91,31.72
2011-04-08,31.15,32.25,31.0,31.65
2011-04-11,31.12,32.49,31.01,32.47
2011-04-12,32.94,34.41,32.8,33.29
2011-04-13,33.1,33.37,31.91,31.96
2011-04-14,32.31,32.71,31.05,31.17
2011-04-15,31.99,32.18,30.46,31.45
2011-04-18,33.28,35.73,32.64,33.74
2011-04-19,33.65,33.65,30.15,31.12
2011-04-20,30.72,30.74,29.72,30.06
2011-04-21,30.07,42.84,29.19,29.93
2011-04-25,32.01,34.14,32.01,33.85
2011-04-26,33.95,35.08,32.03,32.53
2011-04-27,32.7,34.01,31.9,31.98
2011-04-28,31.77,32.99,31.36,32.34
2011-04-29,32.02,32.76,31.0,32.57
2011-05-02,34.29,35.85,34.12,35.84
2011-05-03,35.96,37.46,35.89,36.22
2011-05-04,36.09,40.85,35.96,36.04
2011-05-05,36.39,41.8,36.39,40.44
2011-05-06,40.19,40.52,35.68,37.75
2011-05-09,39.11,39.11,34.19,35.22
2011-05-10,35.07,36.9,33.64,33.91
2011-05-11,34.04,40.96,33.2,35.73
2011-05-12,36.47,47.1,36.4,36.51
2011-05-13,36.18,60.73,35.4,36.44
2011-05-16,37.1,38.75,34.5,37.31
2011-05-17,37.46,40.18,35.43,35.44
2011-05-18,35.4,36.47,33.86,33.94
2011-05-19,34.16,36.62,32.4,32.75
2011-05-20,32.72,34.71,32.03,33.57
2011-05-23,35.26,36.38,33.72,33.97
2011-05-24,33.91,33.91,31.81,32.14
2011-05-25,32.35,32.78,30.87,30.95
2011-05-26,30.69,30.81,29.28,29.63
2011-05-27,29.51,29.54,28.78,29.26
2011-05-31,30.37,30.51,29.68,30.07
2011-06-01,30.3,32.34,30.3,32.33
2011-06-02,32.34,32.8,31.03,31.23
2011-06-03,31.64,49.04,29.99,31.45
2011-06-06,32.85,33.43,32.38,33.38
2011-06-07,33.35,33.37,32.28,32.58
2011-06-08,33.11,34.82,32.86,33.55
2011-06-09,33.77,33.98,32.69,33.0
2011-06-10,33.56,35.32,33.25,34.39
2011-06-13,36.41,36.43,32.87,33.66
2011-06-14,33.25,33.35,31.92,32.26
2011-06-15,32.65,34.93,32.17,34.21
2011-06-16,35.07,52.95,33.93,36.94
2011-06-17,36.45,37.39,35.67,36.52
2011-06-20,37.62,37.62,33.14,33.14
2011-06-21,32.57,32.57,29.64,30.78
2011-06-22,31.08,31.47,29.9,30.28
2011-06-23,31.93,33.31,31.5,32.84
2011-06-24,33.08,34.15,32.96,33.66
2011-06-27,35.33,36.05,33.49,33.54
2011-06-28,33.18,34.0,32.55,32.99
2011-06-29,32.53,40.39,30.57,31.46
2011-06-30,31.2,31.31,29.43,29.62
2011-07-01,30.2,31.61,30.2,30.68
2011-07-05,30.47,30.97,29.75,30.87
2011-07-06,30.51,46.18,30.08,30.5
2011-07-07,30.29,30.29,28.36,28.91
2011-07-08,28.7,28.87,28.34,28.72
2011-07-11,28.21,30.76,28.17,30.52
2011-07-12,31.13,31.72,28.62,31.3
2011-07-13,30.59,33.09,30.38,30.9
2011-07-14,30.75,33.16,30.75,31.7
2011-07-15,30.98,36.31,29.99,30.43
2011-07-18,31.59,32.95,31.39,32.48
2011-07-19,32.39,32.68,30.29,31.75
2011-07-20,32.01,32.23,31.04,31.75
2011-07-21,31.79,31.79,30.3,31.13
2011-07-22,31.1,31.58,30.41,30.81
2011-07-25,31.92,36.79,31.92,32.52
2011-07-26,32.33,42.47,31.59,32.62
2011-07-27,32.91,39.75,31.85,34.61
2011-07-28,34.79,35.9,32.96,34.04
2011-07-29,35.88,44.24,34.67,35.59
2011-08-01,34.74,36.81,34.45,35.19
2011-08-02,35.05,36.77,34.02,36.28
2011-08-03,35.1,36.46,33.49,34.83
2011-08-04,34.58,43.36,34.58,42.82
2011-08-05,41.34,47.59,40.12,41.5
2011-08-08,42.28,53.59,42.28,51.62
2011-08-09,51.97,67.37,47.34,48.85
2011-08-10,49.01,53.53,46.84,51.46
2011-08-11,52.37,62.41,46.51,47.04
2011-08-12,47.57,51.68,40.46,41.78
2011-08-15,42.19,42.68,36.92,39.76
2011-08-16,40.1,46.79,39.71,40.22
2011-08-17,43.77,43.77,38.39,40.61
2011-08-18,41.93,55.85,41.93,44.71
2011-08-19,45.5,46.59,43.7,45.32
2011-08-22,45.76,57.61,42.11,44.58
2011-08-23,45.39,45.89,42.47,42.73
2011-08-24,43.39,45.1,42.66,43.96
2011-08-25,43.34,46.53,41.7,43.47
2011-08-26,43.26,68.85,39.0,40.25
2011-08-29,41.37,43.19,39.8,40.16
2011-08-30,40.11,61.4,38.95,39.35
2011-08-31,40.4,60.13,38.72,39.1
2011-09-01,26.7,39.78,26.7,38.15
2011-09-02,38.21,39.89,37.96,39.38
2011-09-06,42.88,63.0,40.95,41.54
2011-09-07,49.51,49.51,39.71,40.76
2011-09-08,40.74,41.95,38.84,39.9
2011-09-09,40.11,43.5,40.11,41.98
2011-09-12,44.47,46.14,39.44,45.47
2011-09-13,43.93,43.93,40.18,41.18
2011-09-14,42.35,42.37,38.88,41.37
2011-09-15,42.58,54.59,39.52,40.8
2011-09-16,40.4,55.01,36.89,36.91
2011-09-19,38.96,40.56,36.35,36.45
2011-09-20,36.74,40.17,35.42,37.99
2011-09-21,38.21,45.34,38.11,40.18
2011-09-22,43.57,58.3,42.86,47.98
2011-09-23,57.36,66.61,50.09,53.94
2011-09-26,59.96,67.58,51.76,51.77
2011-09-27,51.01,51.01,46.51,48.93
2011-09-28,48.67,53.52,47.34,53.52
2011-09-29,52.27,54.39,50.29,53.64
2011-09-30,54.06,62.71,47.96,53.38
2011-10-03,55.51,65.72,52.51,55.83
2011-10-04,56.63,59.61,56.1,56.5
2011-10-05,59.56,71.95,52.13,52.61
2011-10-06,52.57,54.44,51.32,51.32
2011-10-07,50.63,62.62,48.5,50.74
2011-10-10,50.41,50.53,48.21,48.72
2011-10-11,48.26,48.68,46.8,47.38
2011-10-12,46.52,48.83,43.46,44.35
2011-10-13,44.69,45.78,43.11,43.15
2011-10-14,42.59,64.02,41.07,41.82
2011-10-17,43.36,48.06,42.67,43.95
2011-10-18,44.18,49.62,42.61,42.91
2011-10-19,43.33,47.42,43.33,47.28
2011-10-20,47.64,55.83,46.98,48.51
2011-10-21,47.4,53.59,45.54,45.83
2011-10-24,46.69,47.25,41.69,43.3
2011-10-25,43.29,58.69,43.29,45.06
2011-10-26,44.23,44.81,42.31,42.96
2011-10-27,41.65,41.91,39.61,41.64
2011-10-28,41.9,47.85,39.27,40.93
2011-10-31,41.01,42.64,41.01,42.19
2011-11-01,45.34,61.11,37.16,46.28
2011-11-02,44.9,45.76,43.28,44.93
2011-11-03,44.23,51.58,41.44,42.01
2011-11-04,42.57,43.87,42.33,42.89
2011-11-07,43.9,55.32,42.4,42.64
2011-11-08,43.21,43.25,40.05,40.19
2011-11-09,41.24,45.18,40.99,44.17
2011-11-10,43.36,43.66,41.08,42.18
2011-11-11,40.86,50.46,38.38,39.18
2011-11-14,40.87,42.11,40.29,41.22
2011-11-15,41.84,43.05,40.16,41.18
2011-11-16,42.46,42.95,36.22,42.73
2011-11-17,43.36,47.59,40.22,43.37
2011-11-18,44.4,44.64,40.5,40.52
2011-11-21,43.78,45.64,41.89,43.18
2011-11-22,42.57,42.75,40.1,40.51
2011-11-23,40.84,43.7,37.93,40.68
2011-11-25,41.8,44.68,39.82,41.23
2011-11-28,41.7,43.3,38.86,39.97
2011-11-29,40.23,47.38,38.46,40.08
2011-11-30,39.03,42.47,37.54,39.81
2011-12-01,38.67,39.01,36.9,38.37
2011-12-02,37.74,39.48,37.02,39.4
2011-12-05,40.52,40.65,37.86,40.08
2011-12-06,40.39,40.9,38.85,39.9
2011-12-07,39.82,40.18,38.01,38.84
2011-12-08,39.49,41.85,39.13,41.81
2011-12-09,41.16,41.4,28.58,38.99
2011-12-12,41.1,41.5,39.4,39.46
2011-12-13,39.28,39.61,33.39,37.27
2011-12-14,38.5,43.35,38.36,42.36
2011-12-15,41.63,42.5,37.75,39.7
2011-12-16,39.81,46.23,35.34,36.59
2011-12-19,38.24,40.39,35.82,37.81
2011-12-20,37.01,37.01,33.78,34.68
2011-12-21,34.44,45.52,32.97,34.5
2011-12-22,34.4,34.73,32.32,34.31
2011-12-23,34.17,34.39,32.08,33.8
2011-12-27,36.2,36.77,35.28,35.67
2011-12-28,35.93,41.07,35.86,39.78
2011-12-29,40.36,40.96,38.51,39.07
2011-12-30,38.44,38.69,37.76,38.02
2012-01-03,38.42,38.42,35.37,35.9
2012-01-04,36.09,36.61,35.28,35.33
2012-01-05,37.7,37.77,34.07,34.74
2012-01-06,34.45,34.68,33.65,34.07
2012-01-09,35.08,35.23,33.44,33.51
2012-01-10,32.8,33.19,31.67,33.02
2012-01-11,33.03,34.28,33.03,33.76
2012-01-12,33.3,33.58,32.03,33.5
2012-01-13,34.38,38.04,32.81,32.81
2012-01-17,34.43,38.33,32.39,35.1
2012-01-18,34.63,39.54,33.52,33.8
