Date,Open,High,Low,Close
2010-06-01,40.3,41.0,39.14,41.0
2010-06-02,40.46,40.85,38.09,38.11
2010-06-03,37.77,37.78,35.53,35.79
2010-06-04,37.39,39.76,36.85,39.23
2010-06-07,39.87,41.56,39.85,41.37
2010-06-08,41.3,43.32,40.97,41.07
2010-06-09,40.71,41.37,39.23,41.17
2010-06-10,40.32,40.32,38.02,38.18
2010-06-11,39.11,39.11,36.5,36.5
2010-06-14,36.8,37.87,36.76,37.83
2010-06-15,37.5,37.5,35.0,35.98
2010-06-16,36.18,36.21,34.59,34.76
2010-06-17,34.52,35.39,33.8,33.8
2010-06-18,33.37,33.69,32.42,32.54
2010-06-21,33.01,34.58,32.48,34.16
2010-06-22,34.18,34.74,32.97,34.66
2010-06-23,34.94,35.97,34.66,35.4
2010-06-24,35.61,37.03,35.34,36.88
2010-06-25,36.61,37.08,35.36,35.45
2010-06-28,36.58,36.69,33.75,33.91
2010-06-29,35.34,39.59,35.34,39.17
2010-06-30,39.3,39.53,37.9,39.47
2010-07-01,39.85,42.81,39.53,41.62
2010-07-02,42.06,42.36,40.08,40.7
2010-07-06,40.66,40.66,38.59,39.63
2010-07-07,39.35,39.9,36.45,36.46
2010-07-08,36.1,36.85,35.7,35.8
2010-07-09,34.62,36.43,34.49,35.18
2010-07-12,34.97,35.49,34.64,34.81
2010-07-13,36.4,36.44,33.68,35.52
2010-07-14,35.79,37.32,35.72,36.45
2010-07-15,36.35,37.8,36.02,36.53
2010-07-16,33.02,33.02,30.66,30.99
2010-07-19,31.77,32.87,30.84,31.2
2010-07-20,31.48,31.49,28.16,28.19
2010-07-21,27.81,28.89,27.17,28.57
2010-07-22,27.79,27.79,25.97,26.76
2010-07-23,27.13,27.56,25.72,25.76
2010-07-26,26.94,27.18,26.04,26.09
2010-07-27,25.56,26.64,25.52,26.37
2010-07-28,26.34,29.3,26.34,27.7
2010-07-29,27.51,28.49,27.07,27.51
2010-07-30,28.55,28.6,27.64,27.67
2010-08-02,28.1,28.17,27.01,27.07
2010-08-03,27.13,27.63,26.67,26.82
2010-08-04,26.66,26.66,25.45,25.76
2010-08-05,26.04,26.6,25.75,25.96
2010-08-06,26.19,27.92,26.16,26.41
2010-08-09,27.0,27.0,25.89,25.9
2010-08-10,26.58,27.47,26.45,26.56
2010-08-11,27.62,28.91,27.62,28.71
2010-08-12,29.67,29.67,28.58,28.8
2010-08-13,29.4,29.67,28.67,29.12
2010-08-16,30.05,30.29,28.79,29.08
2010-08-17,28.75,29.2,27.85,27.93
2010-08-18,28.1,29.1,26.75,27.16
2010-08-19,27.46,29.93,27.46,29.92
2010-08-20,30.11,30.85,29.92,30.78
2010-08-23,32.83,32.83,31.56,31.75
2010-08-24,33.3,34.67,33.26,34.24
2010-08-25,34.6,35.39,33.22,33.38
2010-08-26,33.29,33.93,33.29,33.69
2010-08-27,33.7,34.36,32.15,32.15
2010-08-30,33.76,33.9,32.9,33.01
2010-08-31,33.52,33.78,32.86,32.91
2010-09-01,32.5,32.57,30.81,30.95
2010-09-02,30.88,31.25,30.71,30.77
2010-09-03,30.01,30.14,29.03,29.03
2010-09-07,31.47,31.76,31.19,31.56
2010-09-08,31.67,31.67,30.49,30.49
2010-09-09,29.95,31.28,29.95,31.0
2010-09-10,31.21,31.38,30.5,30.57
2010-09-13,31.76,31.79,30.87,30.94
2010-09-14,31.33,31.33,30.14,30.46
2010-09-15,30.7,30.78,30.12,30.19
2010-09-16,30.28,30.36,29.26,29.29
2010-09-17,29.16,30.39,28.57,30.28
2010-09-20,30.64,30.96,30.01,30.22
2010-09-21,30.4,32.01,30.4,31.15
2010-09-22,31.27,31.95,31.18,31.18
2010-09-23,31.56,31.88,30.67,30.67
2010-09-24,30.33,32.77,30.29,31.65
2010-09-27,32.2,33.36,32.2,32.27
2010-09-28,32.35,33.24,31.56,31.62
2010-09-29,31.64,31.88,31.16,31.18
2010-09-30,31.09,31.51,30.82,31.19
2010-10-01,31.22,31.57,31.09,31.24
2010-10-04,32.24,33.14,31.95,32.03
2010-10-05,31.8,31.91,31.05,31.05
2010-10-06,30.92,32.03,30.88,31.62
2010-10-07,31.55,31.55,30.7,30.72
2010-10-08,30.48,30.61,29.4,29.49
2010-10-11,29.8,30.4,29.76,29.96
2010-10-12,30.11,30.69,30.03,30.18
2010-10-13,30.36,30.64,29.36,29.43
2010-10-14,29.67,33.0,29.46,32.61
2010-10-15,27.4,27.54,25.7,27.03
2010-10-18,27.34,30.34,27.34,29.09
2010-10-19,29.11,29.11,26.84,27.3
2010-10-20,27.43,27.67,26.21,26.22
2010-10-21,26.45,26.76,25.91,25.91
2010-10-22,26.13,26.26,25.16,25.28
2010-10-25,26.27,27.42,26.17,27.22
2010-10-26,27.4,27.4,26.11,26.15
2010-10-27,26.54,27.58,26.54,26.92
2010-10-28,26.99,27.6,26.51,26.56
2010-10-29,26.79,26.8,26.17,26.19
2010-11-01,27.16,27.47,26.84,26.84
2010-11-02,26.84,26.84,26.15,26.28
2010-11-03,26.29,26.47,25.61,25.62
2010-11-04,25.38,25.38,23.72,23.73
2010-11-05,23.9,24.05,23.01,23.12
2010-11-08,23.99,24.04,22.91,22.91
2010-11-09,23.06,23.31,22.26,22.31
2010-11-10,22.5,24.53,22.12,22.14
2010-11-11,22.76,23.1,22.38,22.42
2010-11-12,22.75,25.57,22.28,25.56
2010-11-15,28.73,30.18,25.36,25.78
2010-11-16,26.4,27.97,26.25,27.36
2010-11-17,27.49,27.64,26.58,26.87
2010-11-18,26.62,26.67,24.85,24.91
2010-11-19,25.24,25.83,24.85,25.21
2010-11-22,26.97,27.19,26.37,26.84
2010-11-23,27.76,30.42,27.75,29.65
2010-11-24,29.38,29.44,27.43,27.49
2010-11-26,29.2,29.2,28.56,28.56
2010-11-29,30.13,31.31,30.13,31.1
2010-11-30,32.49,34.52,32.49,34.45
2010-12-01,33.72,33.72,30.72,31.21
2010-12-02,31.17,31.25,29.01,29.06
2010-12-03,29.36,29.51,28.36,28.66
2010-12-06,29.24,29.48,28.01,28.27
2010-12-07,27.73,28.65,27.35,28.26
2010-12-08,28.29,28.39,27.84,27.86
2010-12-09,27.88,28.5,27.42,28.02
2010-12-10,28.15,28.27,27.4,28.19
2010-12-13,29.62,29.71,28.59,28.72
2010-12-14,28.84,29.87,28.75,29.14
2010-12-15,29.17,30.06,28.99,29.97
2010-12-16,29.92,30.01,28.48,29.27
2010-12-17,29.39,29.53,28.25,28.28
2010-12-20,28.99,29.2,27.04,27.73
2010-12-21,27.63,28.59,27.18,28.29
2010-12-22,28.09,28.28,27.6,27.66
2010-12-23,27.67,27.83,27.4,27.55
2010-12-27,28.88,29.23,28.69,29.16
2010-12-28,29.14,29.74,29.14,29.65
2010-12-29,29.55,29.7,29.2,29.49
2010-12-30,29.55,30.32,29.54,30.27
2010-12-31,30.55,32.22,30.55,32.13
2011-01-03,32.29,32.29,30.75,31.24
2011-01-04,31.21,31.47,31.04,31.19
2011-01-05,31.43,32.18,30.83,30.85
2011-01-06,30.76,30.95,30.3,30.38
2011-01-07,30.35,30.47,29.46,29.61
2011-01-10,30.36,30.93,30.36,30.92
2011-01-11,30.86,31.22,30.53,30.54
2011-01-12,30.48,30.49,29.77,29.79
2011-01-13,29.72,30.02,29.52,29.67
2011-01-14,29.59,29.6,29.15,29.17
2011-01-18,29.94,31.88,29.87,31.04
2011-01-19,31.05,33.51,31.05,32.58
2011-01-20,32.66,34.43,32.47,33.81
2011-01-21,25.64,26.37,23.56,26.37
2011-01-24,27.39,27.48,24.37,24.69
2011-01-25,24.96,24.97,23.23,23.46
2011-01-26,23.24,23.69,22.57,22.93
2011-01-27,22.92,23.05,22.05,22.28
2011-01-28,22.21,26.38,21.91,26.27
2011-01-31,27.15,27.15,25.42,25.45
2011-02-01,25.14,25.14,22.76,23.12
2011-02-02,23.18,23.42,22.51,22.83
2011-02-03,23.25,23.25,22.67,22.88
2011-02-04,23.05,23.28,22.71,22.82
2011-02-07,23.64,23.77,21.96,22.08
2011-02-08,22.01,22.04,20.78,20.83
2011-02-09,20.92,21.84,19.02,20.93
2011-02-10,20.94,21.65,20.43,21.25
2011-02-11,21.33,21.35,20.21,20.93
2011-02-14,21.17,21.69,20.76,20.78
2011-02-15,20.66,21.18,19.65,20.71
2011-02-16,20.78,21.2,20.43,20.53
2011-02-17,20.67,21.02,20.47,20.63
2011-02-18,20.82,21.05,20.05,20.27
2011-02-22,22.49,26.34,22.31,26.17
2011-02-23,26.14,27.96,25.68,25.7
2011-02-24,27.0,29.93,26.31,26.31
2011-02-25,26.11,26.11,24.56,25.41
2011-02-28,26.73,26.8,25.18,25.54
2011-03-01,25.19,28.1,25.18,28.01
2011-03-02,28.29,28.69,27.47,27.48
2011-03-03,26.81,26.81,25.29,25.66
2011-03-04,26.02,27.75,25.97,27.49
2011-03-07,28.57,30.51,28.42,29.89
2011-03-08,29.88,30.0,28.17,28.5
2011-03-09,28.84,29.63,28.76,28.87
2011-03-10,29.74,30.27,29.21,29.98
2011-03-11,30.46,30.51,29.48,29.59
2011-03-14,31.38,32.03,30.83,31.17
2011-03-15,32.86,33.64,30.99,31.71
