Date,Open,High,Low,Close
2010-06-01,50.83,56.38,49.33,51.76
2010-06-02,51.52,52.35,47.28,47.98
2010-06-03,50.18,50.53,46.2,46.2
2010-06-04,48.85,51.17,47.25,49.14
2010-06-07,49.69,53.52,48.81,50.95
2010-06-08,50.4,54.94,50.2,50.34
2010-06-09,50.07,59.5,48.64,52.35
2010-06-10,52.69,57.55,51.73,51.85
2010-06-11,53.48,53.64,49.27,49.3
2010-06-14,51.04,51.73,48.65,50.16
2010-06-15,50.53,50.53,45.9,46.52
2010-06-16,47.05,47.19,42.99,43.48
2010-06-17,43.53,43.81,40.52,41.29
2010-06-18,41.06,41.06,37.5,37.97
2010-06-21,38.16,39.5,36.16,38.98
2010-06-22,41.49,41.68,38.76,41.47
2010-06-23,42.6,43.21,40.1,40.14
2010-06-24,40.94,43.59,40.22,41.39
2010-06-25,41.14,42.45,37.9,39.43
2010-06-28,41.64,43.0,40.49,41.18
2010-06-29,42.39,46.94,42.16,45.58
2010-06-30,46.29,47.07,44.43,46.5
2010-07-01,47.0,49.86,45.05,47.66
2010-07-02,46.89,47.57,44.16,44.46
2010-07-06,44.83,44.99,42.4,43.8
2010-07-07,43.54,43.94,40.45,40.63
2010-07-08,40.96,42.63,38.77,39.09
2010-07-09,40.04,40.34,37.88,38.46
2010-07-12,39.13,40.33,36.75,37.84
2010-07-13,36.92,37.14,34.45,35.92
2010-07-14,38.05,39.51,37.7,38.25
2010-07-15,38.2,44.42,35.76,40.85
2010-07-16,37.64,41.81,34.84,36.98
2010-07-19,38.57,42.4,33.55,36.91
2010-07-20,33.94,36.64,30.41,30.44
2010-07-21,30.72,32.17,28.28,30.52
2010-07-22,29.62,32.54,29.54,31.53
2010-07-23,34.38,34.61,29.96,30.02
2010-07-26,31.94,33.4,29.42,29.42
2010-07-27,28.59,31.98,28.42,30.18
2010-07-28,29.95,31.22,29.54,31.07
2010-07-29,30.12,30.71,28.79,30.12
2010-07-30,31.35,32.97,29.59,30.87
2010-08-02,31.27,32.62,30.58,30.97
2010-08-03,31.24,31.87,29.3,29.72
2010-08-04,29.93,30.83,28.67,29.4
2010-08-05,29.88,30.12,28.55,28.65
2010-08-06,29.56,31.56,28.3,29.14
2010-08-09,30.15,31.37,29.6,29.69
2010-08-10,30.19,31.68,29.04,29.73
2010-08-11,31.92,33.82,31.5,33.01
2010-08-12,33.69,33.69,32.53,32.93
2010-08-13,32.42,33.15,31.94,32.76
2010-08-16,33.03,34.43,31.71,32.59
2010-08-17,31.47,32.79,31.36,31.69
2010-08-18,33.06,34.3,32.37,32.57
2010-08-19,32.97,34.34,32.37,32.91
2010-08-20,32.67,32.81,29.87,29.97
2010-08-23,31.07,31.83,29.64,31.0
2010-08-24,32.67,34.92,32.43,33.3
2010-08-25,34.89,35.12,32.65,32.86
2010-08-26,33.41,34.52,33.14,34.52
2010-08-27,35.33,37.92,34.7,34.91
2010-08-30,36.98,37.61,36.19,37.58
2010-08-31,37.36,39.16,36.81,37.28
2010-09-01,35.22,37.0,33.98,34.45
2010-09-02,34.3,35.25,33.78,33.86
2010-09-03,32.58,32.58,30.84,31.84
2010-09-07,34.06,35.06,33.7,34.35
2010-09-08,33.23,35.01,32.42,34.29
2010-09-09,32.53,33.05,32.02,32.4
2010-09-10,32.26,32.38,30.37,30.92
2010-09-13,31.49,31.49,28.83,28.94
2010-09-14,30.11,30.62,29.34,29.93
2010-09-15,31.25,31.25,27.97,29.07
2010-09-16,29.77,33.46,28.75,28.82
2010-09-17,29.55,29.78,28.72,29.33
2010-09-20,30.56,31.17,29.39,30.01
2010-09-21,29.95,30.49,28.36,30.09
2010-09-22,30.78,32.13,30.75,31.56
2010-09-23,32.99,32.99,31.52,32.59
2010-09-24,32.23,32.54,30.81,31.15
2010-09-27,31.79,32.6,31.24,32.21
