Date,Open,High,Low,Close
2010-06-01,29.64,31.08,28.51,31.08
2010-06-02,30.64,31.1,27.62,27.64
2010-06-03,27.44,28.0,26.9,27.04
2010-06-04,29.09,31.81,28.13,31.56
2010-06-07,31.73,32.83,31.41,32.83
2010-06-08,32.27,33.84,31.89,31.96
2010-06-09,31.21,34.13,29.0,30.84
2010-06-10,29.07,29.3,27.83,28.12
2010-06-11,28.83,29.16,27.03,27.19
2010-06-14,27.29,27.33,26.16,27.11
2010-06-15,27.39,27.44,25.17,25.28
2010-06-16,26.56,26.56,24.35,24.69
2010-06-17,24.81,25.6,24.44,24.8
2010-06-18,24.68,25.02,23.77,23.95
2010-06-21,22.99,23.59,22.17,23.29
2010-06-22,23.34,24.32,22.82,24.17
2010-06-23,25.31,26.93,25.01,26.45
2010-06-24,27.13,28.59,27.07,28.47
2010-06-25,28.19,29.35,27.97,28.6
2010-06-28,30.41,30.41,27.84,28.11
2010-06-29,29.58,34.25,29.29,33.7
2010-06-30,33.64,33.94,32.23,33.5
2010-07-01,33.62,35.47,33.27,34.23
2010-07-02,33.28,34.1,32.31,32.56
2010-07-06,32.61,32.61,30.96,31.24
2010-07-07,31.17,31.17,28.02,28.11
2010-07-08,27.91,28.05,26.91,26.91
2010-07-09,26.9,27.18,26.23,26.23
2010-07-12,26.88,26.96,25.28,25.36
2010-07-13,24.6,25.54,24.29,24.98
2010-07-14,25.99,25.99,24.64,25.12
2010-07-15,26.11,26.46,24.77,24.88
2010-07-16,25.74,27.33,25.71,27.16
2010-07-19,28.32,28.35,26.76,27.06
2010-07-20,27.06,27.06,22.07,22.07
2010-07-21,22.01,23.4,21.78,23.07
2010-07-22,22.28,22.28,21.01,21.37
2010-07-23,21.63,21.63,20.7,21.01
2010-07-26,22.12,22.32,21.17,21.25
2010-07-27,21.21,21.66,20.86,21.53
2010-07-28,21.77,21.78,21.13,21.28
2010-07-29,21.15,22.1,20.87,21.53
2010-07-30,22.53,22.53,21.33,21.4
2010-08-02,21.93,21.93,20.52,20.61
2010-08-03,21.53,21.53,20.57,20.65
2010-08-04,20.77,21.09,20.35,20.51
2010-08-05,20.94,21.21,20.6,20.63
2010-08-06,21.17,21.96,20.66,20.66
2010-08-09,21.22,21.22,20.44,20.55
2010-08-10,21.32,21.52,20.57,20.87
2010-08-11,22.72,23.0,21.99,22.4
2010-08-12,24.2,24.31,23.37,23.73
2010-08-13,24.24,24.32,23.66,23.96
2010-08-16,24.69,24.91,23.42,23.54
2010-08-17,23.26,23.61,22.24,22.9
2010-08-18,23.31,23.69,22.03,22.4
2010-08-19,23.0,24.29,22.82,23.72
2010-08-20,24.07,24.91,23.71,23.89
2010-08-23,24.8,24.8,23.22,24.01
2010-08-24,25.46,26.68,25.4,26.12
2010-08-25,26.77,27.2,26.1,26.24
2010-08-26,25.32,27.46,25.32,27.4
2010-08-27,26.68,27.6,24.92,24.93
2010-08-30,25.68,26.17,25.2,26.17
2010-08-31,26.7,27.18,26.17,26.64
2010-09-01,25.62,25.65,24.15,24.3
2010-09-02,24.89,24.89,23.96,23.97
2010-09-03,22.87,23.28,22.22,22.22
2010-09-07,23.94,24.08,23.46,24.01
2010-09-08,24.18,24.47,23.82,24.18
2010-09-09,23.39,24.41,23.29,24.15
2010-09-10,23.82,24.13,22.83,22.95
2010-09-13,23.65,23.65,22.12,22.36
2010-09-14,22.93,22.94,22.08,22.73
2010-09-15,23.04,23.14,22.09,22.38
2010-09-16,22.62,22.93,21.9,22.05
2010-09-17,22.09,22.39,21.91,22.06
2010-09-20,22.5,22.5,21.0,21.12
2010-09-21,21.62,21.72,20.55,21.06
2010-09-22,21.54,22.3,21.08,22.07
2010-09-23,22.97,22.98,22.19,22.54
2010-09-24,22.14,22.14,21.21,21.65
2010-09-27,22.52,22.71,22.11,22.67
2010-09-28,23.08,23.43,22.56,22.66
2010-09-29,23.01,23.01,22.15,22.43
2010-09-30,22.55,22.9,22.23,22.45
2010-10-01,21.96,22.47,21.54,22.29
2010-10-04,23.24,23.54,23.0,23.03
2010-10-05,22.67,22.67,22.11,22.31
2010-10-06,22.97,22.97,22.39,22.59
2010-10-07,22.72,22.78,22.09,22.2
2010-10-08,22.6,22.64,21.58,21.69
2010-10-11,21.07,21.56,20.76,21.46
2010-10-12,22.14,22.37,21.46,21.5
2010-10-13,21.75,21.96,21.16,21.58
2010-10-14,21.79,22.76,21.59,22.68
2010-10-15,22.87,23.24,22.7,22.97
2010-10-18,24.78,25.99,24.44,25.47
2010-10-19,21.6,21.82,18.79,19.25
2010-10-20,19.7,19.9,19.24,19.31
2010-10-21,19.33,19.88,18.93,19.67
2010-10-22,19.62,19.79,19.04,19.04
2010-10-25,19.51,19.83,19.06,19.82
2010-10-26,20.24,20.65,19.33,19.91
2010-10-27,20.97,21.16,20.34,20.34
2010-10-28,20.34,21.05,20.28,20.79
2010-10-29,20.8,20.86,20.13,20.64
2010-11-01,21.22,21.31,20.62,20.84
2010-11-02,20.72,20.74,20.43,20.61
2010-11-03,20.59,21.19,20.18,20.29
2010-11-04,19.94,19.94,19.16,19.37
2010-11-05,19.84,19.84,19.2,19.31
2010-11-08,20.12,20.13,19.15,19.17
2010-11-09,18.51,20.09,18.51,20.02
2010-11-10,20.22,20.53,19.98,19.98
2010-11-11,20.83,21.15,20.29,20.3
2010-11-12,20.78,21.42,20.4,21.29
2010-11-15,21.52,21.52,20.13,20.54
2010-11-16,21.18,22.0,20.8,21.74
2010-11-17,22.04,22.06,21.17,21.58
2010-11-18,21.36,21.39,19.98,20.21
2010-11-19,20.52,20.78,19.67,19.68
2010-11-22,21.42,21.5,20.25,20.29
2010-11-23,21.58,22.26,21.19,21.33
2010-11-24,21.54,21.54,19.62,19.89
2010-11-26,21.89,22.12,21.32,21.71
2010-11-29,23.1,24.49,23.1,23.36
2010-11-30,24.17,25.04,23.9,24.54
2010-12-01,23.56,23.67,22.22,22.65
2010-12-02,22.7,22.7,21.62,21.89
2010-12-03,22.18,22.18,20.87,20.89
2010-12-06,22.01,22.01,21.31,21.49
2010-12-07,21.73,21.73,20.63,21.69
2010-12-08,21.84,21.84,21.03,21.13
2010-12-09,20.87,21.38,20.83,20.99
2010-12-10,21.33,21.45,20.39,20.52
2010-12-13,21.01,21.09,20.0,20.27
2010-12-14,20.54,20.54,19.6,19.74
2010-12-15,20.33,20.55,19.94,20.35
2010-12-16,20.86,20.99,20.14,20.22
2010-12-17,20.66,20.66,19.58,19.87
2010-12-20,21.13,21.22,19.45,19.78
2010-12-21,19.64,19.87,19.11,19.21
2010-12-22,19.37,19.56,19.17,19.35
2010-12-23,19.57,19.59,19.04,19.3
2010-12-27,19.87,20.92,19.81,20.79
2010-12-28,20.96,21.23,20.71,20.77
2010-12-29,20.85,20.85,20.34,20.83
2010-12-30,20.85,21.03,20.56,20.88
2010-12-31,20.81,21.49,20.81,21.19
2011-01-03,21.69,21.69,21.18,21.49
