Date,Open,High,Low,Close
2004-01-02,18.13,18.59,17.6,17.94
2004-01-05,17.82,17.85,16.69,16.71
2004-01-06,16.63,16.78,15.07,15.34
2004-01-07,15.75,16.14,14.75,14.85
2004-01-08,14.86,15.39,14.42,14.46
2004-01-09,15.67,16.21,15.23,15.94
2004-01-12,16.56,17.05,16.17,16.25
2004-01-13,16.63,17.86,16.38,16.87
2004-01-14,16.76,17.1,16.26,16.7
2004-01-15,16.61,17.31,16.04,16.23
2004-01-16,15.61,16.04,14.88,15.27
2004-01-20,15.66,15.83,14.91,14.91
2004-01-21,15.51,15.64,14.37,14.43
2004-01-22,14.39,15.34,14.39,15.01
2004-01-23,15.08,15.46,14.67,14.87
2004-01-26,14.87,15.28,14.21,14.32
2004-01-27,14.95,15.41,14.75,15.32
2004-01-28,15.26,17.11,15.24,17.1
2004-01-29,16.96,18.01,16.93,17.11
2004-01-30,17.72,17.77,16.82,17.05
2004-02-02,16.89,17.19,16.04,16.87
2004-02-03,17.42,17.72,16.92,17.06
2004-02-04,17.74,18.1,17.25,17.58
2004-02-05,18.18,18.39,17.66,17.75
2004-02-06,17.52,17.59,15.83,15.98
2004-02-09,16.35,16.47,15.65,15.77
2004-02-10,16.05,16.09,15.32,15.55
2004-02-11,16.09,16.26,14.8,14.88
2004-02-12,15.29,15.46,14.73,14.9
2004-02-13,15.18,16.25,14.73,15.63
2004-02-17,15.91,16.15,15.24,15.56
2004-02-18,15.83,16.14,15.29,15.74
2004-02-19,15.76,16.9,15.46,16.9
2004-02-20,16.56,17.23,16.04,16.25
2004-02-23,16.61,16.79,15.75,15.93
2004-02-24,16.59,16.72,15.47,15.82
2004-02-25,15.98,15.98,14.89,14.99
2004-02-26,15.4,15.59,14.59,14.65
2004-02-27,15.24,15.24,14.29,14.76
2004-03-01,14.94,14.94,14.15,14.18
2004-03-02,14.57,14.92,14.03,14.6
2004-03-03,14.86,15.46,14.6,14.61
2004-03-04,14.71,14.99,14.57,14.71
2004-03-05,14.93,14.99,14.09,14.8
2004-03-08,14.89,15.35,14.49,15.33
2004-03-09,16.07,16.89,15.93,16.37
2004-03-10,17.01,19.23,16.75,18.8
2004-03-11,20.04,21.71,18.35,21.71
2004-03-12,20.58,20.83,18.58,18.72
2004-03-15,19.51,21.64,19.22,21.38
2004-03-16,20.43,21.34,20.2,20.71
2004-03-17,19.68,19.73,18.07,18.14
2004-03-18,18.67,19.65,18.18,18.62
2004-03-19,18.71,19.4,18.25,19.16
2004-03-22,20.67,22.66,20.41,21.43
2004-03-23,21.31,21.78,19.7,20.45
2004-03-24,21.04,21.34,19.85,20.49
2004-03-25,19.61,19.99,17.65,17.76
2004-03-26,18.14,18.25,16.74,17.21
2004-03-29,16.7,16.7,15.8,15.96
2004-03-30,16.7,16.92,15.96,15.99
2004-03-31,16.7,16.9,16.19,16.73
2004-04-01,17.19,17.44,17.01,17.15
2004-04-02,15.99,16.3,15.48,15.56
2004-04-05,15.76,15.76,13.88,13.88
2004-04-06,14.93,14.96,14.34,14.49
2004-04-07,15.19,16.01,15.19,15.42
2004-04-08,14.91,16.6,14.73,15.83
2004-04-12,16.0,16.26,15.3,15.44
2004-04-13,15.48,18.06,15.47,17.5
2004-04-14,18.18,18.3,16.66,16.66
2004-04-15,16.67,17.24,16.1,16.24
2004-04-16,16.51,16.63,15.0,15.67
2004-04-19,15.6,16.11,15.08,15.23
2004-04-20,15.3,16.59,14.74,16.51
2004-04-21,17.54,17.59,15.58,15.66
2004-04-22,16.22,16.36,14.17,14.59
2004-04-23,14.34,14.99,13.98,14.22
2004-04-26,14.06,15.26,13.91,14.94
2004-04-27,14.89,15.36,14.24,14.98
2004-04-28,16.25,17.1,16.25,16.72
2004-04-29,17.31,18.01,16.23,17.3
2004-04-30,17.05,18.14,16.69,17.56
2004-05-03,17.89,17.89,16.57,16.63
2004-05-04,16.97,17.52,15.88,16.36
2004-05-05,16.59,17.14,16.06,16.23
2004-05-06,17.51,18.98,17.47,17.65
2004-05-07,17.17,19.3,17.13,19.07
2004-05-10,20.19,21.29,19.43,19.74
2004-05-11,19.14,19.14,18.13,18.49
2004-05-12,19.31,21.32,18.48,18.49
