Date,Open,High,Low,Close
2011-03-16,45.3,46.56,44.17,45.97
2011-03-17,45.05,45.42,44.43,44.75
2011-03-18,44.06,44.13,41.85,42.3
2011-03-21,43.3,43.31,40.26,40.68
2011-03-22,40.42,41.07,40.24,40.36
2011-03-23,40.16,40.18,39.01,39.18
2011-03-24,40.05,40.87,39.71,40.59
2011-03-25,40.21,40.41,39.33,39.55
2011-03-28,41.07,41.07,39.71,39.99
2011-03-29,39.84,39.86,38.89,39.07
2011-03-30,39.03,39.4,38.03,38.1
2011-03-31,38.34,38.89,37.62,37.77
2011-04-01,38.03,38.33,37.02,37.09
2011-04-04,37.91,37.91,36.46,36.46
2011-04-05,36.88,37.01,36.16,36.48
2011-04-06,36.75,36.91,36.08,36.59
2011-04-07,36.84,36.85,35.54,36.11
2011-04-08,36.31,37.08,35.74,37.08
2011-04-11,37.99,40.44,37.53,40.23
2011-04-12,40.18,41.51,39.72,40.06
2011-04-13,39.18,40.14,38.93,39.51
2011-04-14,39.68,40.57,38.96,40.42
2011-04-15,40.91,42.15,40.86,41.56
2011-04-18,43.25,51.24,42.42,43.75
2011-04-19,44.66,44.66,40.4,40.56
2011-04-20,41.07,43.7,39.98,43.06
2011-04-21,43.91,47.25,43.44,47.16
2011-04-25,52.37,54.83,51.46,54.48
2011-04-26,48.33,52.67,48.33,50.87
2011-04-27,50.5,52.1,49.78,52.01
2011-04-28,53.25,54.94,51.77,52.99
2011-04-29,53.68,54.62,52.85,53.71
2011-05-02,58.06,60.46,56.29,60.46
2011-05-03,58.74,61.43,57.34,60.62
2011-05-04,59.06,62.72,58.79,59.4
2011-05-05,61.25,72.43,60.95,72.08
2011-05-06,70.89,70.89,65.74,66.5
2011-05-09,68.85,68.85,64.16,64.29
2011-05-10,62.96,63.25,58.16,58.53
2011-05-11,57.86,62.09,56.6,60.98
2011-05-12,65.04,67.27,63.37,64.32
2011-05-13,63.23,67.36,62.84,63.08
2011-05-16,65.93,66.27,62.5,65.99
2011-05-17,64.36,64.81,59.94,60.51
2011-05-18,58.27,58.33,54.57,54.65
2011-05-19,53.35,53.95,51.55,51.57
2011-05-20,51.51,51.98,49.61,49.89
2011-05-23,51.6,51.6,48.25,48.3
2011-05-24,48.1,48.56,47.11,47.67
2011-05-25,47.48,49.51,47.43,47.74
2011-05-26,48.94,49.67,48.29,48.34
2011-05-27,48.82,48.82,47.32,47.36
2011-05-31,49.41,49.57,48.12,48.42
2011-06-01,48.7,52.88,48.7,52.74
2011-06-02,51.86,53.92,51.22,52.11
2011-06-03,51.72,51.74,49.77,49.9
2011-06-06,50.82,50.89,49.75,50.85
2011-06-07,49.71,50.16,48.88,49.32
2011-06-08,49.05,49.09,47.67,48.23
