symbol,iex_shares,bins_filled,bins_empty,coverage
BAC,2864796,78,0,1.0
NE,1002035,78,0,1.0
SYMC,979554,78,0,1.0
USO,958410,78,0,1.0
BBD,855241,78,0,1.0
SPY,836936,78,0,1.0
CHK,833511,78,0,1.0
AKAO,830217,77,1,0.9871794871794872
CSCO,810873,78,0,1.0
ICE,719042,69,9,0.8846153846153846
OPHT,708276,78,0,1.0
ZNGA,674541,69,9,0.8846153846153846
SWC,665269,78,0,1.0
GSS,664649,78,0,1.0
AMD,661932,78,0,1.0
ITUB,658310,77,1,0.9871794871794872
NKE,645307,78,0,1.0
FTR,611737,76,2,0.9743589743589743
CBS,603556,78,0,1.0
PFE,602963,78,0,1.0
MU,593359,78,0,1.0
GM,580887,78,0,1.0
FCAU,574019,76,2,0.9743589743589743
WFT,573933,78,0,1.0
ABX,561903,78,0,1.0
EFA,557023,77,1,0.9871794871794872
ESV,555896,78,0,1.0
INTC,535716,78,0,1.0
T,517444,78,0,1.0
PNC,516253,76,2,0.9743589743589743
EEM,514113,76,2,0.9743589743589743
PBR,511879,78,0,1.0
SCHW,496924,77,1,0.9871794871794872
ALXN,492153,78,0,1.0
FXI,490191,75,3,0.9615384615384616
BRCD,487709,72,6,0.9230769230769231
RF,482496,78,0,1.0
SDRL,477390,78,0,1.0
F,471119,78,0,1.0
XLF,468970,78,0,1.0
SIRI,463775,78,0,1.0
TIF,463758,66,12,0.8461538461538461
LQD,457482,61,17,0.782051282051282
VALE,448277,78,0,1.0
ORCL,441815,78,0,1.0
ODP,439935,78,0,1.0
FOXA,432765,78,0,1.0
KEY,431713,78,0,1.0
XOP,431669,78,0,1.0
HRB,427514,72,6,0.9230769230769231
GDX,418261,78,0,1.0
XRX,392658,78,0,1.0
BKLN,391602,44,34,0.5641025641025641
RAD,385422,75,3,0.9615384615384616
HPE,382693,77,1,0.9871794871794872
S,381426,76,2,0.9743589743589743
RIG,374400,78,0,1.0
GE,373246,78,0,1.0
NOV,371217,75,3,0.9615384615384616
DOW,366136,78,0,1.0
