symbol,iex_trades,iex_shares,consolidated,iex_share
GE,2095,373246,6477017.0,0.05762621898321403
CSCO,5490,810873,17287800.0,0.04690434873147538
GLD,649,230567,6156700.0,0.03744977016908409
INTC,3459,535716,21985800.0,0.02436645471167754
BAC,8575,2864796,136986000.0,0.02091305680872498
KO,2215,329045,17561900.0,0.01873629846428917
PFE,3050,602963,33997508.0,0.01773550579060089
JNJ,1332,144785,9544600.0,0.015169310395406827
MSFT,2414,301439,20198100.0,0.014924126526752516
VZ,1480,221218,16186400.0,0.013666905550338556
EEM,1306,514113,40766300.0,0.012611225448470919
WFC,2739,346524,27886200.0,0.012426361426081717
T,3357,517444,42248972.0,0.012247493264451499
F,1943,471119,39596800.0,0.011897905891385162
XOM,1140,172321,15545400.0,0.011085015502978373
IWM,1250,353342,34592900.0,0.010214292528235563
QQQ,782,217163,23259300.0,0.009336609442244608
SPY,4001,836936,102016100.0,0.008203959963182282
AAPL,2612,351105,105497600.0,0.003328085188667799
NVDA,1458,273786,601332000.0,0.00045529923569675323
