sym,exp,dte,side,spot,n_strikes,iv_near,k_near,iv_interp,k_lo,k_hi,oi_near,vol_near,spr_near,mid_near,zero_bid_frac,oi_total,vol_total
AAPL,2026-09-14,0,C,332.7900085449219,47,0.19873848144531248,332.5,0.19788885553270577,332.5,335.0,3131.0,23952.0,0.050000000000000044,1.505,0.2553191489361702,60001.0,191029.0
AAPL,2026-09-14,0,P,332.7900085449219,42,0.15528188476562502,332.5,0.15341270775789026,332.5,335.0,5854.0,25049.0,0.009999999999999898,0.935,0.5714285714285714,77752.0,147017.0
AAPL,2026-09-16,2,C,332.7900085449219,38,0.2620923400878906,332.5,0.2617666501547247,332.5,335.0,1151.0,1763.0,0.09999999999999964,3.25,0.18421052631578946,34417.0,30862.0
AAPL,2026-09-16,2,P,332.7900085449219,40,0.24634542724609376,332.5,0.24675607977052033,332.5,335.0,674.0,2073.0,0.040000000000000036,2.8,0.325,25637.0,21019.0
AAPL,2026-09-18,4,C,332.7900085449219,107,0.27197993652343744,332.5,0.2726596372535228,332.5,335.0,2954.0,1675.0,0.09999999999999964,4.3,0.27102803738317754,476625.0,40452.0
AAPL,2026-09-18,4,P,332.7900085449219,89,0.25269302001953126,332.5,0.25257973656451704,332.5,335.0,2080.0,1461.0,0.09999999999999964,3.75,0.449438202247191,404913.0,53446.0
AAPL,2026-09-21,7,C,332.7900085449219,34,0.25061784545898436,332.5,0.250030187536098,332.5,335.0,493.0,259.0,0.39999999999999947,4.85,0.058823529411764705,24953.0,6093.0
AAPL,2026-09-21,7,P,332.7900085449219,32,0.23035437622070312,332.5,0.2291224186474234,332.5,335.0,152.0,183.0,0.15000000000000036,4.325,0.09375,4623.0,1683.0
AAPL,2026-09-23,9,C,332.7900085449219,34,0.25830819824218754,332.5,0.2578267435583771,332.5,335.0,136.0,61.0,0.4500000000000002,5.574999999999999,0.058823529411764705,6367.0,819.0
AAPL,2026-09-23,9,P,332.7900085449219,34,0.24243921630859372,332.5,0.2408674083702713,332.5,335.0,244.0,126.0,0.35000000000000053,5.025,0.11764705882352941,3027.0,835.0
AAPL,2026-09-25,11,C,332.7900085449219,64,0.26697510375976563,332.5,0.2660759163355902,332.5,335.0,441.0,380.0,0.25,6.425,0.0625,52980.0,8955.0
AAPL,2026-09-25,11,P,332.7900085449219,60,0.2399978344726562,332.5,0.23955886108447605,332.5,335.0,372.0,81.0,0.25,5.525,0.26666666666666666,34377.0,3266.0
AAPL,2026-10-02,18,C,332.7900085449219,43,0.260749580078125,335.0,0.26274589028664674,330.0,335.0,2169.0,177.0,0.25,6.725,0.023255813953488372,32073.0,2289.0
AAPL,2026-10-02,18,P,332.7900085449219,45,0.2309647216796875,335.0,0.23355452951776984,330.0,335.0,385.0,62.0,0.2499999999999991,8.075,0.28888888888888886,16006.0,1365.0
AAPL,2026-10-09,25,C,332.7900085449219,39,0.2568738864135742,335.0,0.26061022376330756,330.0,335.0,781.0,123.0,0.2500000000000009,7.925000000000001,0.0,15543.0,2186.0
AAPL,2026-10-09,25,P,332.7900085449219,37,0.22864540893554688,335.0,0.23161289708334953,330.0,335.0,436.0,98.0,0.3000000000000007,9.15,0.2702702702702703,9274.0,2219.0
MSFT,2026-09-14,0,C,498.75,50,0.22754678710937498,500.0,0.25916268188476554,497.5,500.0,3034.0,21257.0,0.050000000000000044,1.745,0.42,14541.0,83950.0
MSFT,2026-09-14,0,P,498.75,35,0.09302664794921875,500.0,0.11133701171875,497.5,500.0,236.0,5069.0,0.050000000000000044,1.745,0.45714285714285713,8103.0,25180.0
MSFT,2026-09-16,2,C,498.75,45,0.3186103295898437,497.5,0.3056099713134765,497.5,500.0,151.0,152.0,0.5999999999999996,6.05,0.17777777777777778,4133.0,11989.0
MSFT,2026-09-16,2,P,498.75,34,0.19947089599609374,500.0,0.20410952148437497,497.5,500.0,376.0,191.0,0.44999999999999973,4.075,0.11764705882352941,3599.0,1985.0
MSFT,2026-09-18,4,C,498.75,113,0.3061592822265625,497.5,0.3014596221923828,497.5,500.0,1049.0,263.0,0.25,7.625,0.21238938053097345,395379.0,14123.0
