symbol,name,exchange,assetType,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active
AABA,Altaba Inc,NASDAQ,Stock,1996-04-12,,Active
AACC,Asset Acceptance Capital Corp,NASDAQ,Stock,2004-02-05,,Active
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active
AAI,AIRTRAN HOLDINGS INC,NYSE,Stock,2001-09-17,,Active
AAIC,Arlington Asset Investment Corp - Class A,NYSE,Stock,1997-12-23,,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active
AAMRQ,Amr Corp,NYSE,Stock,2001-01-02,,Active
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active
AATI,Advanced Analogic Technologies Incorp.,NASDAQ,Stock,2005-08-04,,Active
AAV,Advantage Oil & Gas Ltd,NYSE,Stock,2004-03-31,,Active
AAWW,Atlas Air Worldwide Holdings Inc,NASDAQ,Stock,2005-11-09,,Active
AAXJ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF ,NASDAQ,ETF,2008-08-15,,Active
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active
ABAX,Abaxis Inc,NASDAQ,Stock,1992-01-23,,Active
ABBC,ABINGTON BANCORP INC.PA,NASDAQ,Stock,2004-12-17,,Active
ABCB,Ameris Bancorp,NYSE,Stock,1994-05-19,,Active
ABCD,Cambium Learning Group Inc,NASDAQ,Stock,2009-12-09,,Active
ABCO,The Advisory Board Company,NASDAQ,Stock,2001-11-13,,Active
ABE,Aberdeen Emerging Markets Smaller Company Opportunities Fund Inc,NYSE MKT,ETF,2001-01-02,,Active
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active
ABFS,Arkansas Best Corp,NASDAQ,Stock,1992-05-13,,Active
ABG,Asbury Automotive Group Inc,NYSE,Stock,2002-03-21,,Active
ABI,VICTORYSHARES PIONEER ASSET-BASED INCOME ETF ,NASDAQ,Stock,2009-05-11,,Active
ABII,Abraxis BioScience Inc,NASDAQ,Stock,2007-11-15,,Active
ABM,ABM Industries Inc,NYSE,Stock,1984-07-19,,Active
ABMD,Abiomed Inc,NASDAQ,Stock,1987-07-30,,Active
ABR,Arbor Realty Trust Inc,NYSE,Stock,2004-04-07,,Active
ABST,Absolute Software Corp,NASDAQ,Stock,2007-07-13,,Active
ABT,Abbott Laboratories,NYSE,Stock,1983-04-06,,Active
ABTL,Autobytel Inc,NASDAQ,Stock,1999-03-26,,Active
