t,o,h,l,c,v,a,ch,div
2023-10-13,94.42,94.42,94.42,94.42,1,94.42,0.0,
2023-10-12,94.48,94.54,94.305,94.42,7323451,94.42,-0.05,
2023-10-11,94.3,94.57,94.105,94.47,13234561,94.47,0.14,
2023-10-10,94.38,94.49,94.18,94.34,5135937,94.34,0.0,
2023-10-09,94.17,94.445,94.17,94.34,4694231,94.34,0.11,
2023-10-06,94.0,94.26,93.94,94.24,8134220,94.24,0.61,
2023-10-05,93.85,93.935,93.65,93.67,4270293,93.67,-0.09,
2023-10-04,93.87,94.035,93.63,93.75,6948834,93.75,-0.15,
2023-10-03,93.81,93.99,93.76,93.89,4889903,93.89,-0.05,
2023-10-02,93.68,93.94,93.6,93.94,6633315,93.94,0.33,
2023-09-29,93.6,93.885,93.45,93.63,8616805,93.63,0.1,
2023-09-28,93.9,93.98,93.38,93.54,10839432,93.54,-0.4,
2023-09-27,94.0,94.1,93.71,93.92,9299247,93.92,-0.09,
2023-09-26,94.0,94.21,94.0,94.0,7245004,94.0,-0.05,
2023-09-25,93.92,94.08,93.92,94.05,7858728,94.05,0.14,
2023-09-22,94.06,94.11,93.86,93.92,19817485,93.92,1.7,
2023-09-21,92.41,92.57,92.285,92.35,6027933,92.35,-0.23,
2023-09-20,92.41,92.61,92.3,92.56,7557973,92.56,0.53,
2023-09-19,91.92,92.21,91.9,92.07,4592315,92.07,0.17,
2023-09-18,92.04,92.05,91.82,91.91,5571871,91.91,0.1,
2023-09-15,92.16,92.33,91.73,91.82,13510743,91.82,-0.43,
2023-09-14,92.32,92.465,92.15,92.22,6842729,92.22,-0.05,
2023-09-13,92.22,92.47,92.15,92.27,4448676,92.27,0.15,
2023-09-12,92.06,92.33,92.03,92.13,3132920,92.13,-0.05,
2023-09-11,92.12,92.44,92.11,92.18,5161559,92.18,0.07,
2023-09-08,92.1,92.24,92.01,92.12,5367720,92.12,0.12,
2023-09-07,92.15,92.15,91.99,92.01,3755639,92.01,-0.07,
2023-09-06,92.04,92.11,91.99,92.07,4778604,92.07,0.04,
2023-09-05,91.95,92.185,91.9,92.03,5177656,92.03,-0.01,
2023-09-01,92.05,92.2,91.95,92.04,4609003,92.04,0.05,
2023-08-31,91.88,92.055,91.865,91.99,6676488,91.99,0.01,
2023-08-30,91.88,92.04,91.75,91.98,5359668,91.98,0.0,
2023-08-29,91.75,92.1,91.75,91.98,5667901,91.98,0.23,
2023-08-28,91.81,92.01,91.745,91.77,5527191,91.77,0.12,
2023-08-25,91.41,91.83,91.38,91.66,4361699,91.66,0.27,
2023-08-24,91.63,91.96,91.4,91.41,6053152,91.41,-0.36,
2023-08-23,91.55,91.83,91.41,91.74,5520120,91.74,0.09,
2023-08-22,91.97,92.1,91.47,91.66,11099550,91.66,1.04,
2023-08-21,90.77,90.97,90.655,90.72,4637744,90.72,0.28,
2023-08-18,90.5,91.0,90.295,90.47,13085837,90.47,0.04,
2023-08-17,91.0,91.02,90.4,90.43,9073907,90.43,-0.46,
2023-08-16,91.0,91.25,90.85,90.85,4350162,90.85,-0.07,
2023-08-15,91.0,91.1,90.77,90.91,5474375,90.91,0.13,
2023-08-14,91.1,91.2,90.755,90.79,6123526,90.79,-0.46,
2023-08-11,91.3,91.31,90.93,91.21,6911124,91.21,-0.23,
2023-08-10,91.67,91.67,91.27,91.42,4863415,91.42,-0.02,
2023-08-09,91.59,92.0,91.42,91.44,7611636,91.44,-0.16,
2023-08-08,91.57,91.79,91.52,91.59,5600499,91.59,0.02,
2023-08-07,91.79,91.85,91.52,91.57,4978812,91.57,-0.01,
2023-08-04,91.68,91.82,91.54,91.58,6035555,91.58,-0.11,
2023-08-03,91.55,92.0,91.5,91.68,7500852,91.68,0.05,
2023-08-02,91.64,91.905,91.52,91.63,7369575,91.63,-0.28,
2023-08-01,91.795,92.13,91.7,91.89,8396903,91.89,0.13,0.99
2023-07-31,92.56,92.78,92.43,92.76,10765318,91.771,0.25,
2023-07-28,92.35,92.69,92.34,92.53,5644772,91.544,0.42,
2023-07-27,92.67,92.79,92.14,92.14,9448799,91.158,-0.57,
2023-07-26,92.66,92.92,92.475,92.67,8385810,91.682,-0.07,
2023-07-25,92.5,92.86,92.46,92.73,6541548,91.742,0.19,
2023-07-24,91.93,92.6,91.85,92.55,7875598,91.564,0.7,
2023-07-21,92.345,92.4,91.89,91.91,12930628,90.93,-0.41,
2023-07-20,92.1,92.56,92.09,92.29,14757431,91.306,0.1,
2023-07-19,92.625,92.75,91.78,92.2,40003048,91.217,-0.58,
2023-07-18,92.53,93.01,92.21,92.74,21791663,91.751,-0.5,
2023-07-17,93.535,93.67,92.12,93.21,40278491,92.216,3.49,
2023-07-14,91.1,91.5,89.74,90.07,63825300,89.11,0.59,
2023-07-13,90.0,90.7,89.44,89.54,22036053,88.586,-0.51,
2023-07-12,90.045,90.71,89.05,90.0,28102858,89.041,-1.09,
2023-07-11,82.56,92.91,82.55,90.99,77867479,90.02,10.02,
2023-07-10,82.76,83.23,82.62,82.7,7139139,81.819,0.33,
2023-07-07,82.78,83.31,82.22,82.43,4819435,81.551,-0.33,
2023-07-06,82.4,82.92,81.99,82.7,4076263,81.819,-0.2,
2023-07-05,82.97,83.415,82.094,82.87,5180338,81.987,-0.56,
2023-07-03,83.92,84.2,83.18,83.34,4150274,82.452,-1.14,
2023-06-30,83.5,84.72,83.5,84.3,6881230,83.401,1.47,
2023-06-29,83.09,85.005,82.39,83.08,8478309,82.194,-0.62,
2023-06-28,84.5,84.63,83.48,83.6,6878284,82.709,-0.63,
2023-06-27,83.25,84.62,83.22,84.13,6812466,83.233,0.88,
2023-06-26,82.25,83.71,82.12,83.4,7870633,82.511,1.83,
2023-06-23,82.04,82.4,81.62,81.9,6735423,81.027,-0.49,
2023-06-22,80.48,82.32,80.3,82.3,4880493,81.423,1.68,
2023-06-21,81.65,81.84,80.83,80.94,5277455,80.077,-1.16,
2023-06-20,81.69,81.99,81.55,81.89,5247181,81.017,-0.1,
2023-06-16,81.35,82.22,80.94,81.97,12236556,81.096,0.64,
2023-06-15,81.42,81.585,80.58,81.45,7096741,80.582,0.27,
2023-06-14,81.266,81.77,80.95,81.23,7949060,80.364,0.66,
2023-06-13,80.2,81.45,79.87,80.7,8293012,79.84,1.17,
2023-06-12,80.38,80.4,79.7,79.77,7946477,78.92,-0.76,
2023-06-09,79.98,80.69,79.96,80.38,5824472,79.523,0.45,
2023-06-08,80.51,80.76,79.88,80.02,4440010,79.167,-0.6,
2023-06-07,80.88,80.95,79.53,80.5,5516713,79.642,-0.47,
2023-06-06,81.0,81.05,80.46,80.88,4725238,80.018,0.05,
2023-06-05,80.85,81.15,80.6,80.84,4068229,79.978,0.42,
2023-06-02,80.24,80.63,79.83,80.5,5896200,79.642,0.37,
2023-06-01,80.25,81.22,80.0,80.2,8707764,79.345,0.0,
2023-05-31,80.1,80.81,79.68,80.2,9215804,79.345,0.22,
2023-05-30,79.0,80.27,78.89,80.02,8190961,79.167,1.73,
2023-05-26,77.35,78.79,77.02,78.66,5244930,77.822,1.97,
2023-05-25,77.58,77.59,76.76,77.14,6823502,76.318,-0.86,
2023-05-24,79.05,79.39,77.77,77.81,5347904,76.981,-1.67,
