Date,Symbol,Company Name
"Dec 31, 2015",KCLI,Kansas City Life Insurance Co.
"Dec 31, 2015",FXEN,Fx Energy Inc
"Dec 31, 2015",FCVA,First Capital Bancorp Inc
"Dec 31, 2015",BZC,Breeze-eastern Corp
"Dec 31, 2015",ASBI,Ameriana Bancorp
"Dec 28, 2015",QMRK,Qualmark Corp
"Dec 28, 2015",COSN,Cosine Communications Inc
"Dec 24, 2015",VELTF,Velti PLC
"Dec 24, 2015",PBCP,Polonia Bancorp Inc
"Dec 24, 2015",NOEC,New Oriental Energy & Chemical Corp
"Dec 24, 2015",ESSX,Essex Rental Corp
"Dec 24, 2015",CRMBQ,Crumbs Bake Shop Inc
"Dec 24, 2015",ASMIY,Asm International N V
"Dec 23, 2015",MTS,Montgomery Street Income Securities Inc
"Dec 23, 2015",HUB.A,Hubbell Inc
"Dec 22, 2015",MECK,Mecklermedia Corp
"Dec 21, 2015",ALTV,Alteva Inc
"Dec 18, 2015",VIMC,Vimicro International Corp
"Dec 18, 2015",INOW,Infonow Corp
"Dec 18, 2015",HKTVY,Hong Kong Technology Venture Co Limited
"Dec 18, 2015",HKFIQ,Hancock Fabrics Inc
"Dec 18, 2015",CEAI,China Education Alliance Inc
"Dec 17, 2015",RNDY,Roundy's Inc
"Dec 16, 2015",ZSPH,Zs Pharma Inc
"Dec 16, 2015",UIL,Uil Holdings Corp
"Dec 11, 2015",VALV,Shengkai Innovations Inc
"Dec 11, 2015",CMCSK,Comcast Corp
"Dec 11, 2015",BEE,Strategic Hotels & Resorts Inc
"Dec 10, 2015",WX,Wuxi Pharmatech (cayman) Inc
"Dec 10, 2015",TPIY,Tianyin Pharmaceutical Co Inc
"Dec 9, 2015",STNR,Steiner Leisure Ltd.
"Dec 8, 2015",PGI,Premiere Global Services Inc
"Dec 7, 2015",PSTRQ,Postrock Energy Corp
"Dec 7, 2015",PSBH,Psb Holdings Inc
"Dec 7, 2015",MCBK,Madison County Financial Inc
"Dec 7, 2015",FSL,Freescale Semiconductor Ltd.
"Dec 7, 2015",AMCO,Armco Metals Holdings Inc
"Dec 7, 2015",AFCB,Athens Bancshares Corp
"Dec 4, 2015",ZAZA,Zaza Energy Corp
"Dec 4, 2015",XSPY,Spy Inc
"Dec 4, 2015",VRTA,Vestin Realty Mortgage I Inc
"Dec 4, 2015",SWWI,Simon Worldwide Inc
"Dec 4, 2015",SARAQ,Saratoga Resources Inc
"Dec 4, 2015",PRXIQ,Premier Exhibitions Inc
"Dec 4, 2015",ONFC,Oneida Financial Corp
"Dec 4, 2015",NUSPQ,New Source Energy Partners Lp
"Dec 4, 2015",MSO,Martha Stewart Living Omnimedia Inc
"Dec 4, 2015",ISSI,Integrated Silicon Solution Inc
"Dec 4, 2015",DARA,Dara Biosciences Inc
"Dec 3, 2015",MWE,Markwest Energy Partners L P
