symbol,bars,first,last,av_delist
LSBK,1889,2016-09-13,2026-09-11,2025-07-18
SPNS,2515,2015-12-16,2025-12-16,2025-12-17
LGVC,584,2022-01-04,2024-05-01,2024-05-01
SZZL,282,2025-05-27,2026-09-09,2024-02-27
NXPLW,435,2023-12-05,2026-06-02,2026-06-03
BWAC,650,2020-12-29,2023-07-31,2023-07-31
AMBR,376,2025-03-14,2026-09-11,2019-07-29
CPAR,389,2021-07-16,2023-01-31,2023-01-31
ABXL,688,2023-11-27,2026-09-11,2026-01-27
RAIN,937,2021-08-18,2026-09-11,2026-09-11
PCPC,471,2021-02-03,2022-12-14,2022-12-14
AEAC,472,2021-03-09,2023-01-20,2023-01-20
FSRX,663,2021-04-22,2023-12-07,2023-12-07
DAWN,1230,2021-05-28,2026-04-22,2026-04-23
CRGEQ,1592,2017-10-11,2024-05-06,2024-05-06
CNH,2513,2016-09-13,2026-09-11,2013-10-17
SLSR,1504,2020-08-14,2026-09-11,2026-09-11
STI,888,2022-05-03,2026-09-11,2019-12-06
AY,2517,2014-12-11,2024-12-11,2024-12-12
ACII,241,2025-09-26,2026-09-11,2026-09-11
ASAX,453,2021-03-16,2022-12-29,2022-12-29
CHX,1813,2018-04-30,2025-07-16,2025-07-16
PNAC,287,2022-07-07,2023-08-25,2023-08-25
LUNRW,827,2021-11-17,2025-03-06,2026-09-11
NU,1192,2021-12-10,2026-09-11,2015-02-18
GLDD,2515,2016-03-31,2026-03-31,2026-09-11
BWNB,1165,2021-12-20,2026-08-12,2026-09-11
ENCP,561,2022-01-11,2024-04-05,2026-05-28
UWMC,1595,2020-04-08,2026-09-11,2021-03-04
TLN,818,2023-06-05,2026-09-11,2016-12-14
OPEN,1565,2020-06-19,2026-09-11,2014-08-01
SILA,574,2021-02-09,2026-06-30,2026-07-01
JGGC,407,2022-04-05,2023-11-15,2023-11-15
PGRE,2515,2015-12-18,2025-12-18,2025-12-18
