contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL270115C00005000,2026-08-26 18:16:02+00:00,5.0,308.05,326.8,330.1,0.0,0.0,1,8,3.4531263671875,True,REGULAR,USD
AAPL270115C00010000,2026-08-14 13:56:40+00:00,10.0,296.34,321.8,325.15,0.0,0.0,2,1,2.7851592871093755,True,REGULAR,USD
AAPL270115C00015000,2026-08-13 19:54:15+00:00,15.0,289.93,316.3,320.2,0.0,0.0,1,11,2.160160849609375,True,REGULAR,USD
AAPL270115C00020000,2026-08-14 13:56:40+00:00,20.0,286.39,311.35,315.25,0.0,0.0,1,12,2.003911240234375,True,REGULAR,USD
AAPL270115C00025000,2025-05-23 17:36:45+00:00,25.0,172.1,174.8,178.65,0.0,0.0,3,5,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00030000,2026-08-10 15:49:09+00:00,30.0,277.3,301.95,305.4,0.0,0.0,4,4,1.9404299853515625,True,REGULAR,USD
AAPL270115C00035000,2026-08-13 19:49:00+00:00,35.0,270.14,297.05,300.5,0.0,0.0,2,5,1.8515632421875,True,REGULAR,USD
AAPL270115C00040000,2026-04-09 15:52:31+00:00,40.0,218.8,259.2,263.0,0.0,0.0,10,39,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00045000,2025-10-09 13:39:10+00:00,45.0,213.4,227.25,230.95,0.0,0.0,1,2,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00050000,2026-09-03 17:02:37+00:00,50.0,279.83,282.3,285.7,0.0,0.0,1,120,1.6176776928710939,True,REGULAR,USD
AAPL270115C00060000,2026-06-23 13:30:01+00:00,60.0,239.0,260.35,264.15,0.0,0.0,2,131,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00070000,2026-06-10 13:31:15+00:00,70.0,222.74,256.85,260.75,0.0,0.0,1,139,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00080000,2026-08-24 16:18:26+00:00,80.0,233.3,252.3,256.2,0.0,0.0,6,283,1.2675817871093749,True,REGULAR,USD
AAPL270115C00085000,2026-09-03 16:47:22+00:00,85.0,245.95,247.9,251.25,0.0,0.0,1,116,1.2680700659179687,True,REGULAR,USD
AAPL270115C00090000,2026-09-08 15:42:46+00:00,90.0,228.05,242.95,246.35,0.0,0.0,1,276,1.2277870642089845,True,REGULAR,USD
AAPL270115C00095000,2026-08-21 14:13:04+00:00,95.0,214.43,237.5,241.4,0.0,0.0,4,28,1.1513714306640623,True,REGULAR,USD
AAPL270115C00100000,2026-09-10 18:29:38+00:00,100.0,225.72,233.1,236.5,0.0,0.0,1,598,1.1528362670898438,True,REGULAR,USD
AAPL270115C00105000,2026-08-07 19:44:17+00:00,105.0,210.05,227.65,231.55,0.0,0.0,3,89,1.083988955078125,True,REGULAR,USD
AAPL270115C00110000,2026-09-09 16:26:45+00:00,110.0,205.23,223.25,226.65,0.0,0.0,12,219,1.083988955078125,True,REGULAR,USD
AAPL270115C00115000,2026-06-05 19:42:29+00:00,115.0,195.83,0.0,0.0,0.0,0.0,62,0,1.0000000000000003e-05,True,REGULAR,USD
AAPL270115C00120000,2026-08-13 14:27:34+00:00,120.0,187.21,212.9,216.8,0.0,0.0,6,494,0.9946289599609376,True,REGULAR,USD
AAPL270115C00125000,2026-09-10 14:01:07+00:00,125.0,195.65,208.5,211.9,0.0,0.0,10,334,0.9919434399414062,True,REGULAR,USD
AAPL270115C00130000,2026-09-11 19:52:21+00:00,130.0,203.45,203.1,206.95,0.0,0.0,1,479,0.9396978686523438,True,REGULAR,USD
AAPL270115C00135000,2026-08-20 14:58:21+00:00,135.0,184.42,198.8,202.05,0.0,0.0,2,1576,0.9399420068359375,True,REGULAR,USD
AAPL270115C00140000,2026-08-20 17:11:47+00:00,140.0,179.61,193.4,197.15,0.0,0.0,3,1592,0.8937998901367187,True,REGULAR,USD
AAPL270115C00145000,2026-09-11 14:38:08+00:00,145.0,191.3,188.45,192.2,0.0,0.0,89,6414,0.8653577917480468,True,REGULAR,USD
AAPL270115C00150000,2026-09-11 19:53:39+00:00,150.0,184.8,183.4,187.3,0.0,0.0,2,1699,0.835817071533203,True,REGULAR,USD
AAPL270115C00155000,2026-09-04 16:33:07+00:00,155.0,168.29,178.95,182.4,0.0,0.0,5,82,0.8283708569335937,True,REGULAR,USD
AAPL270115C00160000,2026-09-03 17:07:31+00:00,160.0,171.3,173.6,177.5,0.0,0.0,1,650,0.7899190930175781,True,REGULAR,USD
AAPL270115C00165000,2026-08-20 13:30:00+00:00,165.0,155.9,168.8,172.15,0.0,0.0,1,460,0.75586181640625,True,REGULAR,USD
AAPL270115C00170000,2026-09-08 16:12:50+00:00,170.0,148.44,164.0,167.7,0.0,0.0,1,983,0.7513452600097656,True,REGULAR,USD
AAPL270115C00175000,2026-09-11 17:57:41+00:00,175.0,160.5,159.0,162.8,0.0,0.0,1,1149,0.7263821307373046,True,REGULAR,USD
AAPL270115C00180000,2026-09-11 15:33:11+00:00,180.0,158.03,154.5,157.9,0.0,0.0,1,1050,0.7155790161132812,True,REGULAR,USD
AAPL270115C00185000,2026-09-11 16:23:31+00:00,185.0,152.54,149.25,153.0,0.0,0.0,6,826,0.6846955358886719,True,REGULAR,USD
AAPL270115C00190000,2026-09-08 16:20:18+00:00,190.0,129.0,144.75,148.15,0.0,0.0,3,800,0.6745638012695314,True,REGULAR,USD
AAPL270115C00195000,2026-09-09 15:02:12+00:00,195.0,121.33,139.85,143.25,0.0,0.0,2,639,0.6532017102050782,True,REGULAR,USD
AAPL270115C00200000,2026-09-14 19:44:55+00:00,200.0,137.3,135.4,137.85,1.300003,0.9558846,7,12533,0.6309851354980469,True,REGULAR,USD
AAPL270115C00205000,2026-09-08 15:42:25+00:00,205.0,115.27,129.65,133.55,0.0,0.0,2,118,0.6047402807617189,True,REGULAR,USD
AAPL270115C00210000,2026-09-14 14:33:44+00:00,210.0,126.92,124.95,128.25,0.51999664,0.41138974,15,2341,0.580204393310547,True,REGULAR,USD
AAPL270115C00215000,2026-09-01 18:00:24+00:00,215.0,114.3,119.9,123.8,0.0,0.0,1,228,0.5661664477539063,True,REGULAR,USD
AAPL270115C00220000,2026-09-14 16:24:26+00:00,220.0,118.15,116.0,118.5,1.3499985,1.1558206,3,7120,0.557194369506836,True,REGULAR,USD
AAPL270115C00225000,2026-09-08 13:53:09+00:00,225.0,96.13,111.2,114.15,0.0,0.0,5,480,0.547978153076172,True,REGULAR,USD
AAPL270115C00230000,2026-09-14 17:07:06+00:00,230.0,108.5,106.4,108.8,-0.15000153,-0.1380594,22,10573,0.5216112292480468,True,REGULAR,USD
AAPL270115C00235000,2026-09-14 19:29:06+00:00,235.0,104.0,101.5,104.1,1.9599991,1.9208144,1,377,0.504460521850586,True,REGULAR,USD
AAPL270115C00240000,2026-09-14 18:27:54+00:00,240.0,98.91,96.85,99.35,1.3800049,1.4149543,34,9144,0.5257005438232423,True,REGULAR,USD
AAPL270115C00245000,2026-09-14 18:27:54+00:00,245.0,94.15,92.1,94.6,1.800003,1.94911,6,3320,0.5079394909667969,True,REGULAR,USD
AAPL270115C00250000,2026-09-14 18:31:16+00:00,250.0,89.65,87.7,89.55,1.7200012,1.9561028,302,21509,0.4824880853271485,True,REGULAR,USD
AAPL270115C00255000,2026-09-14 18:53:20+00:00,255.0,84.6,82.95,85.25,0.45999908,0.5467068,125,4425,0.4754996298217773,True,REGULAR,USD
AAPL270115C00260000,2026-09-14 19:11:58+00:00,260.0,79.9,78.35,79.8,1.2000046,1.5247835,65,9966,0.4409235595703125,True,REGULAR,USD
