tag,start,end,dims,val,accn,days
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,ProductOrServiceAxis=ProductMember,78678000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,ProductOrServiceAxis=ProductMember,66613000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,ProductOrServiceAxis=ProductMember,272629000000.0,0000320193-26-000020,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,ProductOrServiceAxis=ProductMember,233287000000.0,0000320193-26-000020,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,ProductOrServiceAxis=ServiceMember,30739000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,ProductOrServiceAxis=ServiceMember,27423000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,ProductOrServiceAxis=ServiceMember,91728000000.0,0000320193-26-000020,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,ProductOrServiceAxis=ServiceMember,80408000000.0,0000320193-26-000020,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,,109417000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,,94036000000.0,0000320193-26-000020,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,,364357000000.0,0000320193-26-000020,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,,313695000000.0,0000320193-26-000020,272.0
CostOfGoodsAndServicesSold,2026-03-29,2026-06-27,ProductOrServiceAxis=ProductMember,47153000000.0,0000320193-26-000020,90.0
CostOfGoodsAndServicesSold,2025-03-30,2025-06-28,ProductOrServiceAxis=ProductMember,43620000000.0,0000320193-26-000020,90.0
CostOfGoodsAndServicesSold,2025-09-28,2026-06-27,ProductOrServiceAxis=ProductMember,163810000000.0,0000320193-26-000020,272.0
CostOfGoodsAndServicesSold,2024-09-29,2025-06-28,ProductOrServiceAxis=ProductMember,147097000000.0,0000320193-26-000020,272.0
CostOfGoodsAndServicesSold,2026-03-29,2026-06-27,ProductOrServiceAxis=ServiceMember,7494000000.0,0000320193-26-000020,90.0
