kind,date,slug,d0_raw,d0_ar_spy,d0_ar_xlk,m5p5_ar_spy,m1p20_ar_spy,m1p20_ar_xlk,p1p20_ar_spy,m5p5_raw,note
AI,2024-06-10,introducing-apple-intelligence-for-iphone-ip,-1.93,-2.24,-2.19,8.28,12.87,7.9,13.76,11.96,
HW,2024-09-09,apple-debuts-iphone-16-pro-and-iphone-16-pro,0.04,-1.07,-1.58,-6.84,-3.87,-7.14,-3.79,-6.04,
AI,2024-10-28,apple-intelligence-is-available-today-on-iph,0.86,0.55,0.89,-3.13,-2.01,-0.84,-2.95,-5.69,
AI,2025-06-09,apple-intelligence-gets-even-more-powerful-w,-1.22,-1.31,-1.71,-3.45,-0.29,-3.85,0.42,-1.22,
HW,2025-09-09,apple-debuts-iphone-17,-1.5,-1.73,-1.69,0.26,3.17,-1.68,5.9,2.56,
HW,2025-09-09,apple-unveils-iphone-17-pro-and-iphone-17-pr,-1.5,-1.73,-1.69,0.26,3.17,-1.68,5.9,2.56,
HW,2025-09-09,introducing-iphone-air-a-powerful-new-iphone,-1.5,-1.73,-1.69,0.26,3.17,-1.68,5.9,2.56,
AI,2025-09-15,new-apple-intelligence-features-are-availabl,1.12,0.59,0.22,3.35,6.29,2.18,3.93,6.61,
HW,2026-03-02,apple-introduces-iphone-17e,0.2,0.15,-0.36,-0.16,-1.73,-0.19,0.91,-1.79,
AI,2026-06-08,apple-unveils-next-generation-of-apple-intel,-1.91,-2.13,-4.03,-4.92,1.99,6.86,2.76,-5.14,
AI,2026-06-08,apple-introduces-siri-ai-a-profoundly-more-c,-1.91,-2.13,-4.03,-4.92,1.99,6.86,2.76,-5.14,
AI,2026-06-08,due-to-dma-siri-ai-delayed-in-eu-for-ios-27-,-1.91,-2.13,-4.03,-4.92,1.99,6.86,2.76,-5.14,
HW,2026-09-09,apple-debuts-iphone-18-pro-and-iphone-18-pro,-0.28,0.19,-0.28,5.11,4.54,3.56,4.98,4.75,
HW,2026-09-09,apple-unveils-iphone-duo,-0.28,0.19,-0.28,5.11,4.54,3.56,4.98,4.75,
AI,2026-09-14,siri-ai-a-profoundly-more-capable-and-person,,,,,,,,,after last price bar
