contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL261016P00130000,2026-08-11 13:49:18+00:00,130.0,0.02,0.0,0.52,0.0,0.0,46.0,66,1.3320345898437496,False,REGULAR,USD
AAPL261016P00135000,2026-07-16 17:24:05+00:00,135.0,0.05,0.0,1.01,0.0,0.0,2.0,70,1.40234673828125,False,REGULAR,USD
AAPL261016P00140000,2026-09-09 15:36:41+00:00,140.0,0.01,0.0,0.06,0.0,0.0,10.0,618,0.9804689453125001,False,REGULAR,USD
AAPL261016P00145000,2026-09-14 19:11:27+00:00,145.0,0.02,0.0,0.04,-0.01,-33.333336,2.0,395,0.914063359375,False,REGULAR,USD
AAPL261016P00150000,2026-09-04 15:43:40+00:00,150.0,0.02,0.0,0.51,0.0,0.0,30.0,400,1.1396527392578126,False,REGULAR,USD
AAPL261016P00155000,2026-09-14 18:32:54+00:00,155.0,0.01,0.0,0.06,0.0,0.0,2.0,170,0.8710950390625,False,REGULAR,USD
AAPL261016P00160000,2026-09-11 14:54:36+00:00,160.0,0.01,0.0,0.01,0.0,0.0,2.0,260,0.7187528125,False,REGULAR,USD
AAPL261016P00165000,2026-09-08 16:43:48+00:00,165.0,0.15,0.0,0.52,0.0,0.0,1.0,230,1.015629921875,False,REGULAR,USD
AAPL261016P00170000,2026-09-03 13:47:12+00:00,170.0,0.09,0.0,0.3,0.0,0.0,2.0,308,0.91211025390625,False,REGULAR,USD
AAPL261016P00175000,2026-09-08 14:35:20+00:00,175.0,0.02,0.0,0.08,0.0,0.0,2.0,623,0.7617211328125001,False,REGULAR,USD
AAPL261016P00180000,2026-09-08 14:35:20+00:00,180.0,0.03,0.0,0.08,0.0,0.0,2.0,429,0.7304714453125,False,REGULAR,USD
AAPL261016P00185000,2026-09-04 17:47:15+00:00,185.0,0.02,0.0,0.45,0.0,0.0,14.0,872,0.8476577734374999,False,REGULAR,USD
AAPL261016P00190000,2026-09-09 15:24:49+00:00,190.0,0.04,0.0,0.17,0.0,0.0,5.0,1614,0.7236355761718749,False,REGULAR,USD
AAPL261016P00195000,2026-09-10 13:44:35+00:00,195.0,0.13,0.0,0.05,0.0,0.0,1.0,342,0.6132851171875001,False,REGULAR,USD
AAPL261016P00200000,2026-09-14 13:31:20+00:00,200.0,0.03,0.0,0.05,0.01,50.0,1.0,1144,0.585941640625,False,REGULAR,USD
