tag,start,end,instant,dims,dimkey,val,accn,label,days
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,,{'ProductOrServiceAxis': 'ProductMember'},ProductOrServiceAxis=ProductMember,78678000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,,{'ProductOrServiceAxis': 'ProductMember'},ProductOrServiceAxis=ProductMember,66613000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,,{'ProductOrServiceAxis': 'ProductMember'},ProductOrServiceAxis=ProductMember,272629000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,,{'ProductOrServiceAxis': 'ProductMember'},ProductOrServiceAxis=ProductMember,233287000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,,{'ProductOrServiceAxis': 'ServiceMember'},ProductOrServiceAxis=ServiceMember,30739000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,,{'ProductOrServiceAxis': 'ServiceMember'},ProductOrServiceAxis=ServiceMember,27423000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,,{'ProductOrServiceAxis': 'ServiceMember'},ProductOrServiceAxis=ServiceMember,91728000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,,{'ProductOrServiceAxis': 'ServiceMember'},ProductOrServiceAxis=ServiceMember,80408000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2026-03-29,2026-06-27,,{},,109417000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-03-30,2025-06-28,,{},,94036000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
RevenueFromContractWithCustomerExcludingAssessedTax,2025-09-28,2026-06-27,,{},,364357000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
RevenueFromContractWithCustomerExcludingAssessedTax,2024-09-29,2025-06-28,,{},,313695000000.0,0000320193-26-000020,10-Q FQ3'26,272.0
CostOfGoodsAndServicesSold,2026-03-29,2026-06-27,,{'ProductOrServiceAxis': 'ProductMember'},ProductOrServiceAxis=ProductMember,47153000000.0,0000320193-26-000020,10-Q FQ3'26,90.0
