end,mem,val,accn,src
2022-06-25,IPadMember,7224000000.0,0000320193-23-000077,3M
2022-09-24,IPadMember,7174000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,IPadMember,9396000000.0,0000320193-24-000006,3M
2023-04-01,IPadMember,6670000000.0,0000320193-24-000069,3M
2023-07-01,IPadMember,5791000000.0,0000320193-24-000081,3M
2023-09-30,IPadMember,6443000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,IPadMember,7023000000.0,0000320193-25-000008,3M
2024-03-30,IPadMember,5559000000.0,0000320193-25-000057,3M
2024-06-29,IPadMember,7162000000.0,0000320193-25-000073,3M
2024-09-28,IPadMember,6950000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,IPadMember,8088000000.0,0000320193-26-000006,3M
2025-03-29,IPadMember,6402000000.0,0000320193-26-000013,3M
2025-06-28,IPadMember,6581000000.0,0000320193-26-000020,3M
2025-09-27,IPadMember,6952000000.0,0000320193-25-000079|9M:0000320193-26-000020,FY-9M
2025-12-27,IPadMember,8595000000.0,0000320193-26-000006,3M
2026-03-28,IPadMember,6914000000.0,0000320193-26-000013,3M
2026-06-27,IPadMember,6191000000.0,0000320193-26-000020,3M
2022-06-25,IPhoneMember,40665000000.0,0000320193-23-000077,3M
2022-09-24,IPhoneMember,42626000000.0,0000320193-24-000123|9M:0000320193-23-000077,FY-9M
2022-12-31,IPhoneMember,65775000000.0,0000320193-24-000006,3M
2023-04-01,IPhoneMember,51334000000.0,0000320193-24-000069,3M
2023-07-01,IPhoneMember,39669000000.0,0000320193-24-000081,3M
2023-09-30,IPhoneMember,43805000000.0,0000320193-25-000079|9M:0000320193-24-000081,FY-9M
2023-12-30,IPhoneMember,69702000000.0,0000320193-25-000008,3M
2024-03-30,IPhoneMember,45963000000.0,0000320193-25-000057,3M
2024-06-29,IPhoneMember,39296000000.0,0000320193-25-000073,3M
2024-09-28,IPhoneMember,46222000000.0,0000320193-25-000079|9M:0000320193-25-000073,FY-9M
2024-12-28,IPhoneMember,69138000000.0,0000320193-26-000006,3M
2025-03-29,IPhoneMember,46841000000.0,0000320193-26-000013,3M
2025-06-28,IPhoneMember,44582000000.0,0000320193-26-000020,3M
