d,avail,eps,end,avail_r,rev,avail_c,cover,close,pe,ps
2010-10-27,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.993928909301758,20.318812505640214,4.329239600817282
2010-10-28,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.901429176330566,20.147855903449233,4.292814632969337
2010-10-29,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.749285697937012,19.866666636451242,4.232902878299886
2010-11-01,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.863571166992188,20.077887305332098,4.277906732928511
2010-11-02,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.04857063293457,20.419800509714058,4.350756668624401
2010-11-03,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.171428680419922,20.64686488790481,4.399136272389407
2010-11-04,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.366786003112793,21.007921325885032,4.4760649722826775
2010-11-05,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.326070785522461,20.932672078853393,4.460031947710468
2010-11-08,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.37928581237793,21.031023283602774,4.480987204336361
2010-11-09,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.28857135772705,20.86336620570016,4.445265251549415
2010-11-10,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.358214378356934,20.99207937914153,4.472689598688528
2010-11-11,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.308929443359375,20.900991710499177,4.453281951606637
2010-11-12,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.001070976257324,20.33201236536007,4.332052036603506
2010-11-15,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.965714454650879,20.266666978892715,4.318129183840991
2010-11-16,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.771071434020996,19.906930703141118,4.241481765080566
2010-11-17,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.73214340209961,19.83498450553063,4.226152506653822
2010-11-18,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.01535701751709,20.358415609932578,4.3376776592604225
2010-11-19,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,10.954643249511719,20.24620534563222,4.313769514052998
2010-11-22,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.191429138183594,20.683829430306314,4.40701214410909
2010-11-23,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.026070594787598,20.378216280795563,4.341896500710875
2010-11-24,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.242856979370117,20.778877585634543,4.427263634589518
2010-11-26,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.25,20.792079207920793,4.430076445917976
2010-11-29,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.31678581237793,20.91551173244766,4.456375668525706
2010-11-30,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.112500190734863,20.53795414789282,4.375931142242981
2010-12-01,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.300000190734863,20.884488801358163,4.449765749674948
2010-12-02,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.362500190734863,21.00000035251328,4.474377285485603
2010-12-03,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.337142944335938,20.95313547468028,4.464391993040694
2010-12-06,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.433929443359375,21.13201481280941,4.502505023227947
2010-12-07,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.364643096923828,21.003960839199156,4.47522112888414
2010-12-08,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.464642524719238,21.188778263507505,4.514599360855849
2010-12-09,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.420000076293945,21.10627076806802,4.497019853366338
2010-12-10,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.44857120513916,21.159075494646633,4.508270723137935
2010-12-13,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.488213539123535,21.232341854485743,4.523881262697525
2010-12-14,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.438928604125977,21.14125418584339,4.504473615615634
2010-12-15,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.441429138183594,21.145875634926774,4.505458287351711
2010-12-16,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.473214149475098,21.204620210251008,4.517974734449997
2010-12-17,2010-10-27,0.5410714285714285,2010-09-25,2010-10-27,65225000000.0,2010-10-27,25684598772.0,11.450357437133789,21.162376781501393,4.508974113741166
