d,end,avail,ttm_ni,ttm_rev,sh,eps,eps_norm,raw,adj,pe,pe_norm,pe_divadj,ps,ps_divadj
2010-10-27,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.993928909301758,9.207079887390137,20.2909798432499,20.2909798432499,16.993076265224833,4.359333086139683,3.650808397157464
2010-10-28,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.901429176330566,9.129617691040039,20.120257417017324,20.120257417017324,16.850107916264175,4.322654920424128,3.620092943359293
2010-10-29,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.749285697937012,9.002199172973633,19.839453322427122,19.839453322427122,16.614937523307137,4.262326706127578,3.5695687161993552
2010-11-01,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.863571166992188,9.097915649414062,20.050384661724113,20.050384661724113,16.791596942350356,4.307643392330242,3.6075223910027674
2010-11-02,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.04857063293457,9.252842903137207,20.39182951418926,20.39182951418926,17.07753892072777,4.3809997237613505,3.6689544330572357
2010-11-03,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.171428680419922,9.355735778808594,20.61858286011977,20.61858286011977,17.267443483826742,4.429715624666284,3.709753706996767
2010-11-04,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.366786003112793,9.51933479309082,20.97914472382606,20.97914472382606,17.569390524649208,4.507179072671132,3.774624291635252
2010-11-05,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.326070785522461,9.485241889953613,20.90399855303902,20.90399855303902,17.50646684958618,4.491034599060725,3.761105710436966
2010-11-08,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.37928581237793,9.529806137084961,21.00221503653554,21.00221503653554,17.58871699398239,4.512135520229552,3.7787764083813764
2010-11-09,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.28857135772705,9.453836441040039,20.83478761491059,20.83478761491059,17.448503282954928,4.476165256385467,3.7486527635729767
2010-11-10,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.358214378356934,9.512161254882812,20.963324477344578,20.963324477344578,17.55615066104955,4.503780236121573,3.771779826957261
2010-11-11,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.308929443359375,9.4708833694458,20.872361580380126,20.872361580380126,17.47996600056246,4.4842376822670245,3.755412243248474
2010-11-12,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.001070976257324,9.213064193725586,20.304161621832435,20.304161621832435,17.004121219238105,4.362165071778274,3.653181305407184
2010-11-15,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.965714454650879,9.183453559875488,20.23890574532437,20.23890574532437,16.94947025873482,4.348145438240405,3.6414400419417556
2010-11-16,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.771071434020996,9.0204439163208,19.879662235491537,19.879662235491537,16.648610991869358,4.2709652266146865,3.5768031556775055
2010-11-17,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.73214340209961,8.98784351348877,19.807814589616193,19.807814589616193,16.588441954739523,4.255529411181168,3.5638763834689904
2010-11-18,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.01535701751709,9.225028038024902,20.33052869930157,20.33052869930157,17.02620232650448,4.367829799360873,3.6579252311430785
2010-11-19,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,10.954643249511719,9.174179077148438,20.218472140361808,20.218472140361808,16.932352780204287,4.343755463440245,3.6377625068455757
2010-11-22,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.191429138183594,9.372482299804688,20.655496768576562,20.655496768576562,17.298351753543567,4.437646243281922,3.7163940685688925
2010-11-23,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.026070594787598,9.234003067016602,20.35030224725139,20.35030224725139,17.04276711729634,4.372077966895112,3.661484026288595
2010-11-24,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.242856979370117,9.415552139282227,20.750414727161385,20.750414727161385,17.377843739702524,4.45803850627386,3.733472201218113
2010-11-26,2010-09-25,2010-10-27,14013000000.0,65225000000.0,25863138000.0,0.5418136035928819,0.5418136035928819,11.25,9.421537399291992,20.763598265895954,20.763598265895954,17.38889045386783,4.460870870065159,3.7358454876205425
