end,IPadMember,IPhoneMember,MacMember,ProductMember,ServiceMember,WearablesHomeandAccessoriesMember
2023-07-01,5791.0,39669.0,6840.0,60584.0,21213.0,8284.0
2023-12-30,7023.0,69702.0,7780.0,96458.0,23117.0,11953.0
2024-03-30,5559.0,45963.0,7451.0,66886.0,23867.0,7913.0
2024-06-29,7162.0,39296.0,7009.0,61564.0,24213.0,8097.0
2024-12-28,8088.0,69138.0,8987.0,97960.0,26340.0,11747.0
2025-03-29,6402.0,46841.0,7949.0,68714.0,26645.0,7522.0
2025-06-28,6581.0,44582.0,8046.0,66613.0,27423.0,7404.0
2025-12-27,8595.0,85269.0,8386.0,113743.0,30013.0,11493.0
2026-03-28,6914.0,56994.0,8399.0,80208.0,30976.0,7901.0
2026-06-27,6191.0,54252.0,10352.0,78678.0,30739.0,7883.0
