accn,filing,start,end,val,ndim,member,days
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,61564000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,60584000000.0,1,ProductOrServiceAxis=ProductMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,224908000000.0,1,ProductOrServiceAxis=ProductMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,230901000000.0,1,ProductOrServiceAxis=ProductMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,24213000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,21213000000.0,1,ProductOrServiceAxis=ServiceMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,71197000000.0,1,ProductOrServiceAxis=ServiceMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,62886000000.0,1,ProductOrServiceAxis=ServiceMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,85777000000.0,0,,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,81797000000.0,0,,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,296105000000.0,0,,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,293787000000.0,0,,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,39296000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,39669000000.0,1,ProductOrServiceAxis=IPhoneMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,154961000000.0,1,ProductOrServiceAxis=IPhoneMember,272
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2022-09-25,2023-07-01,156778000000.0,1,ProductOrServiceAxis=IPhoneMember,279
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2024-03-31,2024-06-29,7009000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-04-02,2023-07-01,6840000000.0,1,ProductOrServiceAxis=MacMember,90
0000320193-24-000081,10-Q Q3FY24 (end 2024-06-29),2023-10-01,2024-06-29,22240000000.0,1,ProductOrServiceAxis=MacMember,272
