end,ttm,avail,ttm_rev,sh,sh_last,eps_ttm
2009-09-26,7636000000,2010-10-27,41508000000,904203500.0,909160000,8.445001595326715
2009-12-26,8759000000,2010-10-27,45311000000,908357500.0,919783000,9.64267923146999
2010-03-27,10213000000,2010-10-27,49726000000,913703500.0,922878000,11.177586602218334
2010-06-26,12237000000,2010-10-27,57089000000,919795500.0,927361000,13.30404421417587
2010-09-25,14013000000,2010-10-27,65225000000,919795500.0,927361000,15.234908194267096
2010-12-25,16639000000,2011-01-19,76283000000,925794000.0,933154000,17.97268074755291
2011-03-26,19552000000,2011-04-21,87451000000,929834250.0,935944000,21.02740353993198
2011-06-25,23607000000,2011-07-20,100322000000,933567250.0,937810000,25.286876762225752
2011-09-24,25922000000,2011-10-26,108249000000,933567250.0,937810000,27.76661242133333
2011-12-31,32982000000,2012-01-25,127841000000,937120000.0,941572000,35.19506573331057
2012-03-31,38617000000,2012-04-25,142360000000,940054750.0,944893000,41.079522229955224
2012-06-30,40133000000,2012-07-25,148812000000,942833500.0,947059000,42.56637041428842
2012-09-29,41733000000,2012-10-31,156508000000,942833500.0,947059000,44.263382665125924
2012-12-29,41747000000,2013-01-24,164687000000,945185250.0,947217000,44.16806123455693
2013-03-30,39672000000,2013-04-24,169104000000,946301000.0,946035000,41.92323584145002
2013-06-29,37748000000,2013-07-24,169404000000,941144000.0,924265000,40.1086337478643
2013-09-28,37037000000,2013-10-30,170910000000,941144000.0,924265000,39.35317018437136
2013-12-28,37031000000,2014-01-28,173992000000,929742250.0,901452000,39.82931828686929
2014-03-29,37707000000,2014-04-24,176035000000,912820000.0,879528000,41.308253543962664
2014-06-28,38555000000,2014-07-23,178144000000,2189239000.0,6051711000,17.611142502029242
2014-09-27,39510000000,2014-10-27,182795000000,2189239000.0,6051711000,18.04736714447349
2014-12-27,44462000000,2015-01-28,199800000000,3428623500.0,5881803000,12.967886383558882
2015-03-28,47808000000,2015-04-28,212164000000,4661975000.0,5834858000,10.254881246681933
2015-06-27,50737000000,2015-07-22,224337000000,5885367750.0,5773099000,8.620871652412884
2015-09-26,53394000000,2015-10-28,233715000000,5885367750.0,5773099000,9.072330271969836
2015-12-26,53731000000,2016-01-27,234988000000,5770971750.0,5594127000,9.310563684530253
2016-03-26,50678000000,2016-04-27,227535000000,5685742500.0,5540886000,8.91317185046632
2016-06-25,47797000000,2016-07-27,220288000000,5595223250.0,5472781000,8.542465217987504
2016-09-24,45687000000,2016-10-26,215639000000,5595223250.0,5472781000,8.16535783447068
2016-12-31,45217000000,2017-02-01,218118000000,5483947250.0,5327995000,8.245338246096368
2017-04-01,45730000000,2017-05-03,220457000000,5400837500.0,5261688000,8.467205317693784
2017-07-01,46651000000,2017-08-02,223507000000,5323990750.0,5233499000,8.76241191816496
2017-09-30,48351000000,2017-11-03,229234000000,5323990750.0,5233499000,9.081721263321128
2017-12-30,50525000000,2018-02-02,239176000000,5245242250.0,5157787000,9.632538897512312
2018-03-31,53318000000,2018-05-02,247417000000,5180366750.0,5068493000,10.292321484767463
2018-06-30,56120000000,2018-08-01,255274000000,5096597000.0,4926609000,11.011268891772295
2018-09-29,59531000000,2018-11-05,265595000000,5096597000.0,4926609000,11.680538994941134
2018-12-29,59431000000,2019-01-30,261612000000,4981535250.0,4773252000,11.930257845711319
2019-03-30,57170000000,2019-05-01,258490000000,4867250000.0,4700646000,11.745852380707792
2019-06-29,55695000000,2019-07-31,259034000000,4750471750.0,4601380000,11.72409876976955
2019-09-28,55256000000,2019-10-31,260174000000,4750471750.0,4601380000,11.63168689509626
2019-12-28,57527000000,2020-01-29,267683000000,4632470500.0,4454604000,12.418211837506574
2020-03-28,57215000000,2020-05-01,267981000000,4540330250.0,4404691000,12.601506245057834
2020-06-27,58424000000,2020-07-31,273857000000,4453865750.0,4354788000,13.117593407479783
2020-09-26,57411000000,2020-10-30,274515000000,4453865750.0,4354788000,12.890150539449914
2020-12-26,63930000000,2021-01-28,294135000000,7581942750.0,17113688000,8.431875853982147
2021-03-27,76311000000,2021-04-29,325406000000,10700581000.0,16929157000,7.131481926074855
2021-06-26,86802000000,2021-07-28,347155000000,13794842000.0,16781735000,6.292351880507222
