date,symbol,spot,iv30,iv60,iv90,iv30_call,iv30_put,ts_slope,iv_near,dte_near,skew25,cp_spread_pts,cp_spread_rel,n_exp_used,atm_oi,atm_vol,quality,_secs
2026-09-14,A,145.74,0.302517,0.304151,0.334457,0.323557,0.281477,0.001634,0.302517,32.0,0.039531,4.208,0.139099620847754,8.0,264.0,9.0,ok,1.49
2026-09-14,AAPL,334.2501,0.244155,0.27352,0.268589,0.267136,0.221175,0.029365,0.230348,7.0,0.030697,4.623,0.1893469312526878,10.0,34779.0,4603.0,ok,3.39
2026-09-14,ABMD,,,,,,,,,,,,,,,,no_expiries,0.1
2026-09-14,ABNB,169.94,0.33142,0.385457,0.381313,0.351516,0.311384,0.054037,0.321839,11.0,0.008844,4.483,0.1352664293042061,9.0,2508.0,99.0,ok,1.77
2026-09-14,ACGL,97.04,0.334576,0.334576,0.284609,0.334576,0.228557,0.0,0.334576,67.0,,,,3.0,158.0,5.0,"iv30_extrapolated,iv60_extrapolated",0.84
2026-09-14,ACRE,4.345,,,,,,,,,,,,,,,no_usable_expiry,0.76
2026-09-14,AEIS,261.66,0.610501,0.642711,0.654565,0.654161,0.566841,0.03221,0.610501,32.0,-0.003747,8.732,0.1430300687468161,5.0,162.0,43.0,ok,1.09
2026-09-14,AEP,122.285,0.206833,0.216256,0.21135,0.223024,0.190642,0.009423,0.206833,32.0,0.058799,3.238,0.1565514207113952,8.0,2572.0,493.0,ok,1.73
2026-09-14,AERI,,,,,,,,,,,,,,,,no_expiries,0.16
2026-09-14,AES,14.8201,0.09342,0.0905,0.086236,0.09342,0.111368,-0.00292,0.09342,32.0,,,,3.0,1084.0,27.0,ok,1.16
2026-09-14,AFRM,73.49,0.540029,0.615206,0.602269,0.555773,0.52452,0.075177,0.544574,11.0,-0.012223,4.384,0.0811808254741875,9.0,2673.0,44.0,ok,1.93
2026-09-14,AFYA,13.7,,,,,,,,,,,,,,,no_usable_expiry,0.68
2026-09-14,AGR,,,,,,,,,,,,,,,,no_expiries,0.2
