grp,h,thr,var,n,bss2,ece,d_bss2,d_ece,wins,nyr
index,1,0.02,BASE,26020,0.19210606489185678,0.007598378693163462,0.0,0.0,0.0,21.0
index,1,0.02,SQ,26020,0.18387960319190055,0.009009336513211624,-0.008226461699956222,0.0014109578200481622,9.0,21.0
index,1,0.02,FE250,26020,0.19188246176597956,0.0084434396116763,-0.0002236031258772142,0.0008450609185128386,9.0,21.0
index,1,0.02,FE1000,26020,0.1922170612160483,0.008330301288475625,0.00011099632419153682,0.0007319225953121636,10.0,21.0
index,1,0.02,SPL,26020,0.19219154530013927,0.007174399622240439,8.548040828249004e-05,-0.0004239790709230232,9.0,21.0
index,1,0.02,LOGIT,26020,0.18402646052670035,0.014011247492980375,-0.008079604365156423,0.006412868799816913,6.0,21.0
index,1,0.02,MNL,26020,0.1871583971101468,0.013604094198864485,-0.0049476677817099635,0.006005715505701023,6.0,21.0
index,1,0.02,PLATT,26020,0.18324033172037124,0.01164455098758042,-0.008865733171485535,0.0040461722944169585,5.0,21.0
index,1,0.02,ISO,26020,0.14969017366876114,0.011241710937143523,-0.042415891223095636,0.003643332243980061,6.0,21.0
index,1,0.05,BASE,26020,0.18989687848370673,0.0010114433727730302,0.0,0.0,0.0,21.0
index,1,0.05,SQ,26020,0.1620841901949912,0.0007806848994756487,-0.027812688288715526,-0.0002307584732973815,7.0,21.0
index,1,0.05,FE250,26020,0.1858154337951693,0.0013638057720843264,-0.004081444688537439,0.0003523623993112962,2.0,21.0
index,1,0.05,FE1000,26020,0.18721592237727136,0.0012638954988295876,-0.0026809561064353726,0.00025245212605655735,2.0,21.0
index,1,0.05,SPL,26020,0.19001921322801807,0.0010565505383857135,0.0001223347443113365,4.510716561268325e-05,15.0,21.0
index,1,0.05,LOGIT,26020,0.1532270876483871,0.002260400028102927,-0.03666979083531963,0.001248956655329897,11.0,21.0
index,1,0.05,MNL,26020,,,,,,
index,1,0.05,PLATT,26020,-0.03325912634582617,0.00652270511440779,-0.2231560048295329,0.00551126174163476,11.0,21.0
index,1,0.05,ISO,26020,0.017026908658395734,0.00463617554180786,-0.172869969825311,0.00362473216903483,9.0,21.0
index,5,0.02,BASE,26000,0.1328324235169297,0.017281997187492938,0.0,0.0,0.0,21.0
index,5,0.02,SQ,26000,0.12975832068812265,0.017539742426230374,-0.003074102828807046,0.00025774523873743627,4.0,21.0
index,5,0.02,FE250,26000,0.1329701227941139,0.01817993423303302,0.00013769927718421116,0.0008979370455400836,14.0,21.0
index,5,0.02,FE1000,26000,0.13315169561989193,0.017525346939272893,0.0003192721029622314,0.0002433497517799546,14.0,21.0
index,5,0.02,SPL,26000,0.13268025584473286,0.01576825776087264,-0.00015216767219683458,-0.0015137394266202982,11.0,21.0
