sym,n,bss,lls,bss2,ece_up,ece_dn,ece_move,gap_move,h
AAPL,5201,0.024290859784238283,0.03525544327344232,0.09452984839044287,0.014466355733915096,0.0067425955757906995,0.017230157663773872,-0.00014614097511159163,1
ABNB,1380,0.03313716021389712,0.04088265228929222,0.1017972158633137,0.019961526949444544,0.023768231950268368,0.029767132237337634,-0.01021316839732983,1
AFRM,1358,0.17678754054415913,0.2044987778938302,0.41140005700347004,0.03532000351285724,0.05113218085009149,0.044023624674824444,0.006970777811375561,1
AMD,5201,0.0603963007455155,0.07362254636829535,0.1622566618570237,0.022334394926716336,0.02373960055375049,0.04226185368519752,-0.012160519577406659,1
AMKR,5201,0.05337339303051525,0.064717970122672,0.1492601023353296,0.018736237710547023,0.02013250287651579,0.03239300374247507,-0.008977265381378663,1
APPS,5014,0.05176863923508701,0.06240783285265983,0.12335978428245076,0.07689604118145413,0.058566135258124465,0.12770270703915443,-0.10953409963862848,1
AVAV,4877,0.025941837885181784,0.032410480889661475,0.08039243738298607,0.03135128342713614,0.015926319907190418,0.04748232707897611,-0.03593258032953739,1
BIDU,5201,0.036378710432428574,0.044558137353586935,0.10755372690608911,0.022191922416184597,0.01315066829815126,0.03456280274945907,-0.007518291725155557,1
BMY,5201,0.026911224735170047,0.046877039212161686,0.12668608373559065,0.0210433354529369,0.019035291214454027,0.036378955401609486,-0.018370655900113803,1
CRWD,1759,0.07257184372357683,0.0879406057236054,0.19342677316432044,0.024789900451712196,0.014556183796873684,0.02970392791519388,0.012949404326299818,1
CVS,5201,0.024477412278225086,0.04375567562224758,0.11066305231756535,0.021571964938555274,0.01615386277520834,0.03814851928091723,-0.021354587810290232,1
CYH,5201,0.07745315693987576,0.09411419976386803,0.21292080561623827,0.026489076118467177,0.021739474330845932,0.040007261053863694,-0.0180039022895358,1
DELL,2467,0.03151540390244523,0.041049408591154246,0.10499006681410294,0.013128373834950434,0.02322257483977542,0.0326366139250046,-0.019451588878682147,1
