grp,h,thr,n,bss_pool,bss_sym,lls_sym,bss2_sym,climsym_gain
INDEX,1,0.01,26005,0.04100931018926579,0.03630505485945634,0.04735829914324896,0.12080984237245962,0.0048814776434501495
INDEX,1,0.02,26005,0.02392920079027472,0.022868479512946904,0.059158195311787676,0.15842561202347505,0.0010855460652819948
INDEX,1,0.03,26005,0.011146195562862449,0.011131277726142863,0.05622645335986076,0.17739180206634286,1.5085760509570001e-05
INDEX,1,0.05,26005,0.002188130400956334,0.002182457680351413,0.0338742399903772,0.141673309417513,5.6851281564629375e-06
INDEX,5,0.01,25990,0.02132656160248525,0.017335594424030987,0.019514282766819102,0.05272671420824726,0.0040613735022945185
INDEX,5,0.02,25990,0.03814385781092622,0.031556801277567104,0.03709042021694797,0.09896930824165795,0.006801696312234706
INDEX,5,0.03,25990,0.03448282199851105,0.030255003181028695,0.051722472748755854,0.12706633696521819,0.004359722227338936
INDEX,5,0.05,25990,0.011892523921924192,0.010929140756276379,0.045950089949519324,0.1086524748113955,0.0009740284597854476
INDEX,10,0.01,25965,0.013971389468605211,0.011749017709159704,0.015239885223545913,0.03820930640556908,0.002248792866660132
INDEX,10,0.02,25965,0.0325054083784424,0.026856535659079417,0.024872563240115775,0.07146135952360588,0.005804768696862972
INDEX,10,0.03,25965,0.038371613190987475,0.03110215056219534,0.032004534031993104,0.09471367190250346,0.007502816352632169
INDEX,10,0.05,25965,0.02402012973881862,0.01977171734542027,0.05057071309905725,0.11192372444137944,0.004334105094267571
INDEX,21,0.01,25910,-0.00046948346653374884,-0.0008155214512446385,0.003394041721880403,0.0015333818121018306,0.0003457560132652526
INDEX,21,0.02,25910,0.012477557495016778,0.010834127513480452,0.012292978240677321,0.031339819753548714,0.0016614301273911725
INDEX,21,0.03,25910,0.03182274388919859,0.02641141732632768,0.020001707057873852,0.06678185009303461,0.005558124508825202
INDEX,21,0.05,25910,0.04800120113617301,0.03842336732335272,0.042651248116462925,0.11446204239375868,0.009960551751511892
SINGLES,1,0.01,996785,0.03955413957210829,0.019717201060754252,0.0221667686600463,0.06367597290989468,0.02023593450055372
SINGLES,1,0.02,996785,0.05084918019765672,0.024065971626687,0.03679075612949778,0.09466029395830777,0.027443667084354084
SINGLES,1,0.03,996785,0.03896979975266923,0.018454027538088558,0.041500700367175236,0.10152646217011962,0.020901488865695317
SINGLES,1,0.05,996785,0.016394484025092804,0.007221252931965849,0.03562547754802592,0.08681175111735495,0.00923995514631859
SINGLES,5,0.01,996092,0.012366731473230641,0.005092118497593501,0.007972812228446813,0.022165153540628757,0.007311845760686664
SINGLES,5,0.02,996092,0.03259582299475605,0.013008130309643318,0.015025365713806416,0.04251177241868975,0.019845850089178385
SINGLES,5,0.03,996092,0.04673814584833025,0.01798118732300702,0.021291509578263867,0.05889243549716028,0.029283510818831848
SINGLES,5,0.05,996092,0.04881397187034853,0.01836435457048058,0.02979213276054793,0.07491932798710055,0.03101926610106398
SINGLES,10,0.01,994937,0.006286890380245436,0.002811517193644142,0.005255244859117658,0.013283485406834106,0.0034851718070597615
SINGLES,10,0.02,994937,0.018751065004901202,0.006366994056505426,0.008480214364872118,0.021704513289249716,0.012463425504506742
SINGLES,10,0.03,994937,0.0327010140648063,0.010782184038338416,0.012091480785534015,0.03346155873787138,0.0221577388445634
SINGLES,10,0.05,994937,0.04857042758972241,0.01590627834575309,0.019700533557708177,0.05228749871508931,0.033192112219821324
SINGLES,21,0.01,992396,0.002320694159092085,0.002299959904974669,0.003884420312418313,0.007170255968060868,2.078205200373162e-05
SINGLES,21,0.02,992396,0.007394871230875344,0.0029359636195821492,0.00512344649488683,0.007911336409126335,0.004472037350258917
SINGLES,21,0.03,992396,0.01530068836832199,0.004326437272470285,0.006281725504715507,0.01209108242888024,0.01102193681409902
SINGLES,21,0.05,992396,0.034161548690995525,0.009557947134484657,0.010599445822245368,0.02675973303714474,0.02484103081581457
