# 2026-08-25 隔夜持仓候选（基于当天 1 次扫描的日内演化）
# 扫描时刻（本地）：15:33:12   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 当天只找到 1 次扫描：没有日内确认，持续性分全部按最低给。收盘前再跑一次 scan_stocks.py。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 3） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# （无）

# —— B. 其余在场买入信号（未进前 3 / 确认不足） ——
# 收盘前仍有买入信号，但没进首选名额，或持续性、等级、收盘走强其中一项不够。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NYSE:SMR | 63 | 1/1 | 正式买入 + 第一观察点 + 预警买入 | 维持 | +0.00% | +0 | 1.7x | 55 | 13.3% | 08 核能
NASDAQ:SNPS | 63 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 1.9x | 51 | 5.9% | 04 半导体设备 / EDA
NASDAQ:CDNS | 61 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 1.4x | 49 | 7.0% | 04 半导体设备 / EDA
NYSE:LEU | 61 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 1.2x | 57 | 11.6% | 08 核能
NYSE:OKLO | 61 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 1.5x | 50 | 13.8% | 08 核能
NASDAQ:AMD | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.8x | 48 | 6.8% | 03 GPU / AI芯片
NASDAQ:APLD | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.8x | 47 | 11.0% | 21 数据中心
NASDAQ:CLSK | 58 | 1/1 | 回调买入点 + 正式买入 + 第一观察点 + 预警买入 | 维持 | +0.00% | +0 | 0.9x | 49 | 10.2% | 44 比特币概念
NYSE:DELL | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.7x | 52 | 8.0% | 06 服务器 / 数据中心硬件
NASDAQ:DTCR | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.8x | 51 | 3.4% | 21 数据中心
NASDAQ:NNE | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.7x | 52 | 9.2% | 08 核能
NASDAQ:SMCI | 58 | 1/1 | 回调买入点 + 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.9x | 62 | 13.2% | 06 服务器 / 数据中心硬件
NASDAQ:WULF | 58 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.9x | 44 | 11.1% | 44 比特币概念
NYSE:BE | 55 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.9x | 49 | 17.5% | 09 储能
NYSE:ANET | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.6x | 53 | 5.6% | 05 AI网络 / 光模块
NASDAQ:HUT | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.7x | 45 | 10.8% | 44 比特币概念
NYSE:IBM | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.5x | 49 | 2.1% | 06 服务器 / 数据中心硬件
NASDAQ:IREN | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.6x | 51 | 7.1% | 44 比特币概念
NASDAQ:LITE | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.6x | 54 | 13.1% | 05 AI网络 / 光模块
MAGS | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.4x | 53 | 1.5% | 02 超巨
NASDAQ:META | 53 | 1/1 | 正式买入 | 维持 | +0.00% | +0 | 0.6x | 46 | 6.2% | 02 超巨
NYSE:ORCL | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.5x | 51 | 3.6% | 21 数据中心
NYSE:TSM | 53 | 1/1 | 正式买入 + 预警买入 | 维持 | +0.00% | +0 | 0.6x | 50 | 3.6% | 19 COWOS
NASDAQ:NVTS | 52 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 1.3x | 44 | - | 07 数据中心电力
NASDAQ:CEG | 49 | 1/1 | 第一观察点 + 预警买入 | 维持 | +0.00% | +0 | 0.8x | 57 | 3.9% | 08 核能
NASDAQ:CIFR | 49 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.8x | 43 | - | 44 比特币概念
NASDAQ:SIRI | 49 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.7x | 45 | - | 17 商业航天
NASDAQ:TSLA | 49 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.9x | 52 | 13.2% | 02 超巨
NYSE:VST | 49 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.8x | 42 | - | 07 数据中心电力
NASDAQ:MRVL | 46 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.8x | 56 | 19.6% | 03 GPU / AI芯片
NASDAQ:BTBT | 45 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 1.3x | 54 | 43.4% | 44 比特币概念
NYSE:CLS | 44 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.6x | 45 | - | 06 服务器 / 数据中心硬件
NASDAQ:LRCX | 44 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.5x | 49 | - | 04 半导体设备 / EDA
NASDAQ:RUN | 44 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.7x | 40 | - | 10 太阳能
NASDAQ:SOFI | 44 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.7x | 58 | 8.2% | 16 金融股
NYSE:HIMS | 37 | 1/1 | 预警买入 | 维持 | +0.00% | +0 | 0.7x | 52 | 25.8% | 22 MEME股

# —— D. 日内消失（早盘有买入信号，收盘前那次已无）——
# 单看收盘那一次扫描是看不见这批的。盘中信号没撑到收盘 → 不建议隔夜。
# （无）

# —— E. 日内降级（等级掉了，仍在场）——
# （无）
