# 2026-09-04 隔夜持仓候选（当天 2 次扫描的日内演化）
# 扫描时刻（本地）：10:15:30 → 14:22:55   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 最后一次扫描时日线仍未收盘（约走完 90% 时段）：收盘走强只测到该时刻，量比已按时段外推。越贴近 16:00 ET 再跑，定版越准。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 12） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NYSE:OKLO | 95 | 2/2 | 正式买入 + 预警买入 | 升级(预警/二进宫→正式买入) | +1.48% | +6 | 0.7x | 47 | 9.0% | 08 核能
NASDAQ:POET | 95 | 2/2 | 正式买入 + 预警买入 | 升级(预警/二进宫→正式买入) | +3.51% | +6 | 1.0x | 47 | 11.7% | 05 AI网络 / 光模块
NASDAQ:TSEM | 89 | 2/2 | 正式买入 + 预警买入 | 维持 | +1.18% | +0 | 1.0x | 49 | 13.9% | 05 AI网络 / 光模块
NYSE:NRG | 86 | 2/2 | 正式买入 + 第一观察点 | 维持 | +1.74% | +0 | 1.0x | 50 | 10.1% | 07 数据中心电力
NYSE:GLW | 82 | 2/2 | 正式买入 + 预警买入 | 维持 | +0.28% | +0 | 0.7x | 48 | 10.1% | 05 AI网络 / 光模块
NASDAQ:CRWV | 81 | 2/2 | 正式买入 | 维持 | +2.42% | +0 | 0.6x | 52 | 12.7% | 21 数据中心
NASDAQ:DTCR | 81 | 2/2 | 正式买入 | 维持 | -0.07% | +5 | 0.9x | 49 | 4.0% | 21 数据中心
NYSE:TSM | 81 | 2/2 | 正式买入 | 维持 | +0.03% | +0 | 1.1x | 56 | 5.2% | 19 COWOS
NASDAQ:NVTS | 80 | 2/2 | 预警买入 | 维持 | +1.65% | +3 | 0.8x | 44 | - | 07 数据中心电力
NASDAQ:AMD | 78 | 2/2 | 正式买入 + 预警买入 | 维持 | +0.10% | +0 | 0.9x | 48 | 8.3% | 03 GPU / AI芯片
NASDAQ:APLD | 78 | 2/2 | 正式买入 | 维持 | +0.02% | +0 | 0.7x | 45 | 11.1% | 21 数据中心
