# 2026-06-24 当日买入触发样本
# 格式：TradingView代码 | 触发日期 | 观海买点分 | 触发规则 | 板块 | D0_close | 移动止损(5×ATR22) | 止损状态
NASDAQ:SNPS | 2026-06-24 | 100 | 正式买入 | 04 半导体设备 / EDA | 463.93 | 379.97 | 持有
NASDAQ:SOFI | 2026-06-24 | 96 | 预警买入 | 16 金融股 | 17.31 | 13.65 | 持有
NYSE:AON | 2026-06-24 | 95 | 正式买入 + 预警买入 | 16 金融股 | 325.48 | 287.61 | 持有
NASDAQ:RUN | 2026-06-24 | 95 | 正式买入 + 预警买入 | 10 太阳能 | 14.42 | 11.46 | 持有
NYSE:CPNG | 2026-06-24 | 93 | 预警买入 | 23 杂项 | 17.76 | 13.69 | 持有
NYSE:TSM | 2026-06-24 | 92 | 正式买入 | 19 COWOS | 440.83 | 356.24 | 持有
AMEX:MOO | 2026-06-24 | 91 | 预警买入 | 18 农业/化肥 | 77.16 | 72.71 | 持有
NASDAQ:AMZN | 2026-06-24 | 87 | 预警买入 | 02 超巨 | 234.27 | 204.48 | 持有
NYSE:COHR | 2026-06-24 | 87 | 正式买入 | 05 AI网络 / 光模块 | 392.5 | 230.83 | 持有
NASDAQ:LIN | 2026-06-24 | 87 | 正式买入 + 预警买入 | 13 材料 / 电网 | 515.73 | 471.34 | 持有
PAVE | 2026-06-24 | 87 | 正式买入 | 13 材料 / 电网 | 58.41 | 53.18 | 持有
NYSE:GEV | 2026-06-24 | 86 | 预警买入 | 07 数据中心电力 | 1057.65 | 828.11 | 持有
NASDAQ:INTC | 2026-06-24 | 81 | 预警买入 | 03 GPU / AI芯片 | 131.65 | 91.24 | 持有
NASDAQ:TER | 2026-06-24 | 81 | 预警买入 | 19 COWOS | 427.2 | 298.21 | 持有
NYSE:AES | 2026-06-24 | 77 | 第一买入点 | 07 数据中心电力 | 14.68 | 14.30 | 持有
NASDAQ:ENTG | 2026-06-24 | 77 | 预警买入 | 19 COWOS | 171.46 | 121.31 | 持有
NASDAQ:SOLS | 2026-06-24 | 77 | 预警买入 | 23 杂项 | 86.66 | 68.50 | 持有
