# 2026-07-06 当日买入触发样本
# 格式：TradingView代码 | 触发日期 | 观海买点分 | 触发规则 | 板块 | D0_close | 移动止损(5×ATR22) | 止损状态
NYSE:BWXT | 2026-07-06 | 100 | 正式买入 + 预警买入 | 08 核能 | 196.9999 | 156.21 | 持有
NYSE:LEU | 2026-07-06 | 100 | 正式买入 + 预警买入 | 08 核能 | 174.2675 | 105.39 | 持有
NASDAQ:NXT | 2026-07-06 | 99 | 正式买入 + 预警买入 | 10 太阳能 | 117.265 | 70.08 | 持有
NASDAQ:AVGO | 2026-07-06 | 96 | 正式买入 + 预警买入 | 03 GPU / AI芯片 | 382.04 | 292.07 | 持有
NYSE:ANET | 2026-07-06 | 92 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 166.0 | 124.01 | 持有
NASDAQ:CRDO | 2026-07-06 | 92 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 260.9 | 140.41 | 持有
AMEX:NLR | 2026-07-06 | 90 | 预警买入 | 08 核能 | 117.14 | 94.35 | 持有
NYSE:ETN | 2026-07-06 | 88 | 正式买入 + 预警买入 | 07 数据中心电力 | 415.265 | 332.02 | 持有
NYSE:VRT | 2026-07-06 | 88 | 正式买入 + 预警买入 | 06 服务器 / 数据中心硬件 | 324.0 | 223.09 | 持有
NYSE:BE | 2026-07-06 | 86 | 预警买入 | 09 储能 | 285.5036 | 141.88 | 持有
NYSE:CLS | 2026-07-06 | 85 | 预警买入 | 06 服务器 / 数据中心硬件 | 357.24 | 229.00 | 持有
NASDAQ:AMD | 2026-07-06 | 83 | 正式买入 + 预警买入 | 03 GPU / AI芯片 | 548.165 | 387.06 | 持有
NYSE:TSM | 2026-07-06 | 83 | 正式买入 + 预警买入 | 19 COWOS | 454.16 | 357.64 | 持有
NYSE:GEV | 2026-07-06 | 77 | 预警买入 | 07 数据中心电力 | 1173.475 | 918.50 | 持有
