# 2026-09-03 隔夜持仓候选（当天 2 次扫描的日内演化）
# 扫描时刻（本地）：08:56:08 → 14:45:54   定版基准=最后一次
# 隔夜分 = 持续性30 + 规则等级25 + 日内演化20 + 收盘走强15 + 量能确认10 − 过热扣分
# ⚠️ 启发式加权，未经回测。只是把“早盘→收盘前的演化”量化排序，不是已验证 edge。
# ⚠️ 最后一次扫描时日线仍未收盘（约走完 96% 时段）：收盘走强只测到该时刻，量比已按时段外推。越贴近 16:00 ET 再跑，定版越准。

# —— A. 隔夜首选（隔夜分 ≥ 65，取前 12） ——
# 早盘就在、收盘前仍在、且买盘没有在下午撤退的票。
# TV代码 | 隔夜分 | 出现次数 | 规则(收盘前) | 日内变化 | 日内涨跌 | 观海买点分Δ | 量比(外推) | RSI | 段涨幅 | 板块
NYSE:CCJ | 95 | 2/2 | 正式买入 + 预警买入 | 升级(预警/二进宫→正式买入) | +1.06% | +2 | 0.8x | 54 | 7.2% | 08 核能
NASDAQ:WULF | 95 | 2/2 | 正式买入 + 预警买入 | 升级(预警/二进宫→正式买入) | +3.74% | +6 | 0.7x | 47 | 13.3% | 44 比特币概念
NYSE:D | 94 | 2/2 | 正式买入 + 预警买入 | 升级(预警/二进宫→正式买入) | +0.32% | +10 | 1.1x | 45 | 3.4% | 15 公用事业
NASDAQ:BTBT | 86 | 2/2 | 正式买入 + 预警买入 | 维持 | +6.60% | +0 | 1.4x | 56 | 24.3% | 44 比特币概念
NYSE:BWXT | 86 | 2/2 | 正式买入 + 第一观察点 | 维持 | +1.11% | +0 | 0.8x | 47 | 5.1% | 08 核能
NASDAQ:CRWD | 86 | 2/2 | 正式买入 + 预警买入 | 维持 | +1.06% | +0 | 0.9x | 53 | 6.9% | 12 网络安全
NASDAQ:MARA | 86 | 2/2 | 正式买入 + 预警买入 | 维持 | +2.89% | +0 | 1.3x | 55 | 18.6% | 44 比特币概念
NYSE:ORCL | 86 | 2/2 | 正式买入 + 第一观察点 + 预警买入 | 维持 | +1.63% | +0 | 0.9x | 58 | 12.2% | 21 数据中心
NASDAQ:SOFI | 86 | 2/2 | 正式买入 + 预警买入 | 维持 | +1.95% | +0 | 0.9x | 54 | 10.6% | 16 金融股
NASDAQ:COIN | 85 | 2/2 | 正式买入 + 预警买入 | 维持 | +0.79% | +0 | 1.2x | 61 | 13.8% | 44 比特币概念
NASDAQ:CIFR | 83 | 2/2 | 正式买入 + 预警买入 | 维持 | +6.99% | +0 | 1.0x | 50 | 23.9% | 44 比特币概念
