symbol,group,sector,industry,market_cap,beta,entries,cap_bucket,beta_bucket
NBIS,21 数据中心,Communication Services,Internet Content & Information,57840545792.0,2.643342799838964,29,Large ($10–200B),Very high (≥2.0)
COIN,16 金融股,Financial Services,Financial Data & Stock Exchanges,40151420928.0,2.634656034275758,123,Large ($10–200B),Very high (≥2.0)
APLD,21 数据中心,Technology,Information Technology Services,11322188800.0,2.5768443580678073,90,Large ($10–200B),Very high (≥2.0)
IREN,21 数据中心,Financial Services,Capital Markets,19423531008.0,2.471703044209482,94,Large ($10–200B),Very high (≥2.0)
CRWV,21 数据中心,Technology,Software - Infrastructure,54769807360.0,2.3748969774359945,26,Large ($10–200B),Very high (≥2.0)
AAOI,05 AI网络 / 光模块,Technology,Communication Equipment,14202970112.0,2.2549903674171206,136,Large ($10–200B),Very high (≥2.0)
BE,09 储能,Industrials,Electrical Equipment & Parts,74982244352.0,2.1826085957107018,143,Large ($10–200B),Very high (≥2.0)
HOOD,16 金融股,Financial Services,Capital Markets,74264657920.0,2.1450818710148485,103,Large ($10–200B),Very high (≥2.0)
SOFI,16 金融股,Financial Services,Credit Services,20562343936.0,2.0872431976731893,134,Large ($10–200B),Very high (≥2.0)
CRDO,05 AI网络 / 光模块,Technology,Semiconductors,38160846848.0,2.082401842280737,98,Large ($10–200B),Very high (≥2.0)
ENTG,19 COWOS,Technology,Semiconductor Equipment & Materials,19099942912.0,2.018508186042116,156,Large ($10–200B),Very high (≥2.0)
RKLB,17 商业航天,Industrials,Aerospace & Defense,68780048384.0,2.0105237542571044,138,Large ($10–200B),Very high (≥2.0)
ONTO,19 COWOS,Technology,Semiconductor Equipment & Materials,12597061632.0,1.9630043054100959,150,Large ($10–200B),High (1.2–2.0)
COHR,05 AI网络 / 光模块,Technology,Scientific & Technical Instruments,73754066944.0,1.958477734412166,129,Large ($10–200B),High (1.2–2.0)
SMCI,06 服务器 / 数据中心硬件,Technology,Computer Hardware,25043064832.0,1.9106104115370381,144,Large ($10–200B),High (1.2–2.0)
ASTS,17 商业航天,Technology,Communication Equipment,36328460288.0,1.896461439358434,131,Large ($10–200B),High (1.2–2.0)
VRT,06 服务器 / 数据中心硬件,Industrials,Electrical Equipment & Parts,115428540416.0,1.891376778688039,123,Large ($10–200B),High (1.2–2.0)
AMKR,19 COWOS,Technology,Semiconductor Equipment & Materials,16099318784.0,1.87645201575187,148,Large ($10–200B),High (1.2–2.0)
MDB,11 AI软件 / SAAS,Technology,Software - Infrastructure,28210694144.0,1.8738980791220399,130,Large ($10–200B),High (1.2–2.0)
TER,19 COWOS,Technology,Semiconductor Equipment & Materials,56031133696.0,1.8535522178219879,146,Large ($10–200B),High (1.2–2.0)
PL,17 商业航天,Industrials,Aerospace & Defense,11482988544.0,1.7702260667330458,127,Large ($10–200B),High (1.2–2.0)
CLS,06 服务器 / 数据中心硬件,Technology,Electronic Components,42736652288.0,1.729197713422336,141,Large ($10–200B),High (1.2–2.0)
SNOW,11 AI软件 / SAAS,Technology,Software - Application,82580914176.0,1.7212417718618447,128,Large ($10–200B),High (1.2–2.0)
LITE,05 AI网络 / 光模块,Technology,Communication Equipment,67192745984.0,1.6439741212359587,139,Large ($10–200B),High (1.2–2.0)
DDOG,11 AI软件 / SAAS,Technology,Software - Application,83333840896.0,1.629224826238779,130,Large ($10–200B),High (1.2–2.0)
ZS,12 网络安全,Technology,Software - Infrastructure,21148370944.0,1.571182549169704,126,Large ($10–200B),High (1.2–2.0)
TEAM,11 AI软件 / SAAS,Technology,Software - Application,25242288128.0,1.560323024774348,122,Large ($10–200B),High (1.2–2.0)
WDC,03.5 存储,Technology,Computer Hardware,176380739584.0,1.549885161548033,135,Large ($10–200B),High (1.2–2.0)
FCX,13 材料 / 电网,Basic Materials,Copper,91098161152.0,1.5175112193570048,146,Large ($10–200B),High (1.2–2.0)
CRWD,12 网络安全,Technology,Software - Infrastructure,170818093056.0,1.5025274784419504,135,Large ($10–200B),High (1.2–2.0)
ANET,05 AI网络 / 光模块,Technology,Computer Hardware,194252062720.0,1.4919567852485014,134,Large ($10–200B),High (1.2–2.0)
GSAT,17 商业航天,Communication Services,Telecom Services,10495009792.0,1.4825622012205055,149,Large ($10–200B),High (1.2–2.0)
OKTA,12 网络安全,Technology,Software - Infrastructure,20817131520.0,1.4395721881755688,148,Large ($10–200B),High (1.2–2.0)
TLN,07 数据中心电力,Utilities,Utilities - Independent Power Producers,16666797056.0,1.4393910736080413,66,Large ($10–200B),High (1.2–2.0)
SNPS,04 半导体设备 / EDA,Technology,Software - Infrastructure,89009168384.0,1.4247313847734633,143,Large ($10–200B),High (1.2–2.0)
NOW,11 AI软件 / SAAS,Technology,Software - Application,115970588672.0,1.423211389083681,152,Large ($10–200B),High (1.2–2.0)
CDNS,04 半导体设备 / EDA,Technology,Software - Application,103759224832.0,1.402145578124877,141,Large ($10–200B),High (1.2–2.0)
CPNG,23 杂项,Consumer Cyclical,Internet Retail,27195222016.0,1.333442149804852,124,Large ($10–200B),High (1.2–2.0)
FTNT,12 网络安全,Technology,Software - Infrastructure,105999564800.0,1.3045893494122738,141,Large ($10–200B),High (1.2–2.0)
NXT,10 太阳能,Technology,Solar,20022757376.0,1.2937965640174638,87,Large ($10–200B),High (1.2–2.0)
CCJ,08 核能,Energy,Uranium,45051535360.0,1.2904549697270726,136,Large ($10–200B),High (1.2–2.0)
CRM,11 AI软件 / SAAS,Technology,Software - Application,152055545856.0,1.246511133253382,131,Large ($10–200B),High (1.2–2.0)
HPE,06 服务器 / 数据中心硬件,Technology,Communication Equipment,65150812160.0,1.2354542996037177,133,Large ($10–200B),High (1.2–2.0)
ADBE,11 AI软件 / SAAS,Technology,Software - Application,101632049152.0,1.235212307974504,127,Large ($10–200B),High (1.2–2.0)
CEG,08 核能,Utilities,Utilities - Independent Power Producers,91000307712.0,1.2083967128011368,105,Large ($10–200B),High (1.2–2.0)
TSEM,05 AI网络 / 光模块,Technology,Semiconductors,28019535872.0,1.195189139883972,126,Large ($10–200B),Market (0.8–1.2)
VST,07 数据中心电力,Utilities,Utilities - Independent Power Producers,50159259648.0,1.1788234735185634,144,Large ($10–200B),Market (0.8–1.2)
GLW,05 AI网络 / 光模块,Technology,Electronic Components,152832065536.0,1.1606528501595024,135,Large ($10–200B),Market (0.8–1.2)
OKLO,08 核能,Utilities,Utilities - Independent Power Producers,10107137024.0,1.1553570315288086,132,Large ($10–200B),Market (0.8–1.2)
ETN,07 数据中心电力,Industrials,Specialty Industrial Machinery,153743507456.0,1.139465562148574,132,Large ($10–200B),Market (0.8–1.2)
NUE,13 材料 / 电网,Basic Materials,Steel,57935020032.0,1.1370716656403073,121,Large ($10–200B),Market (0.8–1.2)
DD,19 COWOS,Basic Materials,Specialty Chemicals,18976976896.0,1.097455562894251,139,Large ($10–200B),Market (0.8–1.2)
NRG,07 数据中心电力,Utilities,Utilities - Independent Power Producers,27259451392.0,1.095044184886597,143,Large ($10–200B),Market (0.8–1.2)
FSLR,10 太阳能,Technology,Solar,29980563456.0,1.084817054509872,138,Large ($10–200B),Market (0.8–1.2)
HAL,14 能源,Energy,Oil & Gas Equipment & Services,32730884096.0,1.0215835625505616,135,Large ($10–200B),Market (0.8–1.2)
AES,07 数据中心电力,Utilities,Utilities - Diversified,10462023680.0,0.977008247198449,122,Large ($10–200B),Market (0.8–1.2)
SLB,14 能源,Energy,Oil & Gas Equipment & Services,82033811456.0,0.9252516969344711,127,Large ($10–200B),Market (0.8–1.2)
OXY,14 能源,Energy,Oil & Gas E&P,56624553984.0,0.8532506761517982,135,Large ($10–200B),Market (0.8–1.2)
BWXT,08 核能,Industrials,Aerospace & Defense,17035743232.0,0.8526297436687773,130,Large ($10–200B),Market (0.8–1.2)
RIO,13 材料 / 电网,Basic Materials,Other Industrial Metals & Mining,163747332096.0,0.7850970453427899,136,Large ($10–200B),Low (<0.8)
COP,14 能源,Energy,Oil & Gas E&P,142710964224.0,0.7394606728789853,140,Large ($10–200B),Low (<0.8)
EOG,14 能源,Energy,Oil & Gas E&P,73385558016.0,0.7344841071047451,138,Large ($10–200B),Low (<0.8)
APD,13 材料 / 电网,Basic Materials,Specialty Chemicals,62873894912.0,0.7198870848728499,137,Large ($10–200B),Low (<0.8)
NTR,18 农业/化肥,Basic Materials,Agricultural Inputs,32257581056.0,0.624475019504971,159,Large ($10–200B),Low (<0.8)
AON,16 金融股,Financial Services,Insurance Brokers,70166429696.0,0.5792344233405923,143,Large ($10–200B),Low (<0.8)
NEE,15 公用事业,Utilities,Utilities - Regulated Electric,179028361216.0,0.5645167218830979,130,Large ($10–200B),Low (<0.8)
CF,18 农业/化肥,Basic Materials,Agricultural Inputs,17435385856.0,0.4722415994134534,154,Large ($10–200B),Low (<0.8)
D,15 公用事业,Utilities,Utilities - Regulated Electric,58839388160.0,0.3366688939759601,151,Large ($10–200B),Low (<0.8)
SO,15 公用事业,Utilities,Utilities - Regulated Electric,104388083712.0,0.2779555913603624,160,Large ($10–200B),Low (<0.8)
DUK,15 公用事业,Utilities,Utilities - Regulated Electric,96841441280.0,0.23509238989678924,145,Large ($10–200B),Low (<0.8)
