[2026-08-26 10:01:59 EDT] START scheduled scan (weekday 3, ET 1001, slot=open)
[2026-08-26 10:04:32 EDT]     scan ok
[2026-08-26 10:04:32 EDT] DONE slot=open for ET date 2026-08-26
[2026-08-26 10:09:32 EDT] skip: not near a target time (ET 1009)
[2026-08-26 10:14:32 EDT] skip: not near a target time (ET 1014)
[2026-08-26 10:19:32 EDT] skip: not near a target time (ET 1019)
[2026-08-26 10:24:32 EDT] skip: not near a target time (ET 1024)
[2026-08-26 10:29:32 EDT] skip: not near a target time (ET 1029)
[2026-08-26 10:34:32 EDT] skip: not near a target time (ET 1034)
[2026-08-26 10:39:32 EDT] skip: not near a target time (ET 1039)
[2026-08-26 10:44:32 EDT] skip: not near a target time (ET 1044)
[2026-08-26 10:49:32 EDT] skip: not near a target time (ET 1049)
[2026-08-26 10:54:33 EDT] skip: not near a target time (ET 1054)
[2026-08-26 10:59:33 EDT] skip: not near a target time (ET 1059)
[2026-08-26 11:04:33 EDT] skip: not near a target time (ET 1104)
[2026-08-26 11:09:33 EDT] skip: not near a target time (ET 1109)
[2026-08-26 11:14:33 EDT] skip: not near a target time (ET 1114)
[2026-08-26 11:19:33 EDT] skip: not near a target time (ET 1119)
[2026-08-26 11:24:33 EDT] skip: not near a target time (ET 1124)
[2026-08-26 11:29:33 EDT] skip: not near a target time (ET 1129)
[2026-08-26 11:34:33 EDT] skip: not near a target time (ET 1134)
[2026-08-26 11:39:33 EDT] skip: not near a target time (ET 1139)
[2026-08-26 11:44:33 EDT] skip: not near a target time (ET 1144)
[2026-08-26 11:49:33 EDT] skip: not near a target time (ET 1149)
[2026-08-26 11:54:33 EDT] skip: not near a target time (ET 1154)
[2026-08-26 11:59:34 EDT] skip: not near a target time (ET 1159)
[2026-08-26 12:04:34 EDT] skip: not near a target time (ET 1204)
[2026-08-26 12:09:34 EDT] skip: not near a target time (ET 1209)
[2026-08-26 12:14:34 EDT] skip: not near a target time (ET 1214)
[2026-08-26 12:19:34 EDT] skip: not near a target time (ET 1219)
[2026-08-26 12:24:34 EDT] skip: not near a target time (ET 1224)
[2026-08-26 12:29:34 EDT] skip: not near a target time (ET 1229)
[2026-08-26 12:34:34 EDT] skip: not near a target time (ET 1234)
[2026-08-26 12:39:34 EDT] skip: not near a target time (ET 1239)
[2026-08-26 12:44:34 EDT] skip: not near a target time (ET 1244)
[2026-08-26 12:49:34 EDT] skip: not near a target time (ET 1249)
[2026-08-26 12:54:34 EDT] skip: not near a target time (ET 1254)
[2026-08-26 12:59:35 EDT] skip: not near a target time (ET 1259)
[2026-08-26 13:04:35 EDT] skip: not near a target time (ET 1304)
[2026-08-26 13:09:35 EDT] skip: not near a target time (ET 1309)
[2026-08-27 09:17:13 EDT] skip: not near a target time (ET 917)
[2026-08-27 09:23:01 EDT] skip: not near a target time (ET 923)
[2026-08-27 09:45:33 EDT] skip: not near a target time (ET 945)
[2026-08-27 09:54:24 EDT] START scheduled scan (weekday 4, ET 954, slot=open)
[2026-08-27 09:57:10 EDT]     scan ok
[2026-08-27 09:57:10 EDT] DONE slot=open for ET date 2026-08-27
[2026-08-27 10:02:10 EDT] skip: already ran slot=open for ET date 2026-08-27
[2026-08-27 10:22:47 EDT] skip: not near a target time (ET 1022)
[2026-08-27 10:59:15 EDT] skip: not near a target time (ET 1059)
[2026-08-27 11:04:15 EDT] skip: not near a target time (ET 1104)
[2026-08-27 11:09:15 EDT] skip: not near a target time (ET 1109)
[2026-08-27 11:14:15 EDT] skip: not near a target time (ET 1114)
[2026-08-27 11:19:15 EDT] skip: not near a target time (ET 1119)
[2026-08-27 11:24:15 EDT] skip: not near a target time (ET 1124)
[2026-08-27 11:29:15 EDT] skip: not near a target time (ET 1129)
[2026-08-27 11:34:15 EDT] skip: not near a target time (ET 1134)
[2026-08-27 11:39:16 EDT] skip: not near a target time (ET 1139)
[2026-08-27 11:44:16 EDT] skip: not near a target time (ET 1144)
[2026-08-27 11:49:16 EDT] skip: not near a target time (ET 1149)
[2026-08-27 11:54:16 EDT] skip: not near a target time (ET 1154)
[2026-08-27 11:59:16 EDT] skip: not near a target time (ET 1159)
[2026-08-27 12:04:16 EDT] skip: not near a target time (ET 1204)
[2026-08-27 12:09:16 EDT] skip: not near a target time (ET 1209)
[2026-08-27 12:14:16 EDT] skip: not near a target time (ET 1214)
[2026-08-27 12:19:16 EDT] skip: not near a target time (ET 1219)
[2026-08-27 12:24:16 EDT] skip: not near a target time (ET 1224)
[2026-08-27 12:29:58 EDT] skip: not near a target time (ET 1229)
[2026-08-27 12:35:33 EDT] skip: not near a target time (ET 1235)
[2026-08-27 12:40:33 EDT] skip: not near a target time (ET 1240)
[2026-08-27 12:45:33 EDT] skip: not near a target time (ET 1245)
[2026-08-27 12:50:33 EDT] skip: not near a target time (ET 1250)
[2026-08-27 12:55:34 EDT] skip: not near a target time (ET 1255)
[2026-08-27 13:00:34 EDT] skip: not near a target time (ET 1300)
[2026-08-27 13:05:34 EDT] skip: not near a target time (ET 1305)
[2026-08-27 13:10:34 EDT] skip: not near a target time (ET 1310)
[2026-08-27 13:15:34 EDT] skip: not near a target time (ET 1315)
[2026-08-27 13:20:34 EDT] skip: not near a target time (ET 1320)
[2026-08-27 13:25:34 EDT] skip: not near a target time (ET 1325)
[2026-08-27 13:30:34 EDT] skip: not near a target time (ET 1330)
[2026-08-27 13:35:54 EDT] skip: not near a target time (ET 1335)
[2026-08-27 13:40:54 EDT] skip: not near a target time (ET 1340)
[2026-08-27 13:45:54 EDT] skip: not near a target time (ET 1345)
[2026-08-27 13:50:54 EDT] skip: not near a target time (ET 1350)
[2026-08-27 13:55:54 EDT] skip: not near a target time (ET 1355)
[2026-08-27 14:00:54 EDT] skip: not near a target time (ET 1400)
[2026-08-27 14:05:54 EDT] skip: not near a target time (ET 1405)
[2026-08-27 14:10:54 EDT] skip: not near a target time (ET 1410)
[2026-08-27 14:15:55 EDT] skip: not near a target time (ET 1415)
[2026-08-27 14:20:55 EDT] skip: not near a target time (ET 1420)
[2026-08-27 14:25:55 EDT] skip: not near a target time (ET 1425)
[2026-08-27 14:30:55 EDT] skip: not near a target time (ET 1430)
[2026-08-27 14:35:55 EDT] skip: not near a target time (ET 1435)
[2026-08-27 14:40:55 EDT] skip: not near a target time (ET 1440)
[2026-08-27 14:45:55 EDT] skip: not near a target time (ET 1445)
[2026-08-27 14:50:55 EDT] skip: not near a target time (ET 1450)
[2026-08-27 14:56:01 EDT] skip: not near a target time (ET 1456)
[2026-08-27 15:01:05 EDT] skip: not near a target time (ET 1501)
[2026-08-27 15:06:05 EDT] skip: not near a target time (ET 1506)
[2026-08-27 15:11:05 EDT] skip: not near a target time (ET 1511)
[2026-08-27 15:16:05 EDT] skip: not near a target time (ET 1516)
[2026-08-27 15:21:06 EDT] skip: not near a target time (ET 1521)
[2026-08-27 15:26:06 EDT] skip: not near a target time (ET 1526)
