date,symbol,side,state,sector,signal_type,score,d0_close,fwd_d1,fwd_d3,fwd_d5,fwd_d10,fwd_d14,fwd_last,days,rank120,RSI,L2_trend,L2_pump,H4_RSI,H4_FJ
2026-04-24,HIMS,BUY,,99 未分组,C_ok,,30.56,-0.038285,-0.138416,-0.103076,-0.074935,-0.206806,-0.214332,19,,,,,,
2026-04-24,LRCX,BUY,,04 半导体设备 / EDA,C_ok,,267.78,-0.031033,-0.071066,-0.041303,0.098103,0.117148,0.128688,19,,,,,,
2026-04-24,NOW,BUY,,98 AI软件 / SAAS,C_ok,,90.17,0.003105,-0.014195,0.010979,0.011201,0.00366,0.105578,19,,,,,,
2026-04-24,PATH,BUY,,99 未分组,C_ok,,10.37,0.008679,0.000964,0.02893,0.040501,-0.067502,0.019286,19,,,,,,
2026-04-24,TSLA,BUY,,98 超巨,C_ok,,376.3,0.006298,-0.009301,0.038586,0.138321,0.178049,0.110417,19,,,,,,
2026-04-24,VRT,BUY,,06 服务器 / 数据中心硬件,C_ok,,323.46,-0.003184,-0.053422,0.014994,0.051042,0.163142,-0.000185,19,,,,,,
2026-04-24,CSX,SELL,,99 未分组,SELL_high_weakening,,45.41,0.001101,-0.016076,-0.007047,-0.012772,0.011231,0.010791,19,,,,,,
2026-04-24,GEV,SELL,,07 数据中心电力,SELL_high_weakening,,1149.1899,-0.0252,-0.074905,-0.075044,-0.094884,-0.051045,-0.091691,19,,,,,,
2026-04-24,NVTS,SELL,,99 未分组,SELL_weak_trend_followthrough,,17.28,0.059028,-0.104167,0.009838,0.053241,0.291667,0.41088,19,,,,,,
2026-04-24,UNP,SELL,,99 未分组,SELL_high_weakening,,268.7,0.000782,-0.014589,-0.008857,-0.015073,0.002382,-0.012133,19,,,,,,
2026-04-27,NVO,BUY,,99 未分组,C_ok + V2_4h_first_green,,41.2,-0.000728,0.024757,0.077427,0.126214,0.085922,0.077427,18,,,,,,
2026-04-27,UEC,BUY,,08 核能,C_ok,,15.41,-0.061648,-0.033744,-0.038287,0.068786,-0.114212,-0.149903,18,,,,,,
2026-04-27,NXPI,SELL,,99 未分组,SELL_high_weakening,,236.87,-0.027357,0.239456,0.227509,0.291806,0.230633,0.2639,18,,,,,,
2026-04-28,AMT,BUY,,98 数据中心 REIT,C_ok,,178.4,-0.001177,0.017993,-0.001569,0.002354,-0.006278,0.030157,17,,,,,,
2026-04-28,EA,BUY,,99 未分组,C_ok,,202.53,0.000691,-0.002173,-0.00474,-0.011554,-0.007308,-0.003259,17,,,,,,
2026-04-28,VST,BUY,,07 数据中心电力,V2_4h_first_green,,161.12,-0.045494,-0.036246,-0.004593,-0.088443,-0.151254,-0.074727,17,,,,,,
2026-04-28,VZ,BUY,,99 未分组,C_ok,,47.24,-0.013336,0.018417,0.002117,0.014606,-0.010161,0.021804,17,,,,,,
2026-04-28,HPE,SELL,,06 服务器 / 数据中心硬件,SELL_weak_trend_followthrough,,27.95,0.012522,0.022182,0.074776,0.080859,0.18068,0.215385,17,,,,,,
2026-04-28,MU,SELL,,03 GPU / AI芯片,SELL_high_weakening,,504.29,0.028099,0.075195,0.269508,0.520117,0.351484,0.511234,17,,,,,,
2026-04-29,ABBV,BUY,,99 未分组,C_ok,,203.89,0.036441,0.020943,0.005591,0.02261,0.048408,0.052038,16,,,,,,
2026-04-29,ABNB,BUY,,99 未分组,C_ok,,140.28,0.00057,-0.010123,-0.002851,-0.05211,-0.065013,-0.042985,16,,,,,,
2026-04-29,BE,BUY,,09 储能,C_ok,,287.97,-0.016009,0.002327,-0.008681,0.006216,-0.092475,0.069139,16,,,,,,
2026-04-29,COP,BUY,,14 能源,C_ok,,128.25,-0.019259,-0.026043,-0.072904,-0.0846,-0.024483,-0.060039,16,,,,,,
2026-04-29,KLAC,BUY,,04 半导体设备 / EDA,C_ok,,1816.21,-0.036262,-0.056651,4.4e-05,0.018445,-0.041642,0.014299,16,,,,,,
2026-04-29,LITE,BUY,,05 AI网络 / 光模块,C_ok,,858.32,0.051263,0.137315,0.100149,0.20045,0.037014,0.123707,16,,,,,,
2026-04-29,PYPL,BUY,,99 未分组,C_ok,,50.94,-0.015705,-0.010797,-0.091676,-0.112093,-0.139576,-0.130349,16,,,,,,
2026-04-29,TMUS,BUY,,99 未分组,C_ok,,198.17,-0.013473,-0.018923,-0.025281,-0.039814,-0.023969,-0.036686,16,,,,,,
2026-04-29,TXN,BUY,,99 未分组,C_ok,,269.22,0.044053,0.043347,0.075106,0.13788,0.122911,0.10835,16,,,,,,
