# 2026-07-06 当日买入触发样本
# 格式：TradingView代码 | 触发日期 | 观海买点分 | 触发规则 | 板块 | D0_close | 移动止损(5×ATR22) | 止损状态
NYSE:BWXT | 2026-07-06 | 100 | 正式买入 + 预警买入 | 08 核能 | 196.89 | 156.79 | 持有
NYSE:LEU | 2026-07-06 | 100 | 正式买入 + 第一观察点 + 预警买入 | 08 核能 | 174.23 | 108.75 | 持有
NASDAQ:RUN | 2026-07-06 | 100 | 预警买入 | 10 太阳能 | 12.97 | 8.07 | 持有
NYSE:NRG | 2026-07-06 | 99 | 正式买入 + 预警买入 | 07 数据中心电力 | 141.01 | 112.70 | 持有
NASDAQ:NXT | 2026-07-06 | 99 | 正式买入 + 预警买入 | 10 太阳能 | 115.03 | 72.52 | 持有
NASDAQ:AVGO | 2026-07-06 | 98 | 正式买入 + 预警买入 | 03 GPU / AI芯片 | 373.9 | 292.16 | 持有
AMEX:TAN | 2026-07-06 | 95 | 预警买入 | 10 太阳能 | 57.54 | 45.64 | 持有
NYSE:CLS | 2026-07-06 | 94 | 预警买入 | 06 服务器 / 数据中心硬件 | 350.2 | 229.00 | 持有
AMEX:NLR | 2026-07-06 | 94 | 预警买入 | 08 核能 | 116.51 | 94.93 | 持有
NYSE:BHP | 2026-07-06 | 93 | 正式买入 | 13 材料 / 电网 | 83.64 | 72.21 | 持有
NYSE:ANET | 2026-07-06 | 92 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 173.28 | 132.00 | 持有
NYSE:BE | 2026-07-06 | 92 | 正式买入 + 预警买入 | 09 储能 | 295.05 | 155.20 | 持有
NASDAQ:CRDO | 2026-07-06 | 92 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 265.55 | 153.32 | 持有
NYSE:ETN | 2026-07-06 | 92 | 正式买入 + 预警买入 | 07 数据中心电力 | 413.42 | 335.68 | 持有
NYSE:TSM | 2026-07-06 | 92 | 正式买入 + 预警买入 | 19 COWOS | 451.79 | 360.46 | 持有
NYSE:VRT | 2026-07-06 | 92 | 正式买入 + 预警买入 | 06 服务器 / 数据中心硬件 | 318.47 | 225.23 | 持有
NASDAQ:AXTI | 2026-07-06 | 91 | 预警买入 | 05 AI网络 / 光模块 | 63.52 | 5.60 | 持有
NASDAQ:FSLR | 2026-07-06 | 91 | 预警买入 | 10 太阳能 | 233.06 | 166.43 | 持有
NYSE:SLB | 2026-07-06 | 91 | 预警买入 | 14 能源 | 45.72 | 37.98 | 持有
NYSE:VST | 2026-07-06 | 89 | 预警买入 | 07 数据中心电力 | 157.22 | 122.20 | 持有
NASDAQ:TSLA | 2026-07-06 | 88 | 正式买入 + 预警买入 | 02 超巨 | 419.77 | 325.02 | 持有
NASDAQ:ASML | 2026-07-06 | 86 | 预警买入 | 04 半导体设备 / EDA | 1825.0699 | 1423.28 | 持有
NASDAQ:CDNS | 2026-07-06 | 86 | 预警买入 | 04 半导体设备 / EDA | 375.77 | 305.93 | 持有
NYSE:DELL | 2026-07-06 | 86 | 预警买入 | 06 服务器 / 数据中心硬件 | 411.8 | 291.84 | 持有
NASDAQ:AMD | 2026-07-06 | 83 | 正式买入 + 预警买入 | 03 GPU / AI芯片 | 552.05 | 403.52 | 持有
NYSE:GEV | 2026-07-06 | 77 | 预警买入 | 07 数据中心电力 | 1152.04 | 933.15 | 持有
