# 2026-07-07 当日买入触发样本
# 格式：TradingView代码 | 触发日期 | 观海买点分 | 触发规则 | 板块 | D0_close | 移动止损(5×ATR22) | 止损状态
NYSE:COP | 2026-07-07 | 100 | 正式买入 + 预警买入 | 14 能源 | 108.44 | 93.37 | 持有
NYSE:CVX | 2026-07-07 | 100 | 正式买入 + 预警买入 | 14 能源 | 174.01 | 153.58 | 持有
NYSE:OXY | 2026-07-07 | 100 | 正式买入 + 预警买入 | 14 能源 | 51.68 | 43.27 | 持有
NYSE:AES | 2026-07-07 | 96 | 预警买入 | 07 数据中心电力 | 14.62 | 14.24 | 持有
AMEX:XLE | 2026-07-07 | 96 | 正式买入 + 预警买入 | 14 能源 | 54.64 | 48.76 | 持有
NYSE:HPE | 2026-07-07 | 91 | 预警买入 | 06 服务器 / 数据中心硬件 | 43.47 | 31.14 | 持有
NASDAQ:NVDA | 2026-07-07 | 91 | 预警买入 | 02 超巨 | 196.93 | 163.26 | 持有
AMEX:XLU | 2026-07-07 | 91 | 正式买入 + 预警买入 | 07 数据中心电力 | 45.7 | 42.75 | 持有
NYSE:DD | 2026-07-07 | 89 | 预警买入 | 19 COWOS | 139.61 | 119.29 | 持有
NYSE:NEE | 2026-07-07 | 89 | 预警买入 | 15 公用事业 | 88.47 | 80.25 | 持有
NYSE:DUK | 2026-07-07 | 88 | 正式买入 + 预警买入 | 15 公用事业 | 128.22 | 118.75 | 持有
NYSE:EOG | 2026-07-07 | 88 | 正式买入 + 预警买入 | 14 能源 | 134.54 | 116.42 | 持有
NYSE:DELL | 2026-07-07 | 87 | 正式买入 | 06 服务器 / 数据中心硬件 | 417.28 | 287.65 | 持有
NYSE:HAL | 2026-07-07 | 87 | 预警买入 | 14 能源 | 33.79 | 28.37 | 持有
NYSE:NUE | 2026-07-07 | 87 | 预警买入 | 13 材料 / 电网 | 227.42 | 190.53 | 持有
NYSE:SLB | 2026-07-07 | 87 | 预警买入 | 14 能源 | 46.42 | 38.81 | 持有
AMEX:XLB | 2026-07-07 | 86 | 预警买入 | 13 材料 / 电网 | 51.51 | 47.65 | 持有
NYSE:SO | 2026-07-07 | 82 | 预警买入 | 15 公用事业 | 97.29 | 90.52 | 持有
NYSE:UNH | 2026-07-07 | 77 | 预警买入 | 20 医疗 | 428.19 | 378.28 | 持有
