# 2026-07-29 当日买入触发样本
# 格式：TV代码 | 触发日期 | 观海买点分(原始分) | 触发规则 | 板块 | 收盘 | RSI | rank120 | 4H_RSI/分金 | 段涨幅 | 量比20日 | 移动止损(5×ATR22) | 距止损% | 止损状态
NASDAQ:MDB | 2026-07-29 | 96 | 正式买入 | 11 AI软件 / SAAS | 316.6025 | 47 | 0.51 | 49/65 | 12.2% | 0.3x | 229.67 | 27.5% | 持有
NYSE:COP | 2026-07-29 | 91 | 正式买入 + 预警买入 | 14 能源 | 118.9 | 60 | 0.51 | 60/61 | 5.1% | 0.2x | 103.17 | 13.2% | 持有
NYSE:CVX | 2026-07-29 | 91 | 正式买入 + 预警买入 | 14 能源 | 193.22 | 63 | 0.61 | 63/62 | 3.6% | 0.2x | 172.79 | 10.6% | 持有
NYSE:OXY | 2026-07-29 | 91 | 正式买入 + 预警买入 | 14 能源 | 56.29 | 56 | 0.53 | 57/58 | 4.7% | 0.2x | 47.78 | 15.1% | 持有
AMEX:XLE | 2026-07-29 | 88 | 正式买入 + 预警买入 | 14 能源 | 59.205 | 62 | 0.68 | 61/61 | 3.6% | 0.4x | 53.29 | 10.0% | 持有
NYSE:D | 2026-07-29 | 87 | 正式买入 + 预警买入 | 15 公用事业 | 70.94 | 57 | 0.94 | 54/54 | 2.1% | 0.1x | 65.36 | 7.9% | 持有
NASDAQ:DDOG | 2026-07-29 | 83 | 正式买入 + 预警买入 | 11 AI软件 / SAAS | 254.815 | 54 | 0.87 | 52/62 | 9.5% | 0.2x | 198.41 | 22.1% | 持有
NYSE:EOG | 2026-07-29 | 83 | 正式买入 + 预警买入 | 14 能源 | 145.9187 | 61 | 0.89 | 62/66 | 5.1% | 0.1x | 126.65 | 13.2% | 持有
NYSE:SNOW | 2026-07-29 | 70 | 预警买入 | 11 AI软件 / SAAS | 283.32 | 68 | 1.00 | 65/75 | 11.3% | 0.5x | 222.13 | 21.6% | 持有

# —— 盘前观察 / 预警升级候选（仅提示，不自动升级；升级规则待回测确认）——
# 已触发预警买入(4H 0出) 但日线尚未 0出。关注日线是否收复 Gann0 → 可能升级为正式买入。
# Gann0='-' 表示日线尚无活动Gann段（需先形成日线0出）；距Gann0% 为正=收盘已在Gann0上方，升级更临近。
# TV代码 | 收盘 | 日线Gann0 | 收盘距Gann0% | 4H_RSI/分金 | 观海买点分
NYSE:SNOW | 283.32 | 260.34 | +8.8% | 65/75 | 70
