# 2026-09-12 当日买入触发样本
# 格式：TV代码 | 触发日期 | 观海买点分(原始分) | 触发规则 | 板块 | 收盘 | RSI | rank120 | 4H_RSI/分金 | 段涨幅 | 量比20日 | 移动止损(5×ATR22) | 距止损% | 止损状态
NASDAQ:NVTS | 2026-09-11 | 100 | 预警买入 | 07 数据中心电力 | 11.63 | - | - | -/- | - | - | 6.52 | 43.9% | 持有
NASDAQ:POET | 2026-09-11 | 100 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 7.95 | - | - | -/- | - | - | 4.77 | 40.0% | 持有
NASDAQ:WULF | 2026-09-11 | 100 | 正式买入 + 预警买入 | 44 比特币概念 | 16.74 | - | - | -/- | - | - | 10.39 | 37.9% | 持有
NASDAQ:BTBT | 2026-09-11 | 99 | 正式买入 + 预警买入 | 44 比特币概念 | 1.59 | - | - | -/- | - | - | 1.01 | 36.5% | 持有
NASDAQ:CIFR | 2026-09-11 | 99 | 正式买入 + 预警买入 | 44 比特币概念 | 16.85 | - | - | -/- | - | - | 7.91 | 53.0% | 持有
NASDAQ:CORZ | 2026-09-11 | 99 | 正式买入 + 预警买入 | 44 比特币概念 | 17.94 | - | - | -/- | - | - | 11.67 | 35.0% | 持有
AMEX:MEME | 2026-09-11 | 99 | 正式买入 + 预警买入 | 22 MEME股 | 8.068 | - | - | -/- | - | - | 5.95 | 26.3% | 持有
NASDAQ:MSTR | 2026-09-11 | 99 | 正式买入 + 预警买入 | 44 比特币概念 | 130.97 | - | - | -/- | - | - | 96.77 | 26.1% | 持有
NASDAQ:APLD | 2026-09-11 | 96 | 预警买入 | 21 数据中心 | 26.42 | - | - | -/- | - | - | 16.10 | 39.1% | 持有
NASDAQ:ENPH | 2026-09-11 | 96 | 预警买入 | 10 太阳能 | 36.35 | - | - | -/- | - | - | 25.97 | 28.6% | 持有
NASDAQ:GOOGL | 2026-09-11 | 96 | 正式买入 + 预警买入 | 02 超巨 | 338.5 | - | - | -/- | - | - | 298.98 | 11.7% | 持有
NASDAQ:ENTG | 2026-09-11 | 95 | 正式买入 + 预警买入 | 19 COWOS | 140.37 | - | - | -/- | - | - | 101.67 | 27.6% | 持有
NYSE:GEV | 2026-09-11 | 95 | 正式买入 + 预警买入 | 07 数据中心电力 | 957.27 | - | - | -/- | - | - | 743.14 | 22.4% | 持有
NYSE:IBM | 2026-09-11 | 95 | 正式买入 + 预警买入 | 06 服务器 / 数据中心硬件 | 243.29 | - | - | -/- | - | - | 203.86 | 16.2% | 持有
NYSE:CPNG | 2026-09-11 | 94 | 预警买入 | 23 杂项 | 15.12 | - | - | -/- | - | - | 12.34 | 18.4% | 持有
NASDAQ:NXT | 2026-09-11 | 94 | 预警买入 | 10 太阳能 | 82.89 | - | - | -/- | - | - | 59.03 | 28.8% | 持有
NASDAQ:RKLB | 2026-09-11 | 94 | 预警买入 | 17 商业航天 | 62.95 | - | - | -/- | - | - | 41.30 | 34.4% | 持有
NASDAQ:UFO | 2026-09-11 | 94 | 预警买入 | 17 商业航天 | 43.28 | - | - | -/- | - | - | 37.52 | 13.3% | 持有
NASDAQ:AMZN | 2026-09-11 | 93 | 正式买入 + 预警买入 | 02 超巨 | 256.78 | - | - | -/- | - | - | 224.20 | 12.7% | 持有
NASDAQ:AXTI | 2026-09-11 | 93 | 预警买入 | 05 AI网络 / 光模块 | 64.77 | - | - | -/- | - | - | 27.11 | 58.1% | 持有
NASDAQ:IREN | 2026-09-11 | 93 | 预警买入 | 44 比特币概念 | 43.83 | - | - | -/- | - | - | 27.46 | 37.4% | 持有
NASDAQ:KLAC | 2026-09-11 | 93 | 预警买入 | 04 半导体设备 / EDA | 180.64 | - | - | -/- | - | - | 132.09 | 26.9% | 持有
NYSE:VST | 2026-09-11 | 93 | 预警买入 | 07 数据中心电力 | 148.38 | - | - | -/- | - | - | 121.50 | 18.1% | 持有
NASDAQ:IRDM | 2026-09-11 | 92 | 正式买入 + 预警买入 | 17 商业航天 | 47.3 | - | - | -/- | - | - | 40.53 | 14.3% | 持有
NASDAQ:SMH | 2026-09-11 | 92 | 正式买入 + 预警买入 | 03 GPU / AI芯片 | 568.53 | - | - | -/- | - | - | 482.59 | 15.1% | 持有
NASDAQ:DTCR | 2026-09-11 | 91 | 正式买入 + 预警买入 | 21 数据中心 | 28.26 | - | - | -/- | - | - | 25.31 | 10.4% | 持有
NYSE:ONTO | 2026-09-11 | 91 | 正式买入 + 预警买入 | 19 COWOS | 281.26 | - | - | -/- | - | - | 185.52 | 34.0% | 持有
NASDAQ:AVGO | 2026-09-11 | 90 | 预警买入 | 03 GPU / AI芯片 | 361.99 | - | - | -/- | - | - | 300.76 | 16.9% | 持有
NASDAQ:ASML | 2026-09-11 | 89 | 预警买入 | 04 半导体设备 / EDA | 1698.3 | - | - | -/- | - | - | 1427.01 | 16.0% | 持有
NASDAQ:CAMT | 2026-09-11 | 89 | 预警买入 | 19 COWOS | 147.97 | - | - | -/- | - | - | 103.05 | 30.4% | 持有
NASDAQ:RIOT | 2026-09-11 | 89 | 预警买入 | 44 比特币概念 | 21.47 | - | - | -/- | - | - | 13.40 | 37.6% | 持有
NASDAQ:TSLA | 2026-09-11 | 89 | 预警买入 | 02 超巨 | 365.44 | - | - | -/- | - | - | 296.45 | 18.9% | 持有
NYSE:ETN | 2026-09-11 | 88 | 正式买入 + 预警买入 | 07 数据中心电力 | 425.37 | - | - | -/- | - | - | 353.43 | 16.9% | 持有
NASDAQ:SMCI | 2026-09-11 | 88 | 回调买入点 + 正式买入 + 预警买入 | 06 服务器 / 数据中心硬件 | 40.1 | - | - | -/- | - | - | 28.65 | 28.6% | 持有
NYSE:CRM | 2026-09-11 | 87 | 正式买入 + 预警买入 | 11 AI软件 / SAAS | 247.72 | - | - | -/- | - | - | 201.95 | 18.5% | 持有
PAVE | 2026-09-11 | 87 | 预警买入 | 13 材料 / 电网 | 54.08 | - | - | -/- | - | - | 49.63 | 8.2% | 持有
NASDAQ:AMAT | 2026-09-11 | 86 | 预警买入 | 04 半导体设备 / EDA | 456.49 | - | - | -/- | - | - | 338.62 | 25.8% | 持有
NASDAQ:CLSK | 2026-09-11 | 85 | 预警买入 | 44 比特币概念 | 13.67 | - | - | -/- | - | - | 8.63 | 36.8% | 持有
NASDAQ:FSLR | 2026-09-11 | 85 | 第一观察点 | 10 太阳能 | 209.03 | - | - | -/- | - | - | 162.19 | 22.4% | 持有
NASDAQ:HUT | 2026-09-11 | 85 | 回调买入点 + 预警买入 | 44 比特币概念 | 98.6 | - | - | -/- | - | - | 57.97 | 41.2% | 持有
NASDAQ:MARA | 2026-09-11 | 85 | 预警买入 | 44 比特币概念 | 11.98 | - | - | -/- | - | - | 7.69 | 35.8% | 持有
NYSE:ANET | 2026-09-11 | 83 | 正式买入 + 预警买入 | 05 AI网络 / 光模块 | 199.59 | - | - | -/- | - | - | 158.13 | 20.8% | 持有
NYSE:NUE | 2026-09-11 | 83 | 正式买入 + 预警买入 | 13 材料 / 电网 | 259.43 | - | - | -/- | - | - | 219.09 | 15.5% | 持有
NYSE:EOG | 2026-09-11 | 82 | 预警买入 | 14 能源 | 147.36 | - | - | -/- | - | - | 130.18 | 11.7% | 持有
NYSE:TSM | 2026-09-11 | 82 | 预警买入 | 19 COWOS | 433.24 | - | - | -/- | - | - | 373.16 | 13.9% | 持有
MAGS | 2026-09-11 | 77 | 预警买入 | 02 超巨 | 69.89 | - | - | -/- | - | - | 64.88 | 7.2% | 持有
NYSE:DELL | 2026-09-11 | 70 | 预警买入 | 06 服务器 / 数据中心硬件 | 567.29 | - | - | -/- | - | - | 406.22 | 28.4% | 持有
