symbol,div_date,trigger_date,lag,close,ma,gap_pct,rsi_ma,rsi_chg,trend,logged_at
GOOG,2026-08-03,2026-08-28,19,342.88,341.16,0.005,43.0,6.5,above200,2026-08-31 11:10:58
ADM,2026-08-27,2026-08-28,1,81.54,80.1,0.018,46.8,3.9,above200,2026-08-31 11:10:58
AMSF,2026-08-27,2026-08-28,1,26.25,26.15,0.004,33.8,3.7,below200,2026-08-31 11:10:58
CRTO,2026-08-20,2026-08-28,6,17.46,17.35,0.0061,31.8,3.2,below200,2026-08-31 11:10:58
AON,2026-08-26,2026-08-28,2,355.4,353.54,0.0053,39.5,3.2,above200,2026-08-31 11:10:58
GOOGL,2026-08-27,2026-08-28,1,346.59,344.31,0.0066,46.8,2.4,above200,2026-08-31 11:10:58
EBAY,2026-08-25,2026-08-28,3,105.62,104.29,0.0127,51.4,2.3,above200,2026-08-31 11:10:58
FNF,2026-08-21,2026-08-28,5,47.55,47.54,0.0003,37.7,1.7,below200,2026-08-31 11:10:58
VMC,2026-08-19,2026-08-28,7,274.51,274.39,0.0004,48.8,1.6,below200,2026-08-31 11:10:58
ANGI,2026-08-10,2026-08-28,14,5.04,4.84,0.0416,46.1,1.5,below200,2026-08-31 11:10:58
DPZ,2026-08-27,2026-08-28,1,350.0,342.28,0.0225,51.5,1.5,below200,2026-08-31 11:10:58
ECHO,2026-08-07,2026-08-28,15,86.84,86.62,0.0026,41.4,1.3,below200,2026-08-31 11:10:58
HYLN,2026-08-06,2026-08-28,16,3.51,3.38,0.04,39.3,1.3,above200,2026-08-31 11:10:58
BG,2026-08-27,2026-08-28,1,115.48,113.23,0.0199,49.3,1.1,above200,2026-08-31 11:10:58
FULT,2026-08-18,2026-08-28,8,23.68,23.67,0.0003,41.8,1.0,above200,2026-08-31 11:10:58
